START-OF-LOG: 3.0
CREATED-BY: TR Log POST Version 6.76
CALLSIGN: KJ9C
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 2107280
CLUB: Society of Midwest Contesters
NAME: Mel Crichton
OPERATORS: KJ9C
SOAPBOX: Usually do LP in CW tests, but wanted to watch football this
SOAPBOX: weekend and had family functions as well. So an abbreviated
SOAPBOX: stint using the AL80 running a powerful 500 watts.
LOCATION: IN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 21000 CW 2011-11-26 0101 KJ9C          599 4      KH7X          599 31
QSO: 21000 CW 2011-11-26 0102 KJ9C          599 4      PY2YU         599 11
QSO: 21000 CW 2011-11-26 0106 KJ9C          599 4      VK4KW         599 30
QSO: 21000 CW 2011-11-26 0108 KJ9C          599 4      KH6/WJ2O      599 31
QSO: 14000 CW 2011-11-26 0116 KJ9C          599 4      N6WM          599 03
QSO: 14000 CW 2011-11-26 0118 KJ9C          599 4      C6AAW         599 08
QSO: 14000 CW 2011-11-26 0121 KJ9C          599 4      RU1A          599 16
QSO: 14000 CW 2011-11-26 0123 KJ9C          599 4      NP4BM         599 08
QSO: 14000 CW 2011-11-26 0124 KJ9C          599 4      PY1JR         599 11
QSO: 14000 CW 2011-11-26 0124 KJ9C          599 4      LU4MHQ        599 13
QSO: 14000 CW 2011-11-26 0125 KJ9C          599 4      PP5VX         599 11
QSO: 14000 CW 2011-11-26 0128 KJ9C          599 4      HI3A          599 08
QSO: 14000 CW 2011-11-26 0129 KJ9C          599 4      NP4Z          599 08
QSO: 14000 CW 2011-11-26 0130 KJ9C          599 4      UA1ZCT        599 16
QSO: 14000 CW 2011-11-26 0131 KJ9C          599 4      N5RZ          599 04
QSO: 14000 CW 2011-11-26 0134 KJ9C          599 4      LP1H          599 13
QSO: 14000 CW 2011-11-26 0136 KJ9C          599 4      OG1M          599 15
QSO: 14000 CW 2011-11-26 0138 KJ9C          599 4      R9XT          599 17
QSO: 14000 CW 2011-11-26 0143 KJ9C          599 4      VP2MWG        599 08
QSO: 14000 CW 2011-11-26 0144 KJ9C          599 4      V26K          599 08
QSO: 14000 CW 2011-11-26 0146 KJ9C          599 4      HK3TU         599 09
QSO: 14000 CW 2011-11-26 0148 KJ9C          599 4      D4C           599 35
QSO: 14000 CW 2011-11-26 0149 KJ9C          599 4      EL2A          599 35
QSO: 14000 CW 2011-11-26 0150 KJ9C          599 4      6Y3M          599 08
QSO: 14000 CW 2011-11-26 0151 KJ9C          599 4      OH8X          599 15
QSO: 14000 CW 2011-11-26 0155 KJ9C          599 4      SK3W          599 14
QSO: 14000 CW 2011-11-26 0155 KJ9C          599 4      OH8L          599 15
QSO: 14000 CW 2011-11-26 0156 KJ9C          599 4      RL3A          599 16
QSO: 14000 CW 2011-11-26 0158 KJ9C          599 4      EF8R          599 33
QSO: 14000 CW 2011-11-26 0201 KJ9C          599 4      PJ4A          599 09
QSO: 14000 CW 2011-11-26 0204 KJ9C          599 4      II9T          599 15
QSO: 14000 CW 2011-11-26 0206 KJ9C          599 4      TO3A          599 08
QSO: 14000 CW 2011-11-26 0208 KJ9C          599 4      JA3YBK        599 25
QSO: 14000 CW 2011-11-26 0209 KJ9C          599 4      CT3KN         599 33
QSO: 14000 CW 2011-11-26 0210 KJ9C          599 4      P40F          599 09
QSO: 14000 CW 2011-11-26 0211 KJ9C          599 4      C91NW         599 37
QSO: 14000 CW 2011-11-26 0212 KJ9C          599 4      PY2NY         599 11
QSO: 14000 CW 2011-11-26 0213 KJ9C          599 4      YL3FT         599 15
QSO: 14000 CW 2011-11-26 0214 KJ9C          599 4      ZD8W          599 36
QSO: 14000 CW 2011-11-26 0215 KJ9C          599 4      PR7AR         599 11
QSO: 14000 CW 2011-11-26 0216 KJ9C          599 4      PY1NB         599 11
QSO: 14000 CW 2011-11-26 0218 KJ9C          599 4      6V7V          599 35
QSO: 14000 CW 2011-11-26 0219 KJ9C          599 4      OH0Z          599 15
QSO: 14000 CW 2011-11-26 0220 KJ9C          599 4      VE6EX         599 04
QSO: 14000 CW 2011-11-26 0223 KJ9C          599 4      OH7M          599 15
QSO: 14000 CW 2011-11-26 0223 KJ9C          599 4      LS2D          599 13
QSO: 14000 CW 2011-11-26 0224 KJ9C          599 4      JA1YPA        599 25
QSO: 14000 CW 2011-11-26 0226 KJ9C          599 4      XR3A          599 12
QSO: 14000 CW 2011-11-26 0227 KJ9C          599 4      AL1G          599 01
QSO: 14000 CW 2011-11-26 0229 KJ9C          599 4      ZS2I          599 38
QSO: 14000 CW 2011-11-26 0230 KJ9C          599 4      PY2YU         599 11
QSO: 14000 CW 2011-11-26 0232 KJ9C          599 4      PJ5G          599 08
QSO:  7000 CW 2011-11-26 0237 KJ9C          599 4      DF9LJ         599 14
QSO:  7000 CW 2011-11-26 0238 KJ9C          599 4      RC9O          599 18
QSO:  7000 CW 2011-11-26 0238 KJ9C          599 4      F6CEL         599 14
QSO:  7000 CW 2011-11-26 0239 KJ9C          599 4      DF0HQ         599 14
QSO:  7000 CW 2011-11-26 0240 KJ9C          599 4      M3I           599 14
QSO:  7000 CW 2011-11-26 0240 KJ9C          599 4      PI4DX         599 14
QSO:  7000 CW 2011-11-26 0241 KJ9C          599 4      DL3VZL        599 14
QSO:  7000 CW 2011-11-26 0242 KJ9C          599 4      CR3L          599 33
QSO:  7000 CW 2011-11-26 0243 KJ9C          599 4      OL7C          599 15
QSO:  7000 CW 2011-11-26 0244 KJ9C          599 4      W3UA          599 05
QSO:  7000 CW 2011-11-26 0245 KJ9C          599 4      IR2R          599 15
QSO:  7000 CW 2011-11-26 0246 KJ9C          599 4      OM8A          599 15
QSO:  7000 CW 2011-11-26 0247 KJ9C          599 4      UW3U          599 16
QSO:  7000 CW 2011-11-26 0249 KJ9C          599 4      VP5CW         599 08
QSO:  7000 CW 2011-11-26 0250 KJ9C          599 4      IR2C          599 15
QSO:  7000 CW 2011-11-26 0251 KJ9C          599 4      HK1X          599 09
QSO:  7000 CW 2011-11-26 0251 KJ9C          599 4      SN8R          599 15
QSO:  7000 CW 2011-11-26 0252 KJ9C          599 4      YU1LA         599 15
QSO:  7000 CW 2011-11-26 0252 KJ9C          599 4      LZ5K          599 20
