START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.7.0
CONTEST: CQ-WW-CW
LOCATION: CO
CALLSIGN: K0RF
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 16187472
OPERATORS: K0RF W0DLE WB0GAZ W0UA W0ZP AD1C W1XE W2CO W2UP K7NV
NAME: chuck cullian
SOAPBOX: Been trying for a new zero-land M/M record for many years.
QSO: 28009 CW 2011-11-26 0000 K0RF          599 4      JH1EVD        599 25     0
QSO: 28009 CW 2011-11-26 0000 K0RF          599 4      JA2VZL        599 25     0
QSO: 14045 CW 2011-11-26 0001 K0RF          599 4      K0RF          599 00     0
QSO:  7006 CW 2011-11-26 0001 K0RF          599 4      VE3EK         599 04     0
QSO: 14010 CW 2011-11-26 0002 K0RF          599 4      AI9K          599 04     0
QSO: 28009 CW 2011-11-26 0002 K0RF          599 4      JA1MZM        599 25     0
QSO: 14010 CW 2011-11-26 0002 K0RF          599 4      LY7A          599 15     0
QSO: 14010 CW 2011-11-26 0003 K0RF          599 4      WA3F          599 05     0
QSO:  7006 CW 2011-11-26 0003 K0RF          599 4      DL2DX         599 14     0
QSO: 28009 CW 2011-11-26 0003 K0RF          599 4      JA1RPK        599 25     0
QSO: 14010 CW 2011-11-26 0003 K0RF          599 4      VE3MV         599 04     0
QSO:  7006 CW 2011-11-26 0004 K0RF          599 4      G3TBK         599 14     0
QSO: 21031 CW 2011-11-26 0004 K0RF          599 4      JA5DQH        599 25     0
QSO:  7006 CW 2011-11-26 0004 K0RF          599 4      VA2SG         599 05     0
QSO: 21025 CW 2011-11-26 0004 K0RF          599 4      JF3BFS        599 25     0
QSO: 28009 CW 2011-11-26 0004 K0RF          599 4      VK4BUI        599 30     0
QSO:  7006 CW 2011-11-26 0004 K0RF          599 4      K2SG          599 05     0
QSO: 28009 CW 2011-11-26 0005 K0RF          599 4      N7AT          599 03     0
QSO: 14010 CW 2011-11-26 0005 K0RF          599 4      W0QQG         599 05     0
QSO: 28044 CW 2011-11-26 0003 K0RF          599 4      9M6NA         599 28     0
QSO: 21000 CW 2011-11-26 0006 K0RF          599 4      BW100         599 24     0
QSO:  7006 CW 2011-11-26 0006 K0RF          599 4      DL4MCF        599 14     0
QSO: 14010 CW 2011-11-26 0006 K0RF          599 4      KB3LIX        599 05     0
QSO: 28009 CW 2011-11-26 0006 K0RF          599 4      JA3MIO/1      599 25     0
QSO:  7006 CW 2011-11-26 0007 K0RF          599 4      S50A          599 15     0
QSO: 28009 CW 2011-11-26 0007 K0RF          599 4      JF7GMF        599 25     0
QSO: 14010 CW 2011-11-26 0007 K0RF          599 4      VE9HF         599 05     0
QSO: 14010 CW 2011-11-26 0007 K0RF          599 4      VE3LY         599 04     0
QSO: 28009 CW 2011-11-26 0007 K0RF          599 4      JA7ACM        599 25     0
QSO:  7006 CW 2011-11-26 0007 K0RF          599 4      9A6AR         599 15     0
QSO: 21023 CW 2011-11-26 0008 K0RF          599 4      BA4VE         599 24     0
QSO: 14010 CW 2011-11-26 0008 K0RF          599 4      R8XX          599 17     0
QSO:  7006 CW 2011-11-26 0008 K0RF          599 4      HA3FTA        599 15     0
QSO: 28009 CW 2011-11-26 0008 K0RF          599 4      JR1UFN        599 25     0
QSO: 14010 CW 2011-11-26 0008 K0RF          599 4      R1AZ          599 16     0
QSO: 21030 CW 2011-11-26 0008 K0RF          599 4      9M8/AI6V      599 28     0
QSO:  7006 CW 2011-11-26 0009 K0RF          599 4      W5EEA         599 04     0
QSO: 14010 CW 2011-11-26 0009 K0RF          599 4      W1EL          599 05     0
QSO: 28009 CW 2011-11-26 0009 K0RF          599 4      JA2IU         599 25     0
QSO: 14010 CW 2011-11-26 0009 K0RF          599 4      RW4PL         599 16     0
QSO:  3521 CW 2011-11-26 0009 K0RF          599 4      C6AAW         599 08     0
QSO: 21017 CW 2011-11-26 0010 K0RF          599 4      DU1HR         599 27     0
QSO: 14010 CW 2011-11-26 0010 K0RF          599 4      KR2Q          599 05     0
