START-OF-LOG: 3.0
CALLSIGN: VE3MMQ
CLUB: contest club ontario
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 3861513
OPERATORS: VE3MMQ
SOAPBOX: Lost 4 hours on Sunday when rotor jambed on south..Lowered tower,
SOAPBOX: threw line over steppir element and yanked hard....heard big
SOAPBOX: snap...rotor working again..may no longer have brake....Glad I did not
SOAPBOX: give up...Also happy it was 50F and not 32F..Other than this little
SOAPBOX: problem,   contest was fantastic..Thanks CQ.
NAME: BILL
CREATED-BY: N1MM Logger V11.10.2
LOCATION: ON
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 21030 CW 2011-11-26 0002 VE3MMQ        599 4      9M8/AI6V      599 28
QSO: 21024 CW 2011-11-26 0011 VE3MMQ        599 4      RU0FM         599 19
QSO: 21043 CW 2011-11-26 0014 VE3MMQ        599 4      AH7C          599 31
QSO: 21044 CW 2011-11-26 0017 VE3MMQ        599 4      AH0BT         599 27
QSO: 21051 CW 2011-11-26 0018 VE3MMQ        599 4      NH2T          599 27
QSO: 21052 CW 2011-11-26 0018 VE3MMQ        599 4      RW0CWA        599 19
QSO: 21056 CW 2011-11-26 0019 VE3MMQ        599 4      JA1YPA        599 25
QSO: 21043 CW 2011-11-26 0021 VE3MMQ        599 4      KL7RA         599 01
QSO: 14017 CW 2011-11-26 0027 VE3MMQ        599 4      JT5DX         599 23
QSO: 14025 CW 2011-11-26 0028 VE3MMQ        599 4      V26K          599 08
QSO: 14029 CW 2011-11-26 0029 VE3MMQ        599 4      FM5CD         599 08
QSO: 14040 CW 2011-11-26 0030 VE3MMQ        599 4      TO3A          599 08
QSO: 14047 CW 2011-11-26 0030 VE3MMQ        599 4      J6M           599 08
QSO: 14049 CW 2011-11-26 0031 VE3MMQ        599 4      P40W          599 09
QSO: 14052 CW 2011-11-26 0034 VE3MMQ        599 4      ZD8W          599 36
QSO: 14048 CW 2011-11-26 0035 VE3MMQ        599 4      C91NW         599 37
QSO: 14022 CW 2011-11-26 0037 VE3MMQ        599 4      PJ4A          599 09
QSO: 14025 CW 2011-11-26 0037 VE3MMQ        599 4      HK3TU         599 09
QSO: 14012 CW 2011-11-26 0037 VE3MMQ        599 4      NP4Z          599 08
QSO: 14012 CW 2011-11-26 0038 VE3MMQ        599 4      HI3A          599 08
QSO: 14002 CW 2011-11-26 0039 VE3MMQ        599 4      VP5CW         599 08
QSO: 14009 CW 2011-11-26 0041 VE3MMQ        599 4      C5A           599 35
QSO: 14017 CW 2011-11-26 0043 VE3MMQ        599 4      EL2A          599 35
QSO: 14026 CW 2011-11-26 0044 VE3MMQ        599 4      D4C           599 35
QSO: 14038 CW 2011-11-26 0044 VE3MMQ        599 4      6V7V          599 35
QSO: 14051 CW 2011-11-26 0045 VE3MMQ        599 4      PY2NY         599 11
QSO: 14054 CW 2011-11-26 0046 VE3MMQ        599 4      PR7AR         599 11
QSO: 14068 CW 2011-11-26 0047 VE3MMQ        599 4      ZP9EH         599 11
QSO: 14070 CW 2011-11-26 0048 VE3MMQ        599 4      9M2TO         599 28
QSO: 14059 CW 2011-11-26 0049 VE3MMQ        599 4      JG2KKG        599 25
QSO: 14057 CW 2011-11-26 0049 VE3MMQ        599 4      BA1G          599 24
QSO: 14045 CW 2011-11-26 0051 VE3MMQ        599 4      JA3YBK        599 25
QSO: 14041 CW 2011-11-26 0051 VE3MMQ        599 4      JA7FTR        599 25
QSO: 14037 CW 2011-11-26 0052 VE3MMQ        599 4      ST2AR         599 34
QSO: 14036 CW 2011-11-26 0053 VE3MMQ        599 4      B4TB          599 24
QSO: 14021 CW 2011-11-26 0056 VE3MMQ        599 4      V31AO         599 07
QSO: 14006 CW 2011-11-26 0100 VE3MMQ        599 4      LZ9W          599 20
QSO: 14011 CW 2011-11-26 0100 VE3MMQ        599 4      JA5RDP        599 25
QSO: 14028 CW 2011-11-26 0102 VE3MMQ        599 4      TF3CW         599 40
QSO: 14027 CW 2011-11-26 0102 VE3MMQ        599 4      OH8X          599 15
QSO: 14027 CW 2011-11-26 0104 VE3MMQ        599 4      6Y3M          599 08
QSO: 14032 CW 2011-11-26 0105 VE3MMQ        599 4      RU1A          599 16
QSO: 14033 CW 2011-11-26 0105 VE3MMQ        599 4      SK3W          599 14
QSO: 14034 CW 2011-11-26 0106 VE3MMQ        599 4      VK6LW         599 29
QSO: 14047 CW 2011-11-26 0107 VE3MMQ        599 4      8P5A          599 08
QSO: 14055 CW 2011-11-26 0107 VE3MMQ        599 4      OH0Z          599 15
QSO: 14060 CW 2011-11-26 0110 VE3MMQ        599 4      OH7M          599 15
QSO: 14064 CW 2011-11-26 0111 VE3MMQ        599 4      5B/RN3QO      599 20
QSO: 14066 CW 2011-11-26 0111 VE3MMQ        599 4      E21EIC        599 26
QSO: 14068 CW 2011-11-26 0115 VE3MMQ        599 4      FY5FY         599 09
QSO: 14063 CW 2011-11-26 0116 VE3MMQ        599 4      XR3A          599 12
QSO: 14058 CW 2011-11-26 0123 VE3MMQ        599 4      ZS2I          599 38
QSO: 14057 CW 2011-11-26 0124 VE3MMQ        599 4      9G5NP         599 35
QSO: 14045 CW 2011-11-26 0125 VE3MMQ        599 4      CT3KN         599 33
QSO:  7021 CW 2011-11-26 0128 VE3MMQ        599 4      C5A           599 35
QSO:  7022 CW 2011-11-26 0128 VE3MMQ        599 4      EA2EA         599 14
QSO:  7023 CW 2011-11-26 0129 VE3MMQ        599 4      RT6A          599 16
QSO:  7024 CW 2011-11-26 0132 VE3MMQ        599 4      9A1P          599 15
QSO:  7025 CW 2011-11-26 0132 VE3MMQ        599 4      TM6M          599 14
QSO:  7028 CW 2011-11-26 0132 VE3MMQ        599 4      DL1A          599 14
QSO:  7029 CW 2011-11-26 0133 VE3MMQ        599 4      HG1S          599 15
QSO:  7029 CW 2011-11-26 0134 VE3MMQ        599 4      SO8A          599 15
QSO:  7029 CW 2011-11-26 0135 VE3MMQ        599 4      LZ9W          599 20
QSO:  7031 CW 2011-11-26 0136 VE3MMQ        599 4      S59ABC        599 15
QSO:  7032 CW 2011-11-26 0136 VE3MMQ        599 4      E7DX          599 15
QSO:  7035 CW 2011-11-26 0139 VE3MMQ        599 4      YU7KW         599 15
QSO:  7035 CW 2011-11-26 0140 VE3MMQ        599 4      LA2AB         599 14
QSO:  7039 CW 2011-11-26 0140 VE3MMQ        599 4      C6AAW         599 08
QSO:  7040 CW 2011-11-26 0141 VE3MMQ        599 4      OQ5M          599 14
QSO:  7041 CW 2011-11-26 0142 VE3MMQ        599 4      ER4A          599 16
QSO:  7041 CW 2011-11-26 0142 VE3MMQ        599 4      IF2A          599 15
QSO:  7042 CW 2011-11-26 0143 VE3MMQ        599 4      P40W          599 09
QSO:  7043 CW 2011-11-26 0143 VE3MMQ        599 4      T70A          599 15
QSO:  7044 CW 2011-11-26 0144 VE3MMQ        599 4      HG7T          599 15
QSO:  7045 CW 2011-11-26 0144 VE3MMQ        599 4      EF8M          599 33
QSO:  7046 CW 2011-11-26 0144 VE3MMQ        599 4      IO5O          599 15
QSO:  7046 CW 2011-11-26 0145 VE3MMQ        599 4      DF3CB         599 14
QSO:  7046 CW 2011-11-26 0145 VE3MMQ        599 4      LN3Z          599 14
QSO:  7049 CW 2011-11-26 0146 VE3MMQ        599 4      ED9M          599 33
QSO:  7049 CW 2011-11-26 0146 VE3MMQ        599 4      ED8A          599 33
QSO:  7051 CW 2011-11-26 0146 VE3MMQ        599 4      S52ZW         599 15
QSO:  7053 CW 2011-11-26 0147 VE3MMQ        599 4      SJ2W          599 14
QSO:  7055 CW 2011-11-26 0147 VE3MMQ        599 4      UU7J          599 16
QSO:  7056 CW 2011-11-26 0148 VE3MMQ        599 4      EA5URS        599 14
QSO:  7057 CW 2011-11-26 0148 VE3MMQ        599 4      OH2BAH        599 15
QSO:  7058 CW 2011-11-26 0149 VE3MMQ        599 4      YP9W          599 20
QSO:  7059 CW 2011-11-26 0149 VE3MMQ        599 4      OM7M          599 15
QSO:  7059 CW 2011-11-26 0150 VE3MMQ        599 4      LY7A          599 15
QSO:  7061 CW 2011-11-26 0151 VE3MMQ        599 4      HB9CA         599 14
QSO:  7062 CW 2011-11-26 0151 VE3MMQ        599 4      OE3K          599 15
QSO:  7063 CW 2011-11-26 0152 VE3MMQ        599 4      CR3E          599 33
QSO:  7064 CW 2011-11-26 0152 VE3MMQ        599 4      OH0V          599 15
QSO:  7064 CW 2011-11-26 0152 VE3MMQ        599 4      9L0W          599 35
QSO:  7067 CW 2011-11-26 0155 VE3MMQ        599 4      UB0A          599 18
QSO:  7069 CW 2011-11-26 0156 VE3MMQ        599 4      DL3YM         599 14
QSO:  7070 CW 2011-11-26 0157 VE3MMQ        599 4      PW7T          599 11
QSO:  7073 CW 2011-11-26 0159 VE3MMQ        599 4      YU1EL         599 15
QSO:  7074 CW 2011-11-26 0159 VE3MMQ        599 4      K1ZR          599 05
QSO:  7074 CW 2011-11-26 0159 VE3MMQ        599 4      P3Z           599 20
QSO:  7075 CW 2011-11-26 0200 VE3MMQ        599 4      US0HZ         599 16
QSO:  7078 CW 2011-11-26 0202 VE3MMQ        599 4      G5D           599 14
QSO:  7078 CW 2011-11-26 0202 VE3MMQ        599 4      GW6W          599 14
QSO:  7079 CW 2011-11-26 0203 VE3MMQ        599 4      IS0AFM        599 15
QSO:  7079 CW 2011-11-26 0204 VE3MMQ        599 4      VP9/N3AD      599 05
QSO:  7081 CW 2011-11-26 0205 VE3MMQ        599 4      TO7A          599 08
QSO:  7082 CW 2011-11-26 0205 VE3MMQ        599 4      VE9HF         599 05
QSO:  7085 CW 2011-11-26 0207 VE3MMQ        599 4      8Q7DV         599 22
QSO:  7086 CW 2011-11-26 0207 VE3MMQ        599 4      5H3EE         599 37
QSO:  7092 CW 2011-11-26 0208 VE3MMQ        599 4      YT6W          599 15
QSO:  7099 CW 2011-11-26 0209 VE3MMQ        599 4      CO6YAC        599 08
QSO:  7095 CW 2011-11-26 0209 VE3MMQ        599 4      C6AQQ         599 08
QSO:  7092 CW 2011-11-26 0210 VE3MMQ        599 4      G5O           599 14
QSO:  7088 CW 2011-11-26 0210 VE3MMQ        599 4      I1NVU         599 15
QSO:  7087 CW 2011-11-26 0211 VE3MMQ        599 4      UR7GO         599 16
QSO:  7089 CW 2011-11-26 0211 VE3MMQ        599 4      ON4ALY        599 14
QSO:  7077 CW 2011-11-26 0213 VE3MMQ        599 4      IV3UHL        599 15
QSO:  7076 CW 2011-11-26 0213 VE3MMQ        599 4      TM6X          599 14
QSO:  7072 CW 2011-11-26 0215 VE3MMQ        599 4      RF4C          599 16
