START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: DJ3GE
CATEGORY: SINGLE-OP ALL QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: 
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
LOCATION: DX
CLAIMED-SCORE: 5152
CREATED-BY: UcxLog 7.74
OPERATORS: DJ3GE
NAME: Ferdinand Dahl
SOAPBOX: QRP 5 Watt from FT817 via tuner Z11 to 2 Element Mini Yagi (20m)
SOAPBOX: or off-center-fed dipole FD 3, 21m long- 8m high (40m).
QSO: 14000 RY 2017-04-01 1822 DJ3GE         599 001    EA8DED        599 TF
QSO: 14000 RY 2017-04-01 1828 DJ3GE         599 002    EC7AT         599 AL
QSO: 14000 RY 2017-04-01 1831 DJ3GE         599 003    EE4A          599 TO
QSO: 14000 RY 2017-04-01 1834 DJ3GE         599 004    EA8AH         599 GC
QSO: 14000 RY 2017-04-01 1838 DJ3GE         599 005    PZ5RA         599 067
QSO: 14000 RY 2017-04-01 1839 DJ3GE         599 006    UA6LJB        599 073
QSO: 14000 RY 2017-04-01 1840 DJ3GE         599 007    EF5T          599 MU
QSO: 14000 RY 2017-04-01 1848 DJ3GE         599 008    EA9CD         599 CE
QSO: 14000 RY 2017-04-01 1852 DJ3GE         599 009    R7AB          599 148
QSO: 14000 RY 2017-04-01 1853 DJ3GE         599 010    EM0I          599 153
QSO: 14000 RY 2017-04-01 1854 DJ3GE         599 011    EA5GMB        599 MU
QSO: 14000 RY 2017-04-01 1857 DJ3GE         599 012    EA7HAB        599 GR
QSO: 14000 RY 2017-04-01 1904 DJ3GE         599 013    EA8ZS         599 GC
QSO: 14000 RY 2017-04-01 1905 DJ3GE         599 014    SV8DTD        599 104
QSO: 14000 RY 2017-04-01 1906 DJ3GE         599 015    EE7Y          599 H
QSO: 14000 RY 2017-04-01 1916 DJ3GE         599 016    TC3SO         599 025
QSO: 14000 RY 2017-04-01 1927 DJ3GE         599 017    EA8KL         599 TF
QSO:  7000 RY 2017-04-01 1929 DJ3GE         599 018    9A1RBZ        599 168
QSO:  7000 RY 2017-04-01 1935 DJ3GE         599 019    EA8DED        599 TF
QSO:  7000 RY 2017-04-01 1938 DJ3GE         599 020    EA3JW         599 B
QSO:  7000 RY 2017-04-01 1940 DJ3GE         599 021    OZ11A         599 174
QSO:  7000 RY 2017-04-01 1942 DJ3GE         599 022    GW5NF         599 052
QSO:  7000 RY 2017-04-01 1944 DJ3GE         599 023    IK4QJF        599 080
QSO:  7000 RY 2017-04-01 1945 DJ3GE         599 024    EA4URE        599 HQ
QSO:  7000 RY 2017-04-01 1947 DJ3GE         599 025    LZ4T          599 083
QSO:  7000 RY 2017-04-01 1953 DJ3GE         599 026    IW1QN         599 105
QSO:  7000 RY 2017-04-01 1954 DJ3GE         599 027    YL2KO         599 118
QSO:  7000 RY 2017-04-01 1954 DJ3GE         599 028    UW5U          599 53
QSO:  7000 RY 2017-04-01 1956 DJ3GE         599 029    EM0I          599 221
QSO:  7000 RY 2017-04-01 1958 DJ3GE         599 030    EA4DB         599 M
QSO:  7000 RY 2017-04-01 2103 DJ3GE         599 031    EC5JC         599 A
QSO:  7000 RY 2017-04-01 2105 DJ3GE         599 032    ED1R          599 AV
QSO:  7000 RY 2017-04-01 2111 DJ3GE         599 033    UT5EPP        599 217
QSO:  7000 RY 2017-04-01 2112 DJ3GE         599 034    R7AB          599 203
QSO:  7000 RY 2017-04-01 2114 DJ3GE         599 035    EA9CD         599 CE
QSO:  7000 RY 2017-04-02 0707 DJ3GE         599 036    J43TR         599 273
QSO:  7000 RY 2017-04-02 0709 DJ3GE         599 037    YO9HP         599 204
QSO:  7000 RY 2017-04-02 0711 DJ3GE         599 038    SM6UQL        599 306
QSO:  7000 RY 2017-04-02 0715 DJ3GE         599 039    IK5UAN        599 175
QSO:  7000 RY 2017-04-02 0717 DJ3GE         599 040    IZ4JMA        599 167
QSO:  7000 RY 2017-04-02 0718 DJ3GE         599 041    S53NW         599 168
QSO:  7000 RY 2017-04-02 0720 DJ3GE         599 042    EA3NP         599 B
QSO: 14000 RY 2017-04-02 0729 DJ3GE         599 043    RU7A          599 238
QSO:  7000 RY 2017-04-02 0745 DJ3GE         599 044    IK4ZIF        599 269
QSO:  7000 RY 2017-04-02 0746 DJ3GE         599 045    I3PXN         599 146
QSO:  7000 RY 2017-04-02 0829 DJ3GE         599 046    F5OAM         599 179
QSO: 14000 RY 2017-04-02 0837 DJ3GE         599 047    ED1R          599 AV
QSO: 14000 RY 2017-04-02 0839 DJ3GE         599 048    EA5DM         599 A
QSO: 14000 RY 2017-04-02 0848 DJ3GE         599 049    OF5C          599 071
QSO: 14000 RY 2017-04-02 0850 DJ3GE         599 050    EA4RE         599 M
QSO: 14000 RY 2017-04-02 0853 DJ3GE         599 051    OH2HAN        599 441
QSO: 14000 RY 2017-04-02 0906 DJ3GE         599 052    EA4URE        599 HQ
QSO: 14000 RY 2017-04-02 0910 DJ3GE         599 053    5C5W          599 198
QSO: 14000 RY 2017-04-02 0918 DJ3GE         599 054    ED4T          599 TO
QSO: 14000 RY 2017-04-02 0919 DJ3GE         599 055    EA5FIV        599 A
QSO: 14000 RY 2017-04-02 0934 DJ3GE         599 056    YL2CI         599 280
QSO: 14000 RY 2017-04-02 1541 DJ3GE         599 057    UX7QV         599 450
QSO: 14000 RY 2017-04-02 1542 DJ3GE         599 058    EM2G          599 849
QSO: 14000 RY 2017-04-02 1546 DJ3GE         599 059    EM9Q          599 275
QSO: 14000 RY 2017-04-02 1547 DJ3GE         599 060    EA7ZY         599 H
END-OF-LOG:
