START-OF-LOG: 3.0
CREATED-BY: HMRA public 9A HRS HF Robot downloader
CONTEST: 9A-DX
CALLSIGN: OR7G
OPERATORS: OR7G
CATEGORY: B10
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CLAIMED-SCORE: 119712
SOAPBOX: Recreated from 9A HRS HF Robot public QSO table for Croatian DX Contest 2025.
SOAPBOX: Public error-summary rows are ignored.
SOAPBOX: Source: https://www.hamradio.hr/hfrobot/hfcc_log.php?What=vloghtm&CID=2025-12-20&ID=OR7G
SOAPBOX: Source category label: B10 - Multi Operator, One Transmitter, Mixed.
SOAPBOX: Published QSO count: 558.
QSO: 14220 PH 2025-12-20 1513 OR7G          59  0001 27    9A8DX         59  0000 NA   
QSO: 14216 PH 2025-12-20 1515 OR7G          59  0002 27    9A2L          59  0000 VZ   
QSO: 14216 PH 2025-12-20 1516 OR7G          59  0003 27    YO3VVV        59  0000 28   
QSO: 14216 PH 2025-12-20 1516 OR7G          59  0004 27    YT3SM         59  0000 28   
QSO: 14216 PH 2025-12-20 1516 OR7G          59  0005 27    YO3ZHR        59  0000 28   
QSO: 14216 PH 2025-12-20 1516 OR7G          59  0006 27    IT9CAR        59  0000 28   
QSO: 14216 PH 2025-12-20 1517 OR7G          59  0007 27    IT9DWF        59  0000 28   
QSO: 14216 PH 2025-12-20 1517 OR7G          59  0008 27    YT5KD         59  0000 28   
QSO: 14216 PH 2025-12-20 1517 OR7G          59  0009 27    LZ1AEW        59  0000 28   
QSO: 14216 PH 2025-12-20 1518 OR7G          59  0010 27    YO7PED        59  0000 28   
QSO: 14216 PH 2025-12-20 1518 OR7G          59  0011 27    EA5JEB        59  0000 37   
QSO: 14216 PH 2025-12-20 1519 OR7G          59  0012 27    YO7JBB        59  0000 28   
QSO: 14216 PH 2025-12-20 1519 OR7G          59  0013 27    SM3MLX        59  0000 18   
QSO: 14216 PH 2025-12-20 1519 OR7G          59  0014 27    9A9O          59  0000 SB   
QSO: 14216 PH 2025-12-20 1520 OR7G          59  0015 27    YO5EB         59  0000 28   
QSO: 14216 PH 2025-12-20 1521 OR7G          59  0016 27    IK0VVN        59  0000 28   
QSO: 14216 PH 2025-12-20 1522 OR7G          59  0017 27    YO6EL         59  0000 28   
QSO: 14216 PH 2025-12-20 1522 OR7G          59  0018 27    E74HJ         59  0000 28   
QSO: 14216 PH 2025-12-20 1523 OR7G          59  0019 27    SJ2W          59  0000 18   
QSO: 14216 PH 2025-12-20 1523 OR7G          59  0020 27    IK7ZLW        59  0000 28   
QSO: 14216 PH 2025-12-20 1524 OR7G          59  0021 27    9A3CWC        59  0000 VU   
QSO: 14216 PH 2025-12-20 1524 OR7G          59  0022 27    YO7NK         59  0000 28   
