START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-SSB
CALLSIGN: DL5AA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL5AA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-SSB SAC/SSB/2025.
QSO: 21208 PH 2025-10-11 1429 DL5AA         59 OH2T          59 272
QSO: 21226 PH 2025-10-11 1430 DL5AA         59 2 OG8M          59 258
QSO: 21236 PH 2025-10-11 1432 DL5AA         59 3 OH8WR         59 106
QSO: 21277 PH 2025-10-11 1441 DL5AA         59 4 SJ2W          59 351
QSO: 21300 PH 2025-10-11 1444 DL5AA         59 5 OZ5W          59 129
QSO: 21310 PH 2025-10-11 1446 DL5AA         59 6 LN2T          59 188
QSO: 14157 PH 2025-10-11 1505 DL5AA         59 8 OH6DX         59 370
QSO: 14164 PH 2025-10-11 1508 DL5AA         59 8 OY1R          59 283
QSO: 14182 PH 2025-10-11 1509 DL5AA         59 9 OH1NA         59 196
QSO: 14188 PH 2025-10-11 1511 DL5AA         59 10 OH3JR         59 167
QSO: 14200 PH 2025-10-11 1514 DL5AA         59 11 SK3W          59 230
QSO: 14207 PH 2025-10-11 1517 DL5AA         59 12 OH6OS         59 271
QSO: 14212 PH 2025-10-11 1519 DL5AA         59 13 OH2R          59 316
QSO: 14241 PH 2025-10-11 1520 DL5AA         59 14 SE5E          59 328
QSO: 14264 PH 2025-10-11 1525 DL5AA         59 15 OF9X          59 223
QSO: 14282 PH 2025-10-11 1528 DL5AA         59 16 OH1TD         59 70
QSO: 14297 PH 2025-10-11 1534 DL5AA         59 18 SJ2W          59 476
QSO: 14313 PH 2025-10-11 1537 DL5AA         59 19 LB4UH         59 129
QSO: 14145 PH 2025-10-11 1539 DL5AA         59 30 SM2S          59 193
QSO: 14146 PH 2025-10-11 1541 DL5AA         59 21 LA1UKA        59 215
QSO: 14158 PH 2025-10-11 1545 DL5AA         59 22 OG100AA       59 164
QSO: 14172 PH 2025-10-11 1547 DL5AA         59 23 OG5O          59 244
QSO: 14190 PH 2025-10-11 1552 DL5AA         59 24 OG3B          59 279
QSO: 14226 PH 2025-10-12 0713 DL5AA         59 26 OH8L          59 697
QSO: 14235 PH 2025-10-12 0715 DL5AA         59 27 OI3V          59 671
QSO: 14254 PH 2025-10-12 0716 DL5AA         59 28 OG6N          59 763
QSO: 14275 PH 2025-10-12 0721 DL5AA         59 29 OH8WR         59 224
QSO: 21231 PH 2025-10-12 0809 DL5AA         59 30 OH6DX         59 819
QSO: 21239 PH 2025-10-12 0811 DL5AA         59 31 OG5B          59 473
QSO: 21245 PH 2025-10-12 0813 DL5AA         59 32 SJ2W          59 1612
QSO: 21252 PH 2025-10-12 0815 DL5AA         59 33 OG1F          59 1220
QSO: 21277 PH 2025-10-12 0820 DL5AA         59 34 OH1VR         59 197
QSO: 21272 PH 2025-10-12 0822 DL5AA         59 35 OH2KI         59 311
QSO: 21288 PH 2025-10-12 0825 DL5AA         59 36 OH3Z          59 380
QSO: 21295 PH 2025-10-12 0827 DL5AA         59 37 OH6RX         59 1458
QSO: 21298 PH 2025-10-12 0829 DL5AA         59 38 OH2R          59 819
QSO: 21308 PH 2025-10-12 0830 DL5AA         59 39 OH2XX         59 489
QSO: 21318 PH 2025-10-12 0833 DL5AA         59 40 OG7A          59 350
QSO: 21333 PH 2025-10-12 0835 DL5AA         59 41 OH1NA         59 585
QSO:  7178 PH 2025-10-12 0842 DL5AA         59 42 LN8W          59 386
QSO: 14172 PH 2025-10-12 0854 DL5AA         59 43 OH6MSZ        59 660
QSO: 14000 PH 2025-10-12 0945 DL5AA         59 44 OH4BCS        59 666
QSO: 14202 PH 2025-10-12 0949 DL5AA         59 45 OH2BKX        59 327
QSO: 14225 PH 2025-10-12 0953 DL5AA         59 46 OH8X          59 1164
QSO: 14274 PH 2025-10-12 0956 DL5AA         59 47 LN2T          59 462
QSO: 14277 PH 2025-10-12 0958 DL5AA         59 48 SM5EPO        59 580
QSO: 14290 PH 2025-10-12 1003 DL5AA         59 49 SG0X          59 821
QSO: 14295 PH 2025-10-12 1004 DL5AA         59 50 SJ3A          59 451
QSO:  7134 PH 2025-10-12 1135 DL5AA         59 51 OZ1D          59 380
QSO: 14213 PH 2025-10-12 1154 DL5AA         59 52 8S8S          59 810
END-OF-LOG:
