START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-SSB
CALLSIGN: F4JYF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F4JYF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-SSB SAC/SSB/2025.
QSO: 21253 PH 2025-10-11 1304 F4JYF         59 OZ5E          59 51
QSO: 21284 PH 2025-10-11 1305 F4JYF         59 2 SM6M          59 63
QSO: 21307 PH 2025-10-11 1306 F4JYF         59 3 OG3B          59 87
QSO: 21314 PH 2025-10-11 1307 F4JYF         59 4 LA8OM         59 62
QSO: 21305 PH 2025-10-11 1308 F4JYF         59 5 OI3V          59 69
QSO: 21280 PH 2025-10-11 1310 F4JYF         59 6 OZ0MF         59 99
QSO: 21365 PH 2025-10-11 1311 F4JYF         59 7 OY1R          59 85
QSO: 21249 PH 2025-10-11 1313 F4JYF         59 8 OG1F          59 174
QSO: 21220 PH 2025-10-11 1315 F4JYF         59 9 OH3RF         59 47
QSO: 14150 PH 2025-10-11 1317 F4JYF         59 10 OH6MSZ        59 116
QSO: 14180 PH 2025-10-11 1321 F4JYF         59 11 OZ4GM         59 64
QSO: 14200 PH 2025-10-11 1323 F4JYF         59 12 SK3W          59 108
QSO: 21347 PH 2025-10-11 1327 F4JYF         59 13 OH2OA         59 55
QSO: 21290 PH 2025-10-11 1329 F4JYF         59 14 OH6RX         59 186
QSO: 21269 PH 2025-10-11 1330 F4JYF         59 16 SM6TOL        59 40
QSO: 21286 PH 2025-10-11 1330 F4JYF         59 15 8S0C          59 71
QSO: 21200 PH 2025-10-11 1331 F4JYF         59 17 OH5NBJ        59 43
QSO: 21251 PH 2025-10-11 1331 F4JYF         59 16 OH7K          59 81
QSO: 21263 PH 2025-10-11 1332 F4JYF         59 19 SE5E          59 183
QSO: 21305 PH 2025-10-11 1333 F4JYF         59 20 OZ8AGB        59 10
QSO: 21277 PH 2025-10-11 1336 F4JYF         59 22 LN2T          59 109
QSO: 21295 PH 2025-10-11 1336 F4JYF         59 21 LB5GI         59 12
QSO: 21314 PH 2025-10-11 1338 F4JYF         59 23 OH3Z          59 76
QSO: 21342 PH 2025-10-11 1338 F4JYF         59 24 8S8S          59 182
QSO: 21335 PH 2025-10-11 1339 F4JYF         59 25 OH2R          59 148
QSO: 21331 PH 2025-10-11 1342 F4JYF         59 26 OZ4GM         59 47
QSO: 21246 PH 2025-10-11 1359 F4JYF         59 27 OH6MSZ        59 184
QSO: 21202 PH 2025-10-11 1400 F4JYF         59 28 SK3W          59 119
QSO: 21208 PH 2025-10-11 1400 F4JYF         59 29 OH2T          59 227
QSO: 21226 PH 2025-10-11 1402 F4JYF         59 30 OG8M          59 215
QSO: 21229 PH 2025-10-11 1403 F4JYF         59 31 OG1R          59 141
QSO: 21000 PH 2025-10-11 1404 F4JYF         59 32 SD9D          59 55
QSO: 21359 PH 2025-10-11 1405 F4JYF         59 33 OH6DX         59 263
QSO: 21298 PH 2025-10-11 1409 F4JYF         59 34 SM4ONW        59 85
QSO: 21288 PH 2025-10-11 1411 F4JYF         59 36 SG0X          59 199
QSO: 21293 PH 2025-10-11 1412 F4JYF         59 35 SD6D          59 22
QSO: 21240 PH 2025-10-11 1416 F4JYF         59 37 OF9X          59 190
QSO: 21236 PH 2025-10-11 1423 F4JYF         59 38 OH8WR         59 92
QSO: 21000 PH 2025-10-11 1429 F4JYF         59 39 SM6NT         59 22
QSO: 21263 PH 2025-10-11 1432 F4JYF         59 40 SE0X          59 223
QSO: 28517 PH 2025-10-11 1440 F4JYF         59 41 OI3V          59 152
QSO: 28489 PH 2025-10-11 1441 F4JYF         59 43 OH6RX         59 351
QSO: 28493 PH 2025-10-11 1441 F4JYF         59 42 OH0V          59 137
QSO: 28480 PH 2025-10-11 1443 F4JYF         59 44 OH2KI         59 123
QSO: 28504 PH 2025-10-11 1444 F4JYF         59 45 OG7A          59 2
QSO: 28514 PH 2025-10-11 1445 F4JYF         59 46 SG0X          59 243
QSO: 28565 PH 2025-10-11 1446 F4JYF         59 47 8S8S          59 272
QSO: 28525 PH 2025-10-11 1447 F4JYF         59 48 SK3W          59 112
QSO: 28400 PH 2025-10-11 1448 F4JYF         59 49 OG1F          59 365
QSO: 28425 PH 2025-10-11 1448 F4JYF         59 50 SC5C          59 152
QSO: 14157 PH 2025-10-11 1451 F4JYF         59 51 OH6DX         59 342
QSO: 14164 PH 2025-10-11 1452 F4JYF         59 52 OY1R          59 245
QSO: 14160 PH 2025-10-11 1453 F4JYF         59 53 SB7S          59 150
QSO: 14182 PH 2025-10-11 1453 F4JYF         59 54 OH1NA         59 158
QSO: 14188 PH 2025-10-11 1455 F4JYF         59 55 OH3JR         59 122
QSO: 14191 PH 2025-10-11 1456 F4JYF         59 56 OH2XX         59 241
QSO: 14220 PH 2025-10-11 1456 F4JYF         59 57 OH3RF         59 148
QSO: 14205 PH 2025-10-11 1458 F4JYF         59 58 SJ3A          59 133
QSO: 14213 PH 2025-10-11 1500 F4JYF         59 59 SE4A          59 166
QSO: 14218 PH 2025-10-11 1500 F4JYF         59 60 LN8W          59 180
QSO: 14221 PH 2025-10-11 1501 F4JYF         59 61 OH8X          59 332
QSO: 14236 PH 2025-10-11 1502 F4JYF         59 62 OH0V          59 178
QSO: 14270 PH 2025-10-11 1502 F4JYF         59 63 SA2T          59 135
QSO: 14273 PH 2025-10-11 1503 F4JYF         59 64 SG0M          59 147
QSO: 14297 PH 2025-10-11 1505 F4JYF         59 65 SJ2W          59 402
QSO: 14285 PH 2025-10-11 1507 F4JYF         59 66 OI5AY         59 96
QSO: 14268 PH 2025-10-11 1509 F4JYF         59 67 OZ5W          59 125
QSO: 14257 PH 2025-10-11 1510 F4JYF         59 68 OH2OA         59 170
QSO: 14251 PH 2025-10-11 1512 F4JYF         59 69 LB4UH         59 112
QSO:  7191 PH 2025-10-11 1515 F4JYF         59 70 OZ0MF         59 193
QSO: 14000 PH 2025-10-11 1520 F4JYF         59 71 SD9D          59 131
QSO: 14185 PH 2025-10-11 1521 F4JYF         59 72 LA1TV         59 247
QSO: 14201 PH 2025-10-11 1522 F4JYF         59 73 OG1F          59 430
QSO: 14225 PH 2025-10-11 1524 F4JYF         59 74 SM4ONW        59 179
QSO: 14241 PH 2025-10-11 1527 F4JYF         59 75 SE5E          59 336
