START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-SSB
CALLSIGN: F5JNX
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F5JNX
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-SSB SAC/SSB/2025.
QSO: 21290 PH 2025-10-11 1337 F5JNX         59 OH6RX         59 196
QSO: 21208 PH 2025-10-11 1338 F5JNX         59 2 OH2T          59 191
QSO: 21220 PH 2025-10-11 1339 F5JNX         59 2 OF9X          59 159
QSO: 21226 PH 2025-10-11 1340 F5JNX         59 4 OG8M          59 181
QSO: 21314 PH 2025-10-11 1343 F5JNX         59 6 OH3Z          59 89
QSO: 21220 PH 2025-10-11 1344 F5JNX         59 7 OH3RF         59 83
QSO: 21339 PH 2025-10-11 1345 F5JNX         59 8 OG3B          59 141
QSO: 21350 PH 2025-10-11 1345 F5JNX         59 9 OH8X          59 177
QSO: 21335 PH 2025-10-11 1346 F5JNX         59 10 OH2R          59 163
QSO: 21312 PH 2025-10-11 1347 F5JNX         59 11 OH8K          59 103
QSO: 21301 PH 2025-10-11 1348 F5JNX         59 12 OH8CYV        59 47
QSO: 21277 PH 2025-10-11 1349 F5JNX         59 13 LN2T          59 130
QSO: 21272 PH 2025-10-11 1350 F5JNX         59 14 OH4XX         59 122
QSO: 21246 PH 2025-10-11 1355 F5JNX         59 15 OH6MSZ        59 176
QSO: 21202 PH 2025-10-11 1356 F5JNX         59 16 SK3W          59 116
QSO: 21000 PH 2025-10-11 1405 F5JNX         59 18 LC5C          59 34
QSO: 21370 PH 2025-10-11 1407 F5JNX         59 19 OH1NA         59 95
QSO: 21343 PH 2025-10-11 1408 F5JNX         59 21 OH9GGY        59 104
QSO: 21347 PH 2025-10-11 1408 F5JNX         59 20 OH2OA         59 110
QSO: 21342 PH 2025-10-11 1410 F5JNX         59 22 8S8S          59 223
QSO: 21333 PH 2025-10-11 1411 F5JNX         59 23 OH0V          59 74
QSO: 21331 PH 2025-10-11 1412 F5JNX         59 24 OZ4GM         59 80
QSO: 21320 PH 2025-10-11 1413 F5JNX         59 25 SM5B          59 13
QSO: 21317 PH 2025-10-11 1414 F5JNX         59 26 OH1Z          59 101
QSO: 21315 PH 2025-10-11 1415 F5JNX         59 27 LB1UK         59 72
QSO: 21304 PH 2025-10-11 1417 F5JNX         59 28 LA1UKA        59 149
QSO: 21298 PH 2025-10-11 1418 F5JNX         59 29 SM4ONW        59 91
QSO: 21000 PH 2025-10-11 1419 F5JNX         59 30 OH2PQ         59 83
QSO: 21280 PH 2025-10-11 1420 F5JNX         59 31 OH3JR         59 60
QSO: 21200 PH 2025-10-11 1423 F5JNX         59 33 OH5NBJ        59 81
QSO: 21263 PH 2025-10-11 1423 F5JNX         59 34 SE0X          59 202
QSO: 21233 PH 2025-10-11 1426 F5JNX         59 35 LN8W          59 86
QSO: 21229 PH 2025-10-11 1427 F5JNX         59 36 OG1R          59 172
QSO: 21217 PH 2025-10-11 1428 F5JNX         59 37 OG100AA       59 113
QSO: 21318 PH 2025-10-11 1430 F5JNX         59 38 LA7WRA        59 45
QSO: 21318 PH 2025-10-11 1431 F5JNX         59 39 LA6LLA        59 15
QSO: 21318 PH 2025-10-11 1434 F5JNX         59 41 LA4QMA        59 9
QSO: 14132 PH 2025-10-11 1612 F5JNX         59 43 OZ1D          59 100
QSO: 14166 PH 2025-10-11 1613 F5JNX         59 44 LN8W          59 220
QSO: 14172 PH 2025-10-11 1614 F5JNX         59 45 OG5O          59 277
QSO: 14186 PH 2025-10-11 1615 F5JNX         59 46 SB7S          59 231
QSO: 14190 PH 2025-10-11 1616 F5JNX         59 47 OG3B          59 336
QSO: 14000 PH 2025-10-11 1617 F5JNX         59 48 LA/US1PM      59 103
QSO: 14205 PH 2025-10-11 1618 F5JNX         59 49 SJ3A          59 211
QSO: 14200 PH 2025-10-11 1619 F5JNX         59 50 LA2GKA        59 47
QSO: 14212 PH 2025-10-11 1620 F5JNX         59 51 OG1F          59 501
QSO: 14215 PH 2025-10-11 1621 F5JNX         59 51 SD7X          59 170
QSO: 14223 PH 2025-10-11 1622 F5JNX         59 53 OH2R          59 417
QSO: 14226 PH 2025-10-11 1623 F5JNX         59 54 SM2S          59 217
QSO: 14232 PH 2025-10-11 1624 F5JNX         59 55 LC4C          59 102
QSO: 14241 PH 2025-10-11 1625 F5JNX         59 56 OG7A          59 192
QSO: 14245 PH 2025-10-11 1626 F5JNX         59 57 OH8L          59 244
QSO: 14255 PH 2025-10-11 1627 F5JNX         59 58 OH8K          59 310
QSO: 14262 PH 2025-10-11 1629 F5JNX         59 60 OH2N          59 113
QSO: 14271 PH 2025-10-11 1630 F5JNX         59 61 SE0X          59 352
QSO: 14283 PH 2025-10-11 1631 F5JNX         59 62 SG0X          59 366
QSO: 14200 PH 2025-10-11 1632 F5JNX         59 63 SM6NT         59 152
QSO: 14248 PH 2025-10-11 1634 F5JNX         59 OH7FXK        59 9
QSO: 14249 PH 2025-10-11 1635 F5JNX         59 66 SB5X          59 11
QSO: 14200 PH 2025-10-11 1636 F5JNX         59 68 OH8JIX        59 22
QSO: 14249 PH 2025-10-11 1637 F5JNX         59 70 LB1LG         59 5
QSO: 14249 PH 2025-10-11 1637 F5JNX         59 69 LB1UK         59 135
QSO: 14000 PH 2025-10-11 1638 F5JNX         59 71 LC5C          59 57
QSO: 14249 PH 2025-10-11 1638 F5JNX         59 73 LA1DP         59 13
QSO: 14249 PH 2025-10-11 1638 F5JNX         59 72 LA4QMA        59 14
QSO: 14248 PH 2025-10-11 1639 F5JNX         59 74 SM4ONW        59 255
QSO: 14248 PH 2025-10-11 1640 F5JNX         59 75 OH7JL         59 105
QSO: 14000 PH 2025-10-11 1641 F5JNX         59 76 OH5UQ         59 23
QSO: 14248 PH 2025-10-11 1641 F5JNX         59 77 OH2HEX        59 70
QSO: 14248 PH 2025-10-11 1643 F5JNX         59 78 JW5X          59 149
QSO: 14248 PH 2025-10-11 1644 F5JNX         59 79 SA6SKA        59 28
QSO: 14248 PH 2025-10-11 1645 F5JNX         59 82 OH3KQ         59 38
QSO: 14248 PH 2025-10-11 1645 F5JNX         59 81 OH8TS         59 4
QSO: 14249 PH 2025-10-11 1645 F5JNX         59 18 LA6LLA        59 31
QSO:  7195 PH 2025-10-12 0722 F5JNX         59 84 OZ0MF         59 654
QSO:  7189 PH 2025-10-12 0725 F5JNX         59 34 OH6RE         59 36
QSO:  7174 PH 2025-10-12 0727 F5JNX         59 86 LN8W          59 360
QSO:  7000 PH 2025-10-12 0731 F5JNX         59 87 OH4BCS        59 562
QSO:  7097 PH 2025-10-12 0735 F5JNX         59 88 LA8OM         59 552
QSO: 14000 PH 2025-10-12 0742 F5JNX         59 89 SM5INC        59 615
QSO: 14211 PH 2025-10-12 0743 F5JNX         59 90 SK3W          59 543
QSO: 14201 PH 2025-10-12 0744 F5JNX         59 91 OH1VR         59 156
QSO: 14255 PH 2025-10-12 0750 F5JNX         59 92 OG6N          59 785
QSO: 14289 PH 2025-10-12 0752 F5JNX         59 93 OH1NA         59 555
QSO: 14269 PH 2025-10-12 0759 F5JNX         59 94 OH6MSZ        59 644
QSO: 14285 PH 2025-10-12 0801 F5JNX         59 95 OH8WR         59 268
QSO: 14198 PH 2025-10-12 0802 F5JNX         59 97 OH2KI         59 305
QSO: 14220 PH 2025-10-12 0802 F5JNX         59 96 OH3RF         59 405
QSO: 14278 PH 2025-10-12 0804 F5JNX         59 98 OH6RE         59 109
QSO: 14287 PH 2025-10-12 0805 F5JNX         59 99 8S8S          59 657
QSO: 14228 PH 2025-10-12 0807 F5JNX         59 100 OH3JR         59 340
QSO: 14208 PH 2025-10-12 0812 F5JNX         59 101 SM8T          59 481
QSO: 21280 PH 2025-10-12 0837 F5JNX         59 102 OH2N          59 241
QSO: 21284 PH 2025-10-12 0837 F5JNX         59 103 OH6RE         59 167
QSO: 21239 PH 2025-10-12 0839 F5JNX         59 104 OG5B          59 494
QSO: 21308 PH 2025-10-12 0839 F5JNX         59 105 OH2XX         59 498
QSO: 21245 PH 2025-10-12 0841 F5JNX         59 106 SJ2W          59 1652
QSO: 21268 PH 2025-10-12 0844 F5JNX         59 107 SG0M          59 214
QSO: 21268 PH 2025-10-12 0849 F5JNX         59 109 OH3KQ         59 71
QSO: 21203 PH 2025-10-12 0855 F5JNX         59 110 OG7A          59 378
QSO: 21231 PH 2025-10-12 0856 F5JNX         59 111 OH8WR         59 325
QSO: 21231 PH 2025-10-12 0908 F5JNX         59 112 OH6DX         59 911
QSO: 21210 PH 2025-10-12 0909 F5JNX         59 113 SE5E          59 989
QSO: 21222 PH 2025-10-12 0913 F5JNX         59 114 8S0C          59 526
QSO: 21235 PH 2025-10-12 0913 F5JNX         59 115 OH7K          59 423
QSO: 21249 PH 2025-10-12 0914 F5JNX         59 116 OH8WW         59 416
QSO: 21261 PH 2025-10-12 0915 F5JNX         59 117 OG5O          59 687
QSO: 21277 PH 2025-10-12 0916 F5JNX         59 118 OH1VR         59 256
QSO: 21292 PH 2025-10-12 0917 F5JNX         59 119 SM8T          59 546
QSO: 21321 PH 2025-10-12 0917 F5JNX         59 120 OG6N          59 888
END-OF-LOG:
