START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-SSB
CALLSIGN: F1BGY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F1BGY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-SSB SAC/SSB/2025.
QSO: 21256 PH 2025-10-11 1408 F1BGY         59 OH7K          59 117
QSO: 21263 PH 2025-10-11 1411 F1BGY         59 2 SE0X          59 167
QSO: 21267 PH 2025-10-11 1412 F1BGY         59 3 OH2XX         59 175
QSO: 21286 PH 2025-10-11 1413 F1BGY         59 4 OH6OS         59 188
QSO: 21359 PH 2025-10-11 1419 F1BGY         59 5 OH6DX         59 294
QSO: 21370 PH 2025-10-11 1419 F1BGY         59 6 OH1NA         59 117
QSO: 21280 PH 2025-10-11 1427 F1BGY         59 7 OH3JR         59 72
QSO: 21277 PH 2025-10-11 1429 F1BGY         59 8 SJ2W          59 324
QSO: 21256 PH 2025-10-11 1431 F1BGY         59 9 OH2KI         59 108
QSO: 21246 PH 2025-10-11 1432 F1BGY         59 10 OH6MSZ        59 230
QSO: 21243 PH 2025-10-11 1433 F1BGY         59 11 OG3B          59 191
QSO: 21236 PH 2025-10-11 1435 F1BGY         59 12 OH8WR         59 112
QSO: 21229 PH 2025-10-11 1438 F1BGY         59 13 OG1R          59 186
QSO: 21220 PH 2025-10-11 1439 F1BGY         59 14 OH7TO         59 99
QSO: 21208 PH 2025-10-11 1440 F1BGY         59 15 OH2T          59 291
QSO: 21202 PH 2025-10-11 1441 F1BGY         59 16 SK3W          59 161
QSO: 21304 PH 2025-10-11 1444 F1BGY         59 17 LA1UKA        59 178
QSO: 21310 PH 2025-10-11 1445 F1BGY         59 18 LN2T          59 184
QSO: 21351 PH 2025-10-11 1450 F1BGY         59 19 OI5AY         59 30
QSO: 21328 PH 2025-10-11 1451 F1BGY         59 20 OH3Z          59 120
QSO: 21301 PH 2025-10-11 1453 F1BGY         59 21 OH8CYV        59 83
QSO: 21294 PH 2025-10-11 1455 F1BGY         59 22 SM0D          59 75
QSO: 21290 PH 2025-10-11 1456 F1BGY         59 23 OH6RX         59 367
QSO: 21000 PH 2025-10-11 1500 F1BGY         59 24 SM5INC        59 131
QSO: 21272 PH 2025-10-11 1501 F1BGY         59 25 OH2R          59 302
QSO: 21226 PH 2025-10-11 1505 F1BGY         59 26 OG8M          59 292
QSO: 21221 PH 2025-10-11 1506 F1BGY         59 27 OH1RX         59 78
QSO: 21235 PH 2025-10-11 1509 F1BGY         59 28 OG5O          59 196
QSO: 21287 PH 2025-10-11 1510 F1BGY         59 29 OH1Z          59 129
QSO: 21220 PH 2025-10-11 1514 F1BGY         59 30 OH3RF         59 156
QSO: 21351 PH 2025-10-11 1515 F1BGY         59 31 OI5AY         59 67
QSO: 21357 PH 2025-10-11 1517 F1BGY         59 32 OH9JS         59 60
QSO: 21359 PH 2025-10-11 1526 F1BGY         59 34 OG7A          59 56
QSO: 21340 PH 2025-10-11 1529 F1BGY         59 35 OG6N          59 272
QSO: 14297 PH 2025-10-11 1531 F1BGY         59 36 SJ2W          59 467
QSO: 14285 PH 2025-10-11 1533 F1BGY         59 37 OI5AY         59 139
QSO: 14284 PH 2025-10-11 1535 F1BGY         59 38 SG0X          59 276
QSO: 14282 PH 2025-10-11 1537 F1BGY         59 39 OH1TD         59 80
QSO: 14276 PH 2025-10-11 1538 F1BGY         59 40 OH2T          59 344
QSO: 14275 PH 2025-10-11 1539 F1BGY         59 41 OI3V          59 216
QSO: 14273 PH 2025-10-11 1540 F1BGY         59 42 LA8HGA        59 101
QSO: 14262 PH 2025-10-11 1541 F1BGY         59 43 LB3AG         59 166
QSO: 14258 PH 2025-10-11 1543 F1BGY         59 44 SM9F          59 35
QSO: 14254 PH 2025-10-11 1545 F1BGY         59 45 OH7K          59 184
QSO: 14233 PH 2025-10-11 1546 F1BGY         59 46 LC2D          59 144
QSO: 14221 PH 2025-10-11 1547 F1BGY         59 47 OH8X          59 425
QSO: 14219 PH 2025-10-11 1548 F1BGY         59 48 OH6RX         59 456
QSO: 14215 PH 2025-10-11 1551 F1BGY         59 49 OH2BKX        59 204
QSO: 14210 PH 2025-10-11 1552 F1BGY         59 50 LA8OM         59 260
QSO: 14205 PH 2025-10-11 1553 F1BGY         59 51 SJ3A          59 188
QSO: 14200 PH 2025-10-11 1554 F1BGY         59 52 SK3W          59 269
QSO: 14197 PH 2025-10-11 1556 F1BGY         59 53 OH1Z          59 194
QSO: 14180 PH 2025-10-11 1557 F1BGY         59 54 OZ0MF         59 242
QSO: 14170 PH 2025-10-11 1622 F1BGY         59 55 SE5N          59 73
QSO: 14160 PH 2025-10-11 1623 F1BGY         59 56 8S8S          59 320
QSO: 14132 PH 2025-10-11 1625 F1BGY         59 57 OZ1D          59 109
QSO: 14000 PH 2025-10-11 1626 F1BGY         59 58 SD9D          59 144
QSO: 14166 PH 2025-10-11 1628 F1BGY         59 59 LN8W          59 229
QSO: 14200 PH 2025-10-11 1633 F1BGY         59 61 LA2GKA        59 57
QSO: 14217 PH 2025-10-11 1634 F1BGY         59 62 OG1F          59 528
QSO: 14241 PH 2025-10-11 1636 F1BGY         59 63 OG7A          59 222
QSO: 21000 PH 2025-10-11 1640 F1BGY         59 64 OH4BCS        59 253
QSO: 21296 PH 2025-10-11 1641 F1BGY         59 65 SE5N          59 90
QSO: 21310 PH 2025-10-11 1642 F1BGY         59 66 OY1R          59 427
QSO: 21325 PH 2025-10-11 1649 F1BGY         59 67 OH5GIO        59 72
QSO: 21340 PH 2025-10-11 1650 F1BGY         59 68 SM5EPO        59 179
QSO:  7166 PH 2025-10-11 2044 F1BGY         59 69 LN8W          59 240
QSO:  7184 PH 2025-10-11 2046 F1BGY         59 70 OH8X          59 730
