START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-SSB
CALLSIGN: G4FVK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G4FVK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-SSB SAC/SSB/2025.
QSO: 14293 PH 2025-10-11 1333 G4FVK         59 LB1TI         59 34
QSO: 14299 PH 2025-10-11 1335 G4FVK         59 2 LN2T          59 112
QSO: 14286 PH 2025-10-11 1338 G4FVK         59 3 SA2T          59 49
QSO: 14284 PH 2025-10-11 1339 G4FVK         59 4 SM6YEC        59 87
QSO: 14280 PH 2025-10-11 1341 G4FVK         59 5 OZ5W          59 71
QSO: 14260 PH 2025-10-11 1344 G4FVK         59 6 SC5C          59 76
QSO: 14257 PH 2025-10-11 1345 G4FVK         59 7 OH7JL         59 53
QSO: 14250 PH 2025-10-11 1349 G4FVK         59 8 LA4ESA        59 72
QSO: 14238 PH 2025-10-11 1351 G4FVK         59 9 SE5E          59 230
QSO: 14235 PH 2025-10-11 1353 G4FVK         59 10 LA1TV         59 160
QSO: 14226 PH 2025-10-11 1356 G4FVK         59 11 SK6D          59 75
QSO: 14215 PH 2025-10-11 1401 G4FVK         59 12 OH2BKX        59 107
QSO: 14213 PH 2025-10-11 1403 G4FVK         59 13 LN8W          59 136
QSO: 14203 PH 2025-10-11 1405 G4FVK         59 14 SE4A          59 146
QSO: 14192 PH 2025-10-11 1408 G4FVK         59 15 OZ4GM         59 128
QSO: 14184 PH 2025-10-11 1411 G4FVK         59 16 SK2A          59 88
QSO: 21249 PH 2025-10-11 1413 G4FVK         59 17 OG1F          59 294
QSO: 21229 PH 2025-10-11 1416 G4FVK         59 18 OG1R          59 162
QSO: 21226 PH 2025-10-11 1417 G4FVK         59 19 OG8M          59 237
QSO: 21217 PH 2025-10-11 1419 G4FVK         59 20 OG100AA       59 100
QSO: 21231 PH 2025-10-11 1423 G4FVK         59 21 OH2KI         59 97
QSO: 21246 PH 2025-10-11 1426 G4FVK         59 22 OH6MSZ        59 225
QSO: 21263 PH 2025-10-11 1428 G4FVK         59 23 SE0X          59 215
QSO: 21277 PH 2025-10-11 1430 G4FVK         59 24 SJ2W          59 327
QSO: 21280 PH 2025-10-11 1433 G4FVK         59 25 OH3JR         59 85
QSO: 21343 PH 2025-10-11 1436 G4FVK         59 26 OH9GGY        59 146
QSO: 21359 PH 2025-10-11 1439 G4FVK         59 27 OH6DX         59 335
QSO: 21367 PH 2025-10-11 1440 G4FVK         59 28 SM2S          59 151
QSO: 21380 PH 2025-10-11 1443 G4FVK         59 29 OH9JS         59 40
QSO: 21328 PH 2025-10-11 1449 G4FVK         59 30 OH3Z          59 117
QSO: 21235 PH 2025-10-11 1456 G4FVK         59 32 OG5O          59 183
QSO: 21208 PH 2025-10-11 1458 G4FVK         59 33 OH2T          59 309
QSO: 21272 PH 2025-10-11 1504 G4FVK         59 35 OH2R          59 306
QSO: 14188 PH 2025-10-11 1516 G4FVK         59 36 OH3JR         59 178
QSO: 14200 PH 2025-10-11 1522 G4FVK         59 37 SK3W          59 243
QSO: 14205 PH 2025-10-11 1524 G4FVK         59 38 SJ3A          59 159
QSO: 14212 PH 2025-10-11 1526 G4FVK         59 39 OH2R          59 328
QSO: 14221 PH 2025-10-11 1529 G4FVK         59 40 OH8X          59 392
QSO: 14225 PH 2025-10-11 1532 G4FVK         59 41 SM4ONW        59 196
QSO: 14233 PH 2025-10-11 1535 G4FVK         59 42 LC2D          59 129
QSO: 14237 PH 2025-10-11 1538 G4FVK         59 43 OH2HEX        59 24
QSO: 14244 PH 2025-10-11 1540 G4FVK         59 44 OH0V          59 223
