START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-SSB
CALLSIGN: F1FPL
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F1FPL
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-SSB SAC/SSB/2025.
QSO: 21212 PH 2025-10-11 1520 F1FPL         59 SA0IAT        59 183
QSO: 21226 PH 2025-10-11 1521 F1FPL         59 2 OG8M          59 309
QSO: 21229 PH 2025-10-11 1522 F1FPL         59 3 OG1R          59 222
QSO: 21235 PH 2025-10-11 1523 F1FPL         59 4 OG5O          59 219
QSO: 21240 PH 2025-10-11 1523 F1FPL         59 5 OH8WR         59 135
QSO: 21000 PH 2025-10-11 1525 F1FPL         59 6 OH4BCS        59 159
QSO: 21287 PH 2025-10-11 1526 F1FPL         59 7 OH1Z          59 148
QSO: 21296 PH 2025-10-11 1526 F1FPL         59 8 OH6RX         59 409
QSO: 21340 PH 2025-10-11 1528 F1FPL         59 9 OG6N          59 270
QSO: 21351 PH 2025-10-11 1529 F1FPL         59 10 OI5AY         59 94
QSO: 21359 PH 2025-10-11 1530 F1FPL         59 11 OG7A          59 69
QSO: 21312 PH 2025-10-11 1533 F1FPL         59 13 OH8K          59 239
QSO: 21324 PH 2025-10-11 1533 F1FPL         59 12 OG3B          59 258
QSO: 21301 PH 2025-10-11 1534 F1FPL         59 14 OH8CYV        59 97
QSO: 21000 PH 2025-10-11 1536 F1FPL         59 15 SM5INC        59 190
QSO: 21263 PH 2025-10-11 1537 F1FPL         59 16 SE0X          59 285
QSO: 21246 PH 2025-10-11 1538 F1FPL         59 17 SE5N          59 27
QSO: 21215 PH 2025-10-11 1539 F1FPL         59 18 OH2XX         59 294
QSO: 21205 PH 2025-10-11 1540 F1FPL         59 19 SE5E          59 362
QSO: 21207 PH 2025-10-11 1541 F1FPL         59 20 OH2N          59 46
QSO: 21237 PH 2025-10-11 1542 F1FPL         59 21 SC5C          59 222
QSO: 21310 PH 2025-10-11 1544 F1FPL         59 22 LN2T          59 233
QSO: 21337 PH 2025-10-11 1545 F1FPL         59 23 OH9JS         59 77
QSO: 21343 PH 2025-10-11 1546 F1FPL         59 24 OH9GGY        59 177
QSO: 21355 PH 2025-10-11 1549 F1FPL         59 25 SE4A          59 208
QSO: 21296 PH 2025-10-11 1557 F1FPL         59 26 OH2R          59 381
QSO: 21288 PH 2025-10-11 1558 F1FPL         59 27 SG0X          59 320
QSO: 21244 PH 2025-10-11 1559 F1FPL         59 28 LA7WRA        59 82
QSO: 21249 PH 2025-10-11 1601 F1FPL         59 29 OG1F          59 480
QSO: 21282 PH 2025-10-11 1603 F1FPL         59 30 8S8S          59 291
QSO: 21346 PH 2025-10-11 1605 F1FPL         59 31 OH8X          59 453
QSO: 21375 PH 2025-10-11 1606 F1FPL         59 32 OH1NA         59 274
QSO: 21290 PH 2025-10-11 1643 F1FPL         59 33 OH6MSZ        59 292
QSO: 21340 PH 2025-10-11 1645 F1FPL         59 34 SM5EPO        59 172
QSO: 21000 PH 2025-10-11 1646 F1FPL         59 35 SM7ATL        59 14
QSO: 21287 PH 2025-10-11 1647 F1FPL         59 36 SJ2W          59 572
QSO: 21212 PH 2025-10-11 1650 F1FPL         59 38 OH2T          59 441
QSO: 21310 PH 2025-10-11 1652 F1FPL         59 39 OY1R          59 442
QSO: 21314 PH 2025-10-11 1653 F1FPL         59 40 LN8W          59 166
QSO: 21223 PH 2025-10-11 1659 F1FPL         59 41 LC4C          59 108
QSO: 21233 PH 2025-10-11 1700 F1FPL         59 42 OH3Z          59 181
QSO: 21246 PH 2025-10-11 1701 F1FPL         59 43 LB1UK         59 144
QSO: 14169 PH 2025-10-11 1705 F1FPL         59 44 OH1NA         59 338
QSO: 14152 PH 2025-10-11 1706 F1FPL         59 46 LN8W          59 256
QSO: 14156 PH 2025-10-11 1706 F1FPL         59 45 OH2XX         59 363
