START-OF-LOG: 3.0
CREATED-BY: ADIF Multitool v0.1.20
CONTEST: REF-SSB
CALLSIGN: HB9HRL
NAME: Alexis Domjan
GRID-LOCATOR: JN37KA
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: LOW
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
X-MAX-POWER: 100
X-Q:                            --info sent---- --info rcvd---
X-Q: freq    mo date       time call   rst exch call  rst exch
QSO: 7147    PH 2026-02-21 1202 HB9HRL 59  1    TM5HF 59  52
QSO: 7121    PH 2026-02-21 1206 HB9HRL 59  2    TM74A 59  74
QSO: 7118    PH 2026-02-21 1208 HB9HRL 59  3    F8CHM 59  37
QSO: 7190    PH 2026-02-21 1209 HB9HRL 59  4    F4BLQ 59  74
QSO: 7181    PH 2026-02-21 1214 HB9HRL 59  5    F4EIK 59  52
QSO: 7174    PH 2026-02-21 1217 HB9HRL 59  6    F4BPO 59  74
QSO: 7152    PH 2026-02-21 1253 HB9HRL 59  7    F4MAG 59  3
QSO: 7132    PH 2026-02-21 1255 HB9HRL 59  8    F4JOY 59  43
QSO: 7106    PH 2026-02-21 1300 HB9HRL 59  9    F1ADG 59  74
QSO: 7156    PH 2026-02-22 0903 HB9HRL 59  10   F4IWO 59  1
QSO: 7158    PH 2026-02-22 0912 HB9HRL 59  11   F4GQP 59  18
QSO: 7134    PH 2026-02-22 0922 HB9HRL 59  12   F4HRM 59  79
QSO: 7090    PH 2026-02-22 1130 HB9HRL 59  13   F6KOP 59  77
QSO: 3742    PH 2026-02-22 1733 HB9HRL 59  14   F6KBR 59  66
QSO: 3736    PH 2026-02-22 1734 HB9HRL 59  15   F8KHO 59  51
QSO: 3722    PH 2026-02-22 1740 HB9HRL 59  16   F6REF 59  0
QSO: 7135    PH 2026-02-22 1744 HB9HRL 59  17   F6EPM 59  33
QSO: 7119    PH 2026-02-22 1746 HB9HRL 59  18   F4DVO 59  45
QSO: 7183    PH 2026-02-22 1749 HB9HRL 59  19   F5DJL 59  74
QSO: 7187    PH 2026-02-22 1752 HB9HRL 59  20   F4HQK 59  13
END-OF-LOG:
