START-OF-LOG: 3.0
CREATED-BY: DXLog.net v2.6.27
CONTEST: REF-SSB
CALLSIGN: F6KOP
LOCATION: 77
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-STATION: FIXED
CATEGORY-POWER: HIGH
GRID-LOCATOR: JN18PN
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CLAIMED-SCORE: 9469026
CLUB: CDXC UFT
NAME: RADIO CLUB DE PROVINS
CERTIFICATE: YES
OPERATORS: F4AJQ F4CLX F4DLM F4FET F4HHL F4HZR F4IEL F4JCK F4JCT F4JTL
OPERATORS: F4LAF F4LPZ F4LRV F4LTT F4LUX F4MYH F4MYJ F5ANZ F5PBM F6JMT IU0BMX
SOAPBOX: 
QSO:  3712 PH 2026-02-21 0600 F6KOP         59  77     F5AAR         59  49     
QSO:  3712 PH 2026-02-21 0601 F6KOP         59  77     F6GAQ         59  13     
QSO:  7160 PH 2026-02-21 0601 F6KOP         59  77     ON2M          59  001    
QSO:  3712 PH 2026-02-21 0602 F6KOP         59  77     F4LSR         59  62     
QSO:  7160 PH 2026-02-21 0602 F6KOP         59  77     F4HJM         59  50     
QSO: 14205 PH 2026-02-21 0602 F6KOP         59  77     ZL1DJW        58  001    
QSO:  3712 PH 2026-02-21 0602 F6KOP         59  77     F4IOM         59  56     
QSO:  3712 PH 2026-02-21 0603 F6KOP         59  77     F5ART         59  34     
QSO:  3712 PH 2026-02-21 0603 F6KOP         59  77     F5PSS         59  19     
QSO:  3712 PH 2026-02-21 0603 F6KOP         59  77     F4IWM/P       59  44     
QSO:  3712 PH 2026-02-21 0604 F6KOP         59  77     F5NKX         59  50     
QSO:  3712 PH 2026-02-21 0604 F6KOP         59  77     F4KKV         59  53     
QSO:  3712 PH 2026-02-21 0604 F6KOP         59  77     F4GWO         59  66     
QSO:  7160 PH 2026-02-21 0605 F6KOP         59  77     SQ5EIX        59  001    
QSO:  7160 PH 2026-02-21 0606 F6KOP         59  77     F4HWM         59  85     
QSO:  3712 PH 2026-02-21 0606 F6KOP         59  77     SE4E          59  001    
QSO: 14205 PH 2026-02-21 0606 F6KOP         59  77     JE1SSE        59  001    
QSO:  3712 PH 2026-02-21 0607 F6KOP         59  77     F4NXO         59  17     
QSO:  7160 PH 2026-02-21 0607 F6KOP         59  77     SQ7AM         59  002    
QSO: 14205 PH 2026-02-21 0607 F6KOP         59  77     ZL1XS         59  001    
QSO:  3712 PH 2026-02-21 0608 F6KOP         59  77     ON5TB         59  006    
QSO:  7160 PH 2026-02-21 0608 F6KOP         59  77     EA2DRA        59  001    
QSO:  3712 PH 2026-02-21 0608 F6KOP         59  77     F5KAZ         59  59     
QSO: 14205 PH 2026-02-21 0609 F6KOP         59  77     FK8HC         59  FK     
QSO:  7160 PH 2026-02-21 0609 F6KOP         59  77     OK1DQT        59  001    
QSO:  3711 PH 2026-02-21 0609 F6KOP         59  77     F5JYD         59  51     
QSO:  7160 PH 2026-02-21 0610 F6KOP         59  77     YT5KD         59  001    
QSO:  3711 PH 2026-02-21 0610 F6KOP         59  77     F6GAU         59  04     
QSO:  7160 PH 2026-02-21 0611 F6KOP         59  77     UA5R          59  002    
QSO:  3711 PH 2026-02-21 0612 F6KOP         59  77     F6CKD         59  44     
QSO:  3711 PH 2026-02-21 0612 F6KOP         59  77     F4FDA         59  29     
QSO:  7160 PH 2026-02-21 0612 F6KOP         59  77     SP7JPN        59  001    
QSO:  3711 PH 2026-02-21 0612 F6KOP         59  77     CT7AXB        59  013    
QSO:  3711 PH 2026-02-21 0613 F6KOP         59  77     F4JCO         59  27     
QSO:  3711 PH 2026-02-21 0613 F6KOP         59  77     F5TLZ         59  54     
QSO:  7160 PH 2026-02-21 0613 F6KOP         59  77     SP7FGA        59  001    
QSO:  3711 PH 2026-02-21 0614 F6KOP         59  77     F6GNG         59  76     
QSO:  3711 PH 2026-02-21 0614 F6KOP         59  77     F8KHW         59  62     
QSO:  3711 PH 2026-02-21 0615 F6KOP         59  77     F4FOM         59  11     
QSO:  3711 PH 2026-02-21 0615 F6KOP         59  77     F4GHN         59  27     
QSO:  3711 PH 2026-02-21 0616 F6KOP         59  77     F5MNC         59  41     
QSO:  3711 PH 2026-02-21 0616 F6KOP         59  77     F5DJL         59  74     
QSO:  3711 PH 2026-02-21 0616 F6KOP         59  77     F6KJX/P       59  41     
QSO:  3711 PH 2026-02-21 0616 F6KOP         59  77     F4LPJ         59  77     
QSO:  3711 PH 2026-02-21 0616 F6KOP         59  77     F5BQV         59  56     
QSO:  3711 PH 2026-02-21 0617 F6KOP         59  77     F5KSE         59  31     
QSO:  3711 PH 2026-02-21 0618 F6KOP         59  77     F6KMX         59  94     
QSO:  3711 PH 2026-02-21 0619 F6KOP         59  77     OK2BQZ        59  004    
QSO:  7160 PH 2026-02-21 0619 F6KOP         59  77     TI2CF         59  001    
