START-OF-LOG: 2.0
REF-SECTION: 59
CALLSIGN: F8KGN
CATEGORY: MULTI-ONE ALL LOW
CATEGORY-OVERLAY: CLUB
CLAIMED-SCORE:  19023
CONTEST: REF-SSB
CREATED-BY: WINREF-HF V9.7.18
NAME: RADIO CLUB 
OPERATORS: F1OGW F8DEM F4JQF F4WAP F4FYN F6INT F4JJZ F6JOE F4JHS F4GHG
RIG: FT450 D YAESU
RIG: FT450 D YAESU
RIG: WINDOM
RIG: 100
QSO: 7000  PH 2026-02-21 0827 F8KGN         59  59     F4DCJ         59  74   
QSO: 7000  PH 2026-02-21 0846 F8KGN         59  59     F4KIR         59  35   
QSO: 7000  PH 2026-02-21 0848 F8KGN         59  59     F6KOP         59  77   
QSO: 7000  PH 2026-02-21 0851 F8KGN         59  59     F4KKV         59  53   
QSO: 7000  PH 2026-02-21 0855 F8KGN         59  59     F6EPM         59  33   
QSO: 7000  PH 2026-02-21 0857 F8KGN         59  59     F6FET         59  53   
QSO: 7000  PH 2026-02-21 0903 F8KGN         59  59     F6REF         59  00   
QSO: 7000  PH 2026-02-21 0904 F8KGN         59  59     F4BPO         59  74   
QSO: 7000  PH 2026-02-21 0907 F8KGN         59  59     F8KCF         59  74   
QSO: 7000  PH 2026-02-21 0908 F8KGN         59  59     TM5TT         59  41   
QSO: 7000  PH 2026-02-21 0921 F8KGN         59  59     F6AXN         59  28   
QSO: 7000  PH 2026-02-21 0923 F8KGN         59  59     F4CWN         59  32   
QSO: 7000  PH 2026-02-21 0924 F8KGN         59  59     F5HIJ         59  34   
QSO: 7000  PH 2026-02-21 0926 F8KGN         59  59     F6HQP         59  73   
QSO: 7000  PH 2026-02-21 0928 F8KGN         59  59     F6KBK         59  77   
QSO: 7000  PH 2026-02-21 0930 F8KGN         59  59     F6KMX         59  94   
QSO: 7000  PH 2026-02-21 0939 F8KGN         59  59     F4IWO         59  01   
QSO: 7000  PH 2026-02-21 0942 F8KGN         59  59     F4KOP         59  54   
QSO: 7000  PH 2026-02-21 0947 F8KGN         59  59     F8KGU         59  62   
QSO: 7000  PH 2026-02-21 0948 F8KGN         59  59     F4HTO         59  62   
QSO: 7000  PH 2026-02-21 0953 F8KGN         59  59     F5JRC         59  02   
QSO: 7000  PH 2026-02-21 1000 F8KGN         59  59     F8KGZ         59  54   
QSO: 14000 PH 2026-02-21 1003 F8KGN         59  59     HA5PHK        59  172  
QSO: 14000 PH 2026-02-21 1014 F8KGN         59  59     F4EMK         59  64   
QSO: 14000 PH 2026-02-21 1017 F8KGN         59  59     HG8W          59  063  
QSO: 14000 PH 2026-02-21 1021 F8KGN         59  59     EC5SP         59  044  
QSO: 14000 PH 2026-02-21 1031 F8KGN         59  59     IZ5WTV        59  037  
QSO: 14000 PH 2026-02-21 1035 F8KGN         59  59     SN8K          59  031  
QSO: 14000 PH 2026-02-21 1039 F8KGN         59  59     TM13X         59  13   
QSO: 14000 PH 2026-02-21 1042 F8KGN         59  59     F4CWN         59  32   
QSO: 14000 PH 2026-02-21 1048 F8KGN         59  59     TK4TH         59  2B   
QSO: 14000 PH 2026-02-21 1049 F8KGN         59  59     TK4RB         59  2B   
QSO: 14000 PH 2026-02-21 1054 F8KGN         59  59     IW0HLZ        59  072  
QSO: 14000 PH 2026-02-21 1146 F8KGN         59  59     EA5QA         59  066  
QSO: 7000  PH 2026-02-21 1301 F8KGN         59  59     F5OHM         59  36   
QSO: 7000  PH 2026-02-21 1303 F8KGN         59  59     HB9HLM        59  243  
QSO: 7000  PH 2026-02-21 1305 F8KGN         59  59     F4IDT         59  03   
QSO: 7000  PH 2026-02-21 1308 F8KGN         59  59     F1ADG         59  74   
QSO: 7000  PH 2026-02-21 1309 F8KGN         59  59     F1FCA         59  57   
QSO: 7000  PH 2026-02-21 1311 F8KGN         59  59     TM74A         59  74   
QSO: 7000  PH 2026-02-21 1312 F8KGN         59  59     F5KDC         59  63   
QSO: 7000  PH 2026-02-21 1314 F8KGN         59  59     F4GWM         59  39   
QSO: 7000  PH 2026-02-21 1315 F8KGN         59  59     F1DUZ         59  49   
QSO: 7000  PH 2026-02-21 1320 F8KGN         59  59     F4GHN         59  27   
QSO: 7000  PH 2026-02-21 1322 F8KGN         59  59     TM2F          59  77   
QSO: 7000  PH 2026-02-21 1326 F8KGN         59  59     F5AUZ         59  87   
QSO: 7000  PH 2026-02-21 1336 F8KGN         59  59     HB9TWU        59  296  
QSO: 7000  PH 2026-02-21 1338 F8KGN         59  59     TM3P          59  38   
QSO: 7000  PH 2026-02-21 1427 F8KGN         59  59     F4BLQ         59  74   
QSO: 7000  PH 2026-02-21 1443 F8KGN         59  59     F4KNJ         59  77   
QSO: 7000  PH 2026-02-21 1444 F8KGN         59  59     F4JEJ         59  76   
QSO: 7000  PH 2026-02-21 1446 F8KGN         59  59     F8KIS         59  17   
QSO: 7000  PH 2026-02-21 1453 F8KGN         59  59     F5CYM         59  35   
QSO: 14000 PH 2026-02-21 1516 F8KGN         59  59     IK8UND        59  103  
QSO: 14000 PH 2026-02-22 0806 F8KGN         59  59     F6HQP         59  73   
QSO: 7000  PH 2026-02-22 0817 F8KGN         59  59     F6GOE         59  19   
QSO: 7000  PH 2026-02-22 0818 F8KGN         59  59     F6GPT         59  33   
QSO: 7000  PH 2026-02-22 0822 F8KGN         59  59     S51CK         59  722  
QSO: 7000  PH 2026-02-22 0825 F8KGN         59  59     F5NIB         59  36   
QSO: 7000  PH 2026-02-22 0827 F8KGN         59  59     TM2C          59  85   
QSO: 7000  PH 2026-02-22 0830 F8KGN         59  59     F5KLE         59  46   
QSO: 7000  PH 2026-02-22 0831 F8KGN         59  59     F4KKF         59  13   
QSO: 7000  PH 2026-02-22 0838 F8KGN         59  59     F8KHO         59  51   
QSO: 7000  PH 2026-02-22 0840 F8KGN         59  59     F8DHE         59  42   
QSO: 7000  PH 2026-02-22 0840 F8KGN         59  59     TM5HF         59  52   
QSO: 7000  PH 2026-02-22 0843 F8KGN         59  59     F6KQV         59  67   
QSO: 7000  PH 2026-02-22 0844 F8KGN         59  59     TM74TH        59  74   
QSO: 7000  PH 2026-02-22 0848 F8KGN         59  59     F4FKR         59  22   
QSO: 7000  PH 2026-02-22 0852 F8KGN         59  59     TM4K          59  03   
QSO: 7000  PH 2026-02-22 0854 F8KGN         59  59     F8KPQ         59  56   
QSO: 7000  PH 2026-02-22 0923 F8KGN         59  59     F8ETI         59  24   
QSO: 14000 PH 2026-02-22 1008 F8KGN         59  59     CT7AXB        59  729  
QSO: 14000 PH 2026-02-22 1012 F8KGN         59  59     R3DCX         59  067  
END-OF-LOG:
