START-OF-LOG: 3.0
CALLSIGN: PP5JY
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 64052
NAME: Joaquim Rangel Codeco
LOCATION: DX
OPERATORS: PP5JY
CLUB: ARAUCARIA DX GROUP
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.4946.0
SOAPBOX: We did have fun for the some hours we opereted.
QSO: 21000 PH 2015-10-24 1939 PP5JY         59  11     S50K          59  15
QSO: 21000 PH 2015-10-24 1942 PP5JY         59  11     PT2CM         59  11
QSO: 21000 PH 2015-10-24 1943 PP5JY         59  11     EF8C          59  33
QSO: 21000 PH 2015-10-24 1954 PP5JY         59  11     ZW5B          59  11
QSO: 21000 PH 2015-10-24 1955 PP5JY         59  11     CX2CC         59  13
QSO: 21000 PH 2015-10-24 1956 PP5JY         59  11     YV6CR         59  09
QSO: 21000 PH 2015-10-24 2002 PP5JY         59  11     CX9AU         59  13
QSO: 21000 PH 2015-10-24 2008 PP5JY         59  11     HK1NA         59  09
QSO: 21000 PH 2015-10-24 2009 PP5JY         59  11     N7AT          59  03
QSO: 21000 PH 2015-10-24 2011 PP5JY         59  11     K5TR          59  04
QSO: 21000 PH 2015-10-24 2013 PP5JY         59  11     YV4NN         59  09
QSO: 21000 PH 2015-10-24 2016 PP5JY         59  11     K4TCG         59  04
QSO: 28000 PH 2015-10-24 2018 PP5JY         59  11     VE3UTT        59  04
QSO: 28000 PH 2015-10-24 2019 PP5JY         59  11     LU7YZ         59  13
QSO: 21000 PH 2015-10-24 2027 PP5JY         59  11     EF8R          59  33
QSO: 21000 PH 2015-10-24 2029 PP5JY         59  11     CV7S          59  13
QSO: 21000 PH 2015-10-24 2038 PP5JY         59  11     VA3FP         59  04
QSO: 21000 PH 2015-10-24 2040 PP5JY         59  11     PR7RBA        59  11
QSO: 21000 PH 2015-10-24 2040 PP5JY         59  11     K3UL          59  05
QSO: 28000 PH 2015-10-24 2045 PP5JY         59  11     XR6T          59  12
QSO: 28000 PH 2015-10-24 2046 PP5JY         59  11     W3LPL         59  05
QSO: 28000 PH 2015-10-24 2047 PP5JY         59  11     K7JR          59  03
QSO: 28000 PH 2015-10-24 2049 PP5JY         59  11     FG4KH         59  08
QSO: 28000 PH 2015-10-24 2053 PP5JY         59  11     CX2DK         59  13
QSO: 28000 PH 2015-10-24 2056 PP5JY         59  11     W4UQ          59  05
QSO: 28000 PH 2015-10-24 2245 PP5JY         59  11     LT1N          59  13
QSO: 21000 PH 2015-10-24 2246 PP5JY         59  11     N0NI          59  04
QSO: 21000 PH 2015-10-24 2248 PP5JY         59  11     LU9MDH        59  13
QSO: 21000 PH 2015-10-24 2250 PP5JY         59  11     LU5MT         59  13
QSO: 21000 PH 2015-10-24 2254 PP5JY         59  11     V47T          59  08
QSO: 21000 PH 2015-10-24 2257 PP5JY         59  11     K7UA          59  03
QSO: 21000 PH 2015-10-24 2258 PP5JY         59  11     KQ2M          59  05
QSO: 21000 PH 2015-10-24 2258 PP5JY         59  11     9Y4W          59  09
QSO: 21000 PH 2015-10-24 2259 PP5JY         59  11     TO2M          59  08
QSO: 21000 PH 2015-10-24 2304 PP5JY         59  11     KU2M          59  05
QSO: 21000 PH 2015-10-24 2305 PP5JY         59  11     WQ6X          59  03
QSO: 21000 PH 2015-10-24 2308 PP5JY         59  11     NX1P          59  03
QSO: 21000 PH 2015-10-24 2321 PP5JY         59  11     K8AZ          59  04
QSO: 21000 PH 2015-10-24 2323 PP5JY         59  11     KL7RA         59  01
QSO: 21000 PH 2015-10-24 2325 PP5JY         59  11     VA7RR         59  03
QSO: 21000 PH 2015-10-24 2325 PP5JY         59  11     K3ZO          59  05
QSO: 21000 PH 2015-10-24 2326 PP5JY         59  11     JR3NZC        59  25
QSO: 21000 PH 2015-10-24 2328 PP5JY         59  11     JA5FDJ        59  25
QSO: 21000 PH 2015-10-24 2329 PP5JY         59  11     JH1EAQ        59  25
QSO: 21000 PH 2015-10-24 2331 PP5JY         59  11     JA2KSI        59  25
QSO: 21000 PH 2015-10-24 2332 PP5JY         59  11     Z5L           59  00
QSO: 21000 PH 2015-10-24 2332 PP5JY         59  11     ZW5B          59  11
QSO: 21000 PH 2015-10-24 2334 PP5JY         59  11     JA7QVI        59  25
QSO: 21000 PH 2015-10-24 2336 PP5JY         59  11     JE1ZWT        59  25
QSO: 21000 PH 2015-10-24 2337 PP5JY         59  11     JA7ZFN        59  25
QSO: 21000 PH 2015-10-24 2337 PP5JY         59  11     JA7YRR        59  25
QSO: 21000 PH 2015-10-24 2338 PP5JY         59  11     JE1FQV        59  25
QSO: 21000 PH 2015-10-24 2339 PP5JY         59  11     K0KX          59  04
QSO: 21000 PH 2015-10-24 2343 PP5JY         59  11     K6LL          59  03
QSO:  7000 PH 2015-10-25 0811 PP5JY         59  11     LT1F          59  13
QSO:  7000 PH 2015-10-25 0817 PP5JY         59  11     CE3CT         59  12
QSO:  7000 PH 2015-10-25 0823 PP5JY         59  11     CV3D          59  13
QSO:  7000 PH 2015-10-25 0827 PP5JY         59  11     CB3W          59  12
QSO:  7000 PH 2015-10-25 0835 PP5JY         59  11     LU8YE         59  13
QSO: 21000 PH 2015-10-25 0849 PP5JY         59  11     DL2ARD        59  14
QSO: 21000 PH 2015-10-25 0851 PP5JY         59  11     F4FET         59  14
QSO: 21000 PH 2015-10-25 0852 PP5JY         59  11     EI7M          59  14
QSO: 21000 PH 2015-10-25 0852 PP5JY         59  11     SN2M          59  15
QSO: 21000 PH 2015-10-25 0853 PP5JY         59  11     F4ENK         59  14
QSO: 21000 PH 2015-10-25 0855 PP5JY         59  11     LY7A          59  15
QSO: 21000 PH 2015-10-25 0910 PP5JY         59  11     UW2M          59  16
QSO: 21000 PH 2015-10-25 0911 PP5JY         59  11     ZV10M         59  11
QSO: 21000 PH 2015-10-25 0913 PP5JY         59  11     PI4DX         59  14
QSO: 21000 PH 2015-10-25 0917 PP5JY         59  11     DF9XV         59  14
QSO: 21000 PH 2015-10-25 0917 PP5JY         59  11     9A1A          59  15
QSO: 21000 PH 2015-10-25 0918 PP5JY         59  11     CR6K          59  14
QSO: 21000 PH 2015-10-25 0919 PP5JY         59  11     ED3X          59  14
QSO: 21000 PH 2015-10-25 0922 PP5JY         59  11     DJ5MW         59  14
QSO: 21000 PH 2015-10-25 0924 PP5JY         59  11     RM3F          59  16
QSO: 21000 PH 2015-10-25 0925 PP5JY         59  11     DJ7WW         59  14
QSO: 21000 PH 2015-10-25 0927 PP5JY         59  11     ED1R          59  14
QSO: 21000 PH 2015-10-25 0930 PP5JY         59  11     IR4X          59  15
QSO: 21000 PH 2015-10-25 0930 PP5JY         59  11     SN8B          59  15
