START-OF-LOG: 3.0
CALLSIGN: MM3T
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 501426
NAME: Douglas Maxwell
LOCATION: DX
OPERATORS: GM0ELP
CLUB: Lanarkshire Contest Group
CERTIFICATE: NO
CREATED-BY: Win-Test 4.18.0
SOAPBOX: Elecraft K3 and OCFD. Lots of stations from Eastern Europe and Russia
SOAPBOX: with incredibly loud and clear audio on their frequency, but garbled
SOAPBOX: papps and mwapps from them on my frequency, over 4KHz away! This gives
SOAPBOX: them such an unfair advantage, there really is no contest. Great
SOAPBOX: conditions on all bands, ears still recovering from the splatter.
QSO:  3731 PH 2015-10-24 0001 MM3T          59  14     G5N           59  14     0
QSO:  3724 PH 2015-10-24 0002 MM3T          59  14     GM9N          59  14     0
QSO:  3702 PH 2015-10-24 0005 MM3T          59  14     LY2W          59  15     0
QSO:  3684 PH 2015-10-24 0006 MM3T          59  14     S53F          59  15     0
QSO:  3675 PH 2015-10-24 0007 MM3T          59  14     IQ2MI         59  15     0
QSO:  3643 PH 2015-10-24 0008 MM3T          59  14     SK7K          59  14     0
QSO:  3637 PH 2015-10-24 0010 MM3T          59  14     9A3B          59  15     0
QSO:  3633 PH 2015-10-24 0011 MM3T          59  14     EI1A          59  14     0
QSO:  3607 PH 2015-10-24 0011 MM3T          59  14     ON3DI         59  14     0
QSO:  3664 PH 2015-10-24 0012 MM3T          59  14     G5W           59  14     0
QSO:  3670 PH 2015-10-24 0013 MM3T          59  14     PA3AAV        59  14     0
QSO:  3678 PH 2015-10-24 0014 MM3T          59  14     S53EA         59  15     0
QSO:  3683 PH 2015-10-24 0015 MM3T          59  14     M5B           59  14     0
QSO:  3686 PH 2015-10-24 0015 MM3T          59  14     LY7Z          59  15     0
QSO:  3705 PH 2015-10-24 0019 MM3T          59  14     LZ7A          59  20     0
QSO:  3708 PH 2015-10-24 0020 MM3T          59  14     LY9Y          59  15     0
QSO:  3719 PH 2015-10-24 0024 MM3T          59  14     TM0R          59  14     0
QSO:  3722 PH 2015-10-24 0032 MM3T          59  14     4L0A          59  21     0
QSO:  3725 PH 2015-10-24 0034 MM3T          59  14     RK9AX         59  17     0
QSO:  3731 PH 2015-10-24 0036 MM3T          59  14     CR2X          59  14     0
QSO:  3737 PH 2015-10-24 0037 MM3T          59  14     9A1A          59  15     0
QSO:  3742 PH 2015-10-24 0038 MM3T          59  14     PI4DX         59  14     0
QSO:  3744 PH 2015-10-24 0039 MM3T          59  14     EI1Y          59  14     0
QSO:  3747 PH 2015-10-24 0039 MM3T          59  14     SI9AM         59  14     0
QSO:  3749 PH 2015-10-24 0040 MM3T          59  14     OK7O          59  15     0
QSO:  3752 PH 2015-10-24 0043 MM3T          59  14     DL1A          59  14     0
QSO:  3759 PH 2015-10-24 0044 MM3T          59  14     PI4COM        59  14     0
QSO:  3772 PH 2015-10-24 0048 MM3T          59  14     YT5A          59  15     0
QSO:  3778 PH 2015-10-24 0048 MM3T          59  14     HG7T          59  15     0
QSO:  3782 PH 2015-10-24 0049 MM3T          59  14     M6T           59  14     0
QSO:  3799 PH 2015-10-24 0051 MM3T          59  14     CN2AA         59  33     0
QSO:  3619 PH 2015-10-24 0054 MM3T          59  14     KC1XX         59  05     0
QSO:  3634 PH 2015-10-24 0056 MM3T          59  14     W3LPL         59  05     0
QSO:  3629 PH 2015-10-24 0057 MM3T          59  14     K3LR          59  05     0
QSO: 28476 PH 2015-10-24 0734 MM3T          59  14     A61ZX         59  21     0
QSO: 28384 PH 2015-10-24 0739 MM3T          59  14     P33W          59  20     0
QSO: 28390 PH 2015-10-24 0740 MM3T          59  14     UW9I          59  16     0
QSO: 28406 PH 2015-10-24 0742 MM3T          59  14     UX7QV         59  16     0
QSO: 28446 PH 2015-10-24 0746 MM3T          59  14     VU2YVK        59  22     0
QSO: 28490 PH 2015-10-24 0750 MM3T          59  14     A71CV         59  21     0
QSO: 28493 PH 2015-10-24 0751 MM3T          59  14     A73A          59  21     0
QSO: 28509 PH 2015-10-24 0752 MM3T          59  14     RX4W          59  16     0
QSO: 28520 PH 2015-10-24 0752 MM3T          59  14     UV5EVZ        59  16     0
QSO: 28522 PH 2015-10-24 0753 MM3T          59  14     UW2M          59  16     0
QSO: 28526 PH 2015-10-24 0753 MM3T          59  14     SV9GPV        59  20     0
QSO: 28532 PH 2015-10-24 0754 MM3T          59  14     UA9FLK        59  17     0
QSO: 28552 PH 2015-10-24 0803 MM3T          59  14     HS0ZIA        59  26     0
QSO: 28559 PH 2015-10-24 0804 MM3T          59  14     RJ4P          59  16     0
QSO: 28570 PH 2015-10-24 0805 MM3T          59  14     9K2HN         59  21     0
QSO: 28628 PH 2015-10-24 0809 MM3T          59  14     A61BK         59  21     0
QSO: 28635 PH 2015-10-24 0810 MM3T          59  14     4L0A          59  21     0
QSO: 28639 PH 2015-10-24 0810 MM3T          59  14     C4A           59  20     0
QSO: 28673 PH 2015-10-24 0811 MM3T          59  14     VU2PAI        59  22     0
QSO: 28613 PH 2015-10-24 0817 MM3T          59  14     R3GMT         59  16     0
QSO: 28613 PH 2015-10-24 0817 MM3T          59  14     RT6A          59  16     0
QSO: 28613 PH 2015-10-24 0818 MM3T          59  14     UT6UC         59  16     0
QSO: 28613 PH 2015-10-24 0818 MM3T          59  14     RC3W          59  16     0
QSO: 28613 PH 2015-10-24 0819 MM3T          59  14     RT4D          59  16     0
QSO: 28613 PH 2015-10-24 0820 MM3T          59  14     R4FAN         59  16     0
QSO: 28613 PH 2015-10-24 0821 MM3T          59  14     SV1JG         59  20     0
QSO: 28613 PH 2015-10-24 0822 MM3T          59  14     RX7T          59  16     0
QSO: 28612 PH 2015-10-24 0823 MM3T          59  14     LZ7O          59  20     0
QSO: 28612 PH 2015-10-24 0824 MM3T          59  14     TC3O          59  20     0
QSO: 28612 PH 2015-10-24 0825 MM3T          59  14     SV2FLM        59  20     0
QSO: 28612 PH 2015-10-24 0826 MM3T          59  14     SV3ICL        59  20     0
QSO: 28612 PH 2015-10-24 0826 MM3T          59  14     GM0LIR        59  14     0
QSO: 28612 PH 2015-10-24 0827 MM3T          59  14     ER1OO         59  16     0
QSO: 28612 PH 2015-10-24 0828 MM3T          59  14     YQ6A          59  20     0
QSO: 28612 PH 2015-10-24 0830 MM3T          59  14     TA2ANB        59  20     0
QSO:  7190 PH 2015-10-24 0832 MM3T          59  14     M9A           59  14     0
QSO:  7187 PH 2015-10-24 0832 MM3T          59  14     DL6ON         59  14     0
QSO:  7187 PH 2015-10-24 0833 MM3T          59  14     OK2SFP        59  15     0
QSO:  7187 PH 2015-10-24 0835 MM3T          59  14     G3B           59  14     0
QSO:  7187 PH 2015-10-24 0836 MM3T          59  14     MM6PHG        59  14     0
QSO:  7187 PH 2015-10-24 0837 MM3T          59  14     M0MCV         59  14     0
QSO:  7187 PH 2015-10-24 0838 MM3T          59  14     DL2FAG        59  14     0
QSO:  7185 PH 2015-10-24 0840 MM3T          59  14     LY7A          59  15     0
QSO:  7178 PH 2015-10-24 0841 MM3T          59  14     M4U           59  14     0
QSO:  7173 PH 2015-10-24 0842 MM3T          59  14     PA1NHZ        59  14     0
QSO:  7168 PH 2015-10-24 0843 MM3T          59  14     DF0HQ         59  14     0
QSO:  7160 PH 2015-10-24 0843 MM3T          59  14     TM0T          59  14     0
QSO:  7152 PH 2015-10-24 0844 MM3T          59  14     9A1A          59  15     0
QSO:  7144 PH 2015-10-24 0845 MM3T          59  14     PA0EMO        59  14     0
QSO:  7142 PH 2015-10-24 0846 MM3T          59  14     EI9HX         59  14     0
QSO:  7141 PH 2015-10-24 0846 MM3T          59  14     S51YI         59  15     0
QSO:  7136 PH 2015-10-24 0847 MM3T          59  14     CR5T          59  14     0
QSO:  7135 PH 2015-10-24 0847 MM3T          59  14     SN1D          59  15     0
QSO:  7129 PH 2015-10-24 0848 MM3T          59  14     W3LPL         59  05     0
QSO:  7125 PH 2015-10-24 0848 MM3T          59  14     S56X          59  15     0
QSO:  7118 PH 2015-10-24 0850 MM3T          59  14     TF2LL         59  40     0
QSO:  7113 PH 2015-10-24 0850 MM3T          59  14     C37N          59  14     0
QSO:  7108 PH 2015-10-24 0851 MM3T          59  14     OT5A          59  14     0
QSO:  7102 PH 2015-10-24 0851 MM3T          59  14     PI4ZU         59  14     0
QSO:  7098 PH 2015-10-24 0853 MM3T          59  14     PI4CC         59  14     0
QSO:  7091 PH 2015-10-24 0853 MM3T          59  14     OK4K          59  15     0
QSO:  7069 PH 2015-10-24 0854 MM3T          59  14     ON4VDV        59  14     0
QSO: 14120 PH 2015-10-24 0855 MM3T          59  14     YO9HP         59  20     0
QSO: 14123 PH 2015-10-24 0856 MM3T          59  14     UT7QL         59  16     0
QSO: 14129 PH 2015-10-24 0857 MM3T          59  14     LY5R          59  15     0
QSO: 14132 PH 2015-10-24 0858 MM3T          59  14     EA3FF         59  14     0
QSO: 14141 PH 2015-10-24 0858 MM3T          59  14     EA2KV         59  14     0
QSO: 14148 PH 2015-10-24 0859 MM3T          59  14     SK6AW         59  14     0
QSO: 14154 PH 2015-10-24 0900 MM3T          59  14     RC3W          59  16     0
QSO: 14155 PH 2015-10-24 0901 MM3T          59  14     EA4TD         59  14     0
QSO: 14157 PH 2015-10-24 0902 MM3T          59  14     IZ4VYY        59  15     0
QSO: 14162 PH 2015-10-24 0905 MM3T          59  14     EA8CCQ        59  33     0
QSO: 14166 PH 2015-10-24 0905 MM3T          59  14     OM0WR         59  15     0
QSO: 14168 PH 2015-10-24 0906 MM3T          59  14     S57DX         59  15     0
QSO: 14173 PH 2015-10-24 0906 MM3T          59  14     RO2E          59  16     0
QSO: 14176 PH 2015-10-24 0907 MM3T          59  14     9A1A          59  15     0
QSO: 14181 PH 2015-10-24 0907 MM3T          59  14     F8DVD         59  14     0
QSO: 14184 PH 2015-10-24 0908 MM3T          59  14     IK3UNA/1      59  15     0
QSO: 14187 PH 2015-10-24 0909 MM3T          59  14     RT8U          59  18     0
QSO: 14189 PH 2015-10-24 0909 MM3T          59  14     SI9AM         59  14     0
QSO: 14193 PH 2015-10-24 0910 MM3T          59  14     TM4L          59  14     0
QSO: 14198 PH 2015-10-24 0910 MM3T          59  14     SO9Q          59  15     0
QSO: 14200 PH 2015-10-24 0911 MM3T          59  14     C37N          59  14     0
QSO: 14205 PH 2015-10-24 0912 MM3T          59  14     HG6ITU        59  15     0
QSO: 14212 PH 2015-10-24 0912 MM3T          59  14     HA8RT         59  15     0
QSO: 14215 PH 2015-10-24 0912 MM3T          59  14     YT5A          59  15     0
QSO: 14220 PH 2015-10-24 0913 MM3T          59  14     ED9K          59  33     0
QSO: 14225 PH 2015-10-24 0914 MM3T          59  14     IZ5WTV        59  15     0
QSO: 14240 PH 2015-10-24 0914 MM3T          59  14     SV9FBG        59  20     0
QSO: 14246 PH 2015-10-24 0917 MM3T          59  14     ON3ND         59  14     0
QSO: 14246 PH 2015-10-24 0918 MM3T          59  14     F/E72T        59  14     0
QSO: 14246 PH 2015-10-24 0918 MM3T          59  14     F8DYD         59  14     0
QSO: 14247 PH 2015-10-24 0920 MM3T          59  14     DK0TU         59  14     0
QSO: 14247 PH 2015-10-24 0921 MM3T          59  14     DK1FT         59  14     0
QSO: 14247 PH 2015-10-24 0921 MM3T          59  14     EA2AF         59  14     0
QSO: 14247 PH 2015-10-24 0922 MM3T          59  14     DK9MFS        59  14     0
QSO: 14247 PH 2015-10-24 0922 MM3T          59  14     LY9Y          59  15     0
QSO: 14247 PH 2015-10-24 0922 MM3T          59  14     DK9OS         59  14     0
QSO: 14247 PH 2015-10-24 0925 MM3T          59  14     DK0EE         59  14     0
QSO: 14247 PH 2015-10-24 0925 MM3T          59  14     OK1KQH        59  15     0
QSO: 14247 PH 2015-10-24 0927 MM3T          59  14     OE5DI         59  15     0
