START-OF-LOG: 3.0
CALLSIGN: GM9N
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 5766426
NAME: Stirling & District Amateur Radio Society
LOCATION: DX
OPERATORS: MM0OKG, GM1BSG, MM0HST, GM0OBX, MM0OPX, MM0GCF, 2M0GEK, MM0KFX,
OPERATORS: GM4UYE, MM0MWS, GM0BKC, MM6BJJ, MM6EJO,
CLUB: GMDX Group
CERTIFICATE: NO
CREATED-BY: Win-Test 4.17.0
SOAPBOX: Good to see 10m open on both days for the contest
QSO:  3724 PH 2015-10-24 0000 GM9N          59  14     GM0FSV        59  14     0
QSO:  7199 PH 2015-10-24 0000 GM9N          59  14     SQ9ORQ        59  15     0
QSO:  3724 PH 2015-10-24 0001 GM9N          59  14     EU6AF         59  16     0
QSO:  3724 PH 2015-10-24 0001 GM9N          59  14     UI5F          59  16     0
QSO:  3724 PH 2015-10-24 0001 GM9N          59  14     ED3X          59  14     0
QSO:  7196 PH 2015-10-24 0001 GM9N          59  14     E7DX          59  14     0
QSO:  3724 PH 2015-10-24 0002 GM9N          59  14     S51A          59  15     0
QSO:  3724 PH 2015-10-24 0002 GM9N          59  14     GW0MXT        59  14     0
QSO:  3724 PH 2015-10-24 0002 GM9N          59  14     ED1B          59  14     0
QSO:  3724 PH 2015-10-24 0002 GM9N          59  14     RO2E          59  16     0
QSO:  7193 PH 2015-10-24 0002 GM9N          59  14     9A1P          59  15     0
QSO:  3724 PH 2015-10-24 0002 GM9N          59  14     MM3T          59  14     0
QSO:  3724 PH 2015-10-24 0003 GM9N          59  14     EI5HIB        59  14     0
QSO:  3724 PH 2015-10-24 0003 GM9N          59  14     WE3C          59  05     0
QSO:  3724 PH 2015-10-24 0003 GM9N          59  14     EW4GL         59  16     0
QSO:  3724 PH 2015-10-24 0004 GM9N          59  14     DL4EBA        59  14     0
QSO:  7153 PH 2015-10-24 0004 GM9N          59  14     LY2W          59  15     0
QSO:  1865 PH 2015-10-24 0004 GM9N          59  14     DF2DJ         59  14     0
QSO: 14200 PH 2015-10-24 0005 GM9N          59  14     4X6TT         59  20     0
QSO:  1872 PH 2015-10-24 0005 GM9N          59  14     YL2SM         59  15     0
QSO:  3724 PH 2015-10-24 0005 GM9N          59  14     R8TT          59  16     0
QSO:  7143 PH 2015-10-24 0006 GM9N          59  14     LZ5K          59  20     0
QSO: 14206 PH 2015-10-24 0006 GM9N          59  14     9A8M          59  15     0
QSO:  3724 PH 2015-10-24 0006 GM9N          59  14     OL7T          59  15     0
QSO:  7138 PH 2015-10-24 0006 GM9N          59  14     RM5A          59  16     0
QSO:  1876 PH 2015-10-24 0006 GM9N          59  14     SP5LS         59  15     0
QSO:  3724 PH 2015-10-24 0007 GM9N          59  14     DL0CS         59  14     0
QSO:  7135 PH 2015-10-24 0007 GM9N          59  14     9A1A          59  15     0
QSO:  3724 PH 2015-10-24 0007 GM9N          59  14     OH5Z          59  15     0
QSO:  1885 PH 2015-10-24 0007 GM9N          59  14     DM1CM         59  14     0
QSO:  3724 PH 2015-10-24 0007 GM9N          59  14     G2F           59  14     0
QSO:  3724 PH 2015-10-24 0007 GM9N          59  14     K2LR          59  05     0
QSO: 14170 PH 2015-10-24 0007 GM9N          59  14     F2LH          59  14     0
QSO:  7123 PH 2015-10-24 0007 GM9N          59  14     LZ5R          59  20     0
QSO:  1874 PH 2015-10-24 0008 GM9N          59  14     PA4O          59  14     0
QSO:  7110 PH 2015-10-24 0008 GM9N          59  14     UW9I          59  16     0
QSO:  7106 PH 2015-10-24 0009 GM9N          59  14     9A2L          59  15     0
QSO:  1860 PH 2015-10-24 0010 GM9N          59  14     DM7C          59  14     0
QSO:  7097 PH 2015-10-24 0010 GM9N          59  14     EV1R          59  16     0
QSO:  3724 PH 2015-10-24 0010 GM9N          59  14     ED9K          59  14     0
QSO:  3724 PH 2015-10-24 0010 GM9N          59  14     EA2KB         59  14     0
QSO:  7078 PH 2015-10-24 0011 GM9N          59  14     SO9Q          59  15     0
QSO:  3724 PH 2015-10-24 0011 GM9N          59  14     E74O          59  15     0
QSO:  7072 PH 2015-10-24 0011 GM9N          59  14     RJ4P          59  16     0
QSO:  7068 PH 2015-10-24 0012 GM9N          59  14     S58M          59  15     0
QSO:  3724 PH 2015-10-24 0012 GM9N          59  14     ON5FG         59  14     0
QSO:  1857 PH 2015-10-24 0012 GM9N          59  14     DF0HQ         59  14     0
QSO:  3724 PH 2015-10-24 0012 GM9N          59  14     GM2T          59  14     0
QSO:  3724 PH 2015-10-24 0013 GM9N          59  14     DJ5MW         59  14     0
QSO:  1853 PH 2015-10-24 0013 GM9N          59  14     OK1T          59  15     0
QSO:  7060 PH 2015-10-24 0014 GM9N          59  14     OK1DOY        59  15     0
QSO:  3724 PH 2015-10-24 0014 GM9N          59  14     9A7A          59  15     0
QSO:  7055 PH 2015-10-24 0014 GM9N          59  14     LB8IB         59  14     0
QSO:  1849 PH 2015-10-24 0015 GM9N          59  14     IH9A          59  33     0
QSO:  7047 PH 2015-10-24 0015 GM9N          59  14     EU1A          59  16     0
QSO: 14263 PH 2015-10-24 0015 GM9N          59  14     9Y4D          59  09     0
QSO:  3724 PH 2015-10-24 0015 GM9N          59  14     II9P          59  15     0
QSO:  1845 PH 2015-10-24 0016 GM9N          59  14     OT5A          59  14     0
QSO:  3724 PH 2015-10-24 0016 GM9N          59  14     SP3CYY        59  15     0
