START-OF-LOG: 3.0
CALLSIGN: DG1RPU
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 18360
NAME: Hans-Herbert Schulze
LOCATION: DX
OPERATORS: DG1RPU
CLUB:
CERTIFICATE: NO
CREATED-BY: LM Version 4.10 (c) 1992, 2013 by DL8WAA
SOAPBOX: Thanks for a nice contest! I will be back next year.
QSO:  7000 PH 2015-10-24 0805 DG1RPU        59  14     OK4K          59  15     0
QSO:  7000 PH 2015-10-24 0807 DG1RPU        59  14     PI4CC         59  14     0
QSO:  7000 PH 2015-10-24 0809 DG1RPU        59  14     PI4COM        59  14     0
QSO:  7000 PH 2015-10-24 0811 DG1RPU        59  14     PA9M          59  14     0
QSO:  7000 PH 2015-10-24 0812 DG1RPU        59  14     M0MCV         59  14     0
QSO:  7000 PH 2015-10-24 0815 DG1RPU        59  14     PB7Z          59  14     0
QSO: 14000 PH 2015-10-24 0817 DG1RPU        59  14     LY5Q          59  15     0
QSO: 14000 PH 2015-10-24 0819 DG1RPU        59  14     OE4TD         59  15     0
QSO: 14000 PH 2015-10-24 0825 DG1RPU        59  14     TM6V          59  14     0
QSO: 14000 PH 2015-10-24 0826 DG1RPU        59  14     OM0WR         59  15     0
QSO: 14000 PH 2015-10-24 0831 DG1RPU        59  14     9A1A          59  15     0
QSO: 14000 PH 2015-10-24 0832 DG1RPU        59  14     IK3UNA/1      59  15     0
QSO: 14000 PH 2015-10-24 0836 DG1RPU        59  14     SI9AM         59  14     0
QSO: 14000 PH 2015-10-24 0837 DG1RPU        59  14     F8DVD         59  14     0
QSO: 14000 PH 2015-10-24 0842 DG1RPU        59  14     C37N          59  14     0
QSO: 14000 PH 2015-10-24 0846 DG1RPU        59  14     UR6HCX        59  16     0
QSO: 14000 PH 2015-10-24 0849 DG1RPU        59  14     SP9KAO        59  15     0
QSO: 14000 PH 2015-10-24 0854 DG1RPU        59  14     CR3A          59  33     0
QSO: 14000 PH 2015-10-24 0856 DG1RPU        59  14     ED9K          59  33     0
QSO: 14000 PH 2015-10-24 0900 DG1RPU        59  14     CR6P          59  14     0
QSO: 14000 PH 2015-10-24 0903 DG1RPU        59  14     E73ESP        59  15     0
QSO: 14000 PH 2015-10-24 0905 DG1RPU        59  14     S58M          59  15     0
QSO: 14000 PH 2015-10-24 0908 DG1RPU        59  14     MW0JRX        59  14     0
QSO: 14000 PH 2015-10-24 0909 DG1RPU        59  14     HB9PUE        59  14     0
QSO: 14000 PH 2015-10-24 0912 DG1RPU        59  14     TM6M          59  14     0
QSO: 14000 PH 2015-10-24 0913 DG1RPU        59  14     EI1E          59  14     0
QSO:  7000 PH 2015-10-24 2256 DG1RPU        59  14     CN2R          59  33     0
QSO:  7000 PH 2015-10-24 2259 DG1RPU        59  14     RY3D          59  16     0
QSO:  7000 PH 2015-10-24 2325 DG1RPU        59  14     RM3F          59  16     0
QSO:  7000 PH 2015-10-24 2328 DG1RPU        59  14     UP2L          59  17     0
QSO:  3500 PH 2015-10-24 2341 DG1RPU        59  14     HG7T          59  15     0
QSO:  3500 PH 2015-10-24 2350 DG1RPU        59  14     9A1A          59  15     0
QSO:  3500 PH 2015-10-24 2355 DG1RPU        59  14     EU1WW         59  16     0
QSO:  3500 PH 2015-10-25 0001 DG1RPU        59  14     EW8Y          59  16     0
QSO:  3500 PH 2015-10-25 0005 DG1RPU        59  14     YT4A          59  15     0
QSO:  7000 PH 2015-10-25 0818 DG1RPU        59  14     SN7D          59  15     0
QSO:  7000 PH 2015-10-25 0821 DG1RPU        59  14     PD1D          59  14     0
QSO:  7000 PH 2015-10-25 0823 DG1RPU        59  14     ON6CQ         59  14     0
QSO:  7000 PH 2015-10-25 0827 DG1RPU        59  14     IN3EQD        59  15     0
QSO: 14000 PH 2015-10-25 0853 DG1RPU        59  14     R1AK          59  16     0
QSO: 14000 PH 2015-10-25 0855 DG1RPU        59  14     UW5ZM         59  16     0
QSO: 14000 PH 2015-10-25 0901 DG1RPU        59  14     GM4O          59  14     0
QSO: 14000 PH 2015-10-25 0902 DG1RPU        59  14     YP7P          59  20     0
QSO: 14000 PH 2015-10-25 0905 DG1RPU        59  14     YT1A          59  15     0
QSO: 14000 PH 2015-10-25 0908 DG1RPU        59  14     UR2Y          59  16     0
QSO: 14000 PH 2015-10-25 0912 DG1RPU        59  14     SV9FBG        59  20     0
QSO: 14000 PH 2015-10-25 0915 DG1RPU        59  14     LY7Z          59  15     0
QSO: 14000 PH 2015-10-25 0920 DG1RPU        59  14     ED1R          59  14     0
QSO: 14000 PH 2015-10-25 0932 DG1RPU        59  14     II0I          59  15     0
QSO: 14000 PH 2015-10-25 0933 DG1RPU        59  14     S57AW         59  15     0
QSO: 14000 PH 2015-10-25 0936 DG1RPU        59  14     OH8WW         59  15     0
QSO: 14000 PH 2015-10-25 0939 DG1RPU        59  14     IK3SCB        59  15     0
QSO: 14000 PH 2015-10-25 0941 DG1RPU        59  14     EA2DNR        59  14     0
QSO: 21000 PH 2015-10-25 0944 DG1RPU        59  14     3V8SS         59  33     0
QSO: 21000 PH 2015-10-25 1000 DG1RPU        59  14     RW9USA        59  18     0
QSO: 21000 PH 2015-10-25 1003 DG1RPU        59  14     YT8WW         59  15     0
QSO: 21000 PH 2015-10-25 1004 DG1RPU        59  14     TC0F          59  20     0
QSO: 21000 PH 2015-10-25 1012 DG1RPU        59  14     RT5Z          59  16     0
QSO: 21000 PH 2015-10-25 1016 DG1RPU        59  14     EA3FF         59  14     0
QSO: 21000 PH 2015-10-25 1021 DG1RPU        59  14     UW9I          59  16     0
QSO: 21000 PH 2015-10-25 1024 DG1RPU        59  14     EA3CCN        59  14     0
QSO: 21000 PH 2015-10-25 1028 DG1RPU        59  14     RU9CZD        59  17     0
QSO: 21000 PH 2015-10-25 1032 DG1RPU        59  14     TF2LL         59  40     0
QSO: 21000 PH 2015-10-25 1035 DG1RPU        59  14     RG6G          59  16     0
QSO: 21000 PH 2015-10-25 1040 DG1RPU        59  14     RF9C          59  17     0
QSO: 21000 PH 2015-10-25 1043 DG1RPU        59  14     J42T          59  20     0
QSO: 28000 PH 2015-10-25 1047 DG1RPU        59  14     CN2AA         59  33     0
QSO: 28000 PH 2015-10-25 1158 DG1RPU        59  14     A73A          59  21     0
QSO: 28000 PH 2015-10-25 1206 DG1RPU        59  14     P33W          59  20     0
QSO: 28000 PH 2015-10-25 1216 DG1RPU        59  14     PR7AB         59  11     0
QSO: 28000 PH 2015-10-25 1221 DG1RPU        59  14     ZS1TMJ        59  38     0
QSO: 28000 PH 2015-10-25 1224 DG1RPU        59  14     ED1B          59  14     0
QSO: 28000 PH 2015-10-25 1230 DG1RPU        59  14     LT1F          59  13     0
QSO: 28000 PH 2015-10-25 1245 DG1RPU        59  14     CU4DX         59  14     0
QSO: 28000 PH 2015-10-25 1254 DG1RPU        59  14     TA5BS         59  20     0
QSO: 28000 PH 2015-10-25 1300 DG1RPU        59  14     TA7AOF        59  20     0
QSO: 28000 PH 2015-10-25 1304 DG1RPU        59  14     A71CV         59  21     0
QSO: 28000 PH 2015-10-25 1313 DG1RPU        59  14     PY2MC         59  11     0
QSO: 28000 PH 2015-10-25 1321 DG1RPU        59  14     C44C          59  20     0
QSO: 28000 PH 2015-10-25 1330 DG1RPU        59  14     PX5E          59  11     0
QSO: 28000 PH 2015-10-25 1547 DG1RPU        59  14     W1UE          59  05     0
QSO: 28000 PH 2015-10-25 1602 DG1RPU        59  14     K3ZU          59  05     0
QSO: 28000 PH 2015-10-25 1617 DG1RPU        59  14     W4RM          59  05     0
QSO: 28000 PH 2015-10-25 1620 DG1RPU        59  14     K3ZO          59  05     0
QSO: 28000 PH 2015-10-25 1624 DG1RPU        59  14     CV3D          59  13     0
QSO: 21000 PH 2015-10-25 1758 DG1RPU        59  14     CF3A          59  04     0
QSO: 14000 PH 2015-10-25 1823 DG1RPU        59  14     4L8A          59  21     0
QSO: 14000 PH 2015-10-25 1841 DG1RPU        59  14     W3LL          59  05     0
QSO:  7000 PH 2015-10-25 1902 DG1RPU        59  14     YL2SM         59  15     0
QSO:  7000 PH 2015-10-25 1909 DG1RPU        59  14     ES6RW         59  15     0
QSO:  3500 PH 2015-10-25 1916 DG1RPU        59  14     LZ9W          59  20     0
QSO:  3500 PH 2015-10-25 1921 DG1RPU        59  14     SP9RCL        59  15     0
QSO: 21000 PH 2015-10-25 1936 DG1RPU        59  14     NA2U          59  05     0
QSO: 21000 PH 2015-10-25 1941 DG1RPU        59  14     W1GD          59  05     0
QSO: 21000 PH 2015-10-25 1944 DG1RPU        59  14     NN2N          59  05     0
QSO:  7000 PH 2015-10-25 2311 DG1RPU        59  14     IO9A          59  15     0
QSO:  7000 PH 2015-10-25 2315 DG1RPU        59  14     EE2K          59  14     0
QSO:  7000 PH 2015-10-25 2331 DG1RPU        59  14     RW0A          59  18     0
QSO:  3500 PH 2015-10-25 2336 DG1RPU        59  14     OZ4O          59  14     0
QSO:  3500 PH 2015-10-25 2340 DG1RPU        59  14     HG2ITU        59  15     0
QSO:  3500 PH 2015-10-25 2345 DG1RPU        59  14     S54ZZ         59  15     0
QSO:  3500 PH 2015-10-25 2352 DG1RPU        59  14     SK3W          59  14     0
QSO:  3500 PH 2015-10-25 2355 DG1RPU        59  14     OM7RU         59  15     0
QSO:  3500 PH 2015-10-25 2359 DG1RPU        59  14     YT5A          59  15     0
END-OF-LOG:
