START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WW-SSB
CALLSIGN:      G8AFN
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER:  LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER:  ONE
CATEGORY-OVERLAY:  CLASSIC
CLAIMED-SCORE: 164154
LOCATION:      DX
CLAIMED-SCORE: 164154
NAME:          peter cleall
OPERATORS:     G8AFN
SOAPBOX:       built loop day before contest, dx results up by 6dB
SOAPBOX:       enjoyed contest
SOAPBOX:       used SD as contest logger worked well
QSO: 7103  PH 2015-10-24 0605 G8AFN         59       14 DL0CS        59       14
QSO: 7113  PH 2015-10-24 0609 G8AFN         59       14 C37N         59       14
QSO: 7140  PH 2015-10-24 0610 G8AFN         59       14 AA1K         59       05
QSO: 7147  PH 2015-10-24 0612 G8AFN         59       14 YT7A         59       15
QSO: 7164  PH 2015-10-24 0615 G8AFN         59       14 K1LZ         59       05
QSO: 7169  PH 2015-10-24 0618 G8AFN         59       14 NR5M         59       04
QSO: 7065  PH 2015-10-24 0623 G8AFN         59       14 CN3A         59       33
QSO: 7069  PH 2015-10-24 0631 G8AFN         59       14 P40A         59       09
QSO: 7086  PH 2015-10-24 0633 G8AFN         59       14 OK4K         59       15
QSO: 7091  PH 2015-10-24 0634 G8AFN         59       14 HB2T         59       14
QSO: 7119  PH 2015-10-24 0636 G8AFN         59       14 PA4O         59       14
QSO: 7138  PH 2015-10-24 0637 G8AFN         59       14 N1UR         59       05
QSO: 7143  PH 2015-10-24 0637 G8AFN         59       14 EF8R         59       33
QSO: 7195  PH 2015-10-24 0644 G8AFN         59       14 NQ4I         59       05
QSO: 7074  PH 2015-10-24 0646 G8AFN         59       14 OR1Z         59       14
QSO: 7098  PH 2015-10-24 0648 G8AFN         59       14 EA6SX        59       14
QSO: 7162  PH 2015-10-24 0659 G8AFN         59       14 WK1Q         59       05
QSO: 14131 PH 2015-10-24 0705 G8AFN         59       14 UT5ID        59       16
QSO: 14134 PH 2015-10-24 0706 G8AFN         59       14 IZ0FUW       59       15
QSO: 14151 PH 2015-10-24 0710 G8AFN         59       14 CT7ACG       59       14
QSO: 14170 PH 2015-10-24 0713 G8AFN         59       14 OL3R         59       15
QSO: 14279 PH 2015-10-24 0718 G8AFN         59       14 OK7O         59       15
QSO: 14305 PH 2015-10-24 0720 G8AFN         59       14 LY2W         59       15
QSO: 14313 PH 2015-10-24 0723 G8AFN         59       14 LB8IB        59       14
QSO: 14337 PH 2015-10-24 0725 G8AFN         59       14 OL9A         59       15
QSO: 14174 PH 2015-10-24 0727 G8AFN         59       14 OH1F         59       15
QSO: 14177 PH 2015-10-24 0728 G8AFN         59       14 EA7KP        59       14
QSO: 14243 PH 2015-10-24 0732 G8AFN         59       14 LZ9W         59       20
QSO: 14260 PH 2015-10-24 0733 G8AFN         59       14 S54ZZ        59       15
QSO: 7073  PH 2015-10-24 0737 G8AFN         59       14 PI4M         59       14
QSO: 7085  PH 2015-10-24 0739 G8AFN         59       14 GI7AXB       59       14
QSO: 7100  PH 2015-10-24 0742 G8AFN         59       14 PI4CC        59       14
QSO: 7127  PH 2015-10-24 0743 G8AFN         59       14 KC1XX        59       05
QSO: 7150  PH 2015-10-24 0749 G8AFN         59       14 W8RE         59       04
QSO: 7171  PH 2015-10-24 0751 G8AFN         59       14 EI4KF        59       14
QSO: 7186  PH 2015-10-24 0752 G8AFN         59       14 EF1W         59       14
QSO: 7193  PH 2015-10-24 0758 G8AFN         59       14 K9CT         59       04
QSO: 7107  PH 2015-10-24 0801 G8AFN         59       14 OT5A         59       14
QSO: 7141  PH 2015-10-24 0804 G8AFN         59       14 S51YI        59       15
QSO: 7129  PH 2015-10-24 0806 G8AFN         59       14 W3LPL        59       05
QSO: 7153  PH 2015-10-24 0808 G8AFN         59       14 EI6JK        59       14
QSO: 7168  PH 2015-10-24 0811 G8AFN         59       14 DF0HQ        59       14
QSO: 28489 PH 2015-10-24 0824 G8AFN         59       14 A71CV        59       21
QSO: 28502 PH 2015-10-24 0826 G8AFN         59       14 RW0A         59       18
QSO: 28383 PH 2015-10-24 0829 G8AFN         59       14 P33W         59       20
QSO: 28476 PH 2015-10-24 0831 G8AFN         59       14 UW7LL        59       16
QSO: 28522 PH 2015-10-24 0832 G8AFN         59       14 UW2M         59       16
QSO: 28550 PH 2015-10-24 0834 G8AFN         59       14 UI9I         59       18
QSO: 28401 PH 2015-10-24 0836 G8AFN         59       14 RK3PWR       59       16
QSO: 28517 PH 2015-10-24 0839 G8AFN         59       14 RY0A         59       18
QSO: 28525 PH 2015-10-24 0842 G8AFN         59       14 SV9GPV       59       20
QSO: 28493 PH 2015-10-24 0848 G8AFN         59       14 A73A         59       21
QSO: 28499 PH 2015-10-24 0849 G8AFN         59       14 RM3F         59       16
QSO: 28514 PH 2015-10-24 0851 G8AFN         59       14 UV5U         59       16
QSO: 21155 PH 2015-10-24 0854 G8AFN         59       14 YL3CW        59       15
QSO: 21163 PH 2015-10-24 0903 G8AFN         59       14 PT2CM        59       11
QSO: 21174 PH 2015-10-24 0905 G8AFN         59       14 SO9Q         59       15
QSO: 21204 PH 2015-10-24 0906 G8AFN         59       14 ED8X         59       33
QSO: 21231 PH 2015-10-24 0908 G8AFN         59       14 CN3A         59       33
QSO: 21251 PH 2015-10-24 0911 G8AFN         59       14 IB9T         59       15
QSO: 21255 PH 2015-10-24 0912 G8AFN         59       14 EW6W         59       16
QSO: 21302 PH 2015-10-24 0914 G8AFN         59       14 ES6RW        59       15
QSO: 21333 PH 2015-10-24 0919 G8AFN         59       14 CN2R         59       33
QSO: 21352 PH 2015-10-24 0919 G8AFN         59       14 OH8X         59       15
QSO: 21408 PH 2015-10-24 0927 G8AFN         59       14 IM0/IK0FMB   59       15
QSO: 21428 PH 2015-10-24 0931 G8AFN         59       14 YP8T         59       20
QSO: 21445 PH 2015-10-24 0934 G8AFN         59       14 FY5KE        59       09
