START-OF-LOG: 3.0
CALLSIGN: G6FOP
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 255
NAME: Kev Martin
LOCATION: DX
OPERATORS: G6FOP
CLUB: SWINDON AND DISTRICT AMATEUR RADIO CLUB
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5035.0
SOAPBOX: Only able to do one hour due to other commitments.
QSO:  7146 PH 2015-10-25 0850 G6FOP         59  14     GW4BKG        59  14
QSO:  7145 PH 2015-10-25 0852 G6FOP         59  14     9A1A          59  15
QSO:  7122 PH 2015-10-25 0854 G6FOP         59  14     M0MCV         59  14
QSO:  7125 PH 2015-10-25 0917 G6FOP         59  14     OZ2DAN        59  14
QSO:  7147 PH 2015-10-25 0922 G6FOP         59  14     EA1BLI        59  14
QSO:  7150 PH 2015-10-25 0923 G6FOP         59  14     F4FSY         59  14
QSO:  7157 PH 2015-10-25 0927 G6FOP         59  14     OT5A          59  14
QSO:  7166 PH 2015-10-25 0929 G6FOP         59  14     C37N          59  14
QSO:  7168 PH 2015-10-25 0930 G6FOP         59  14     DF0HQ         59  14
QSO:  7165 PH 2015-10-25 0933 G6FOP         59  14     PI4M          59  14
QSO:  7150 PH 2015-10-25 0935 G6FOP         59  14     DK1FW         59  14
QSO:  7126 PH 2015-10-25 0943 G6FOP         59  14     SM5S          59  14
QSO:  7111 PH 2015-10-25 0947 G6FOP         59  14     IK2AQZ        59  15
QSO:  7109 PH 2015-10-25 0948 G6FOP         59  14     DF9WB         59  14
QSO:  7105 PH 2015-10-25 0949 G6FOP         59  14     GM2V          59  14
QSO:  7095 PH 2015-10-25 0950 G6FOP         59  14     F4DWP         59  14
QSO:  7077 PH 2015-10-25 0952 G6FOP         59  14     PD1D          59  14
QSO:  7083 PH 2015-10-25 1002 G6FOP         59  14     PC2T          59  14
END-OF-LOG:
