START-OF-LOG: 3.0
CALLSIGN: SP8MRD
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Piotr Ozarski
LOCATION: DX
OPERATORS: SP8MRD
CLUB: SP DX Club
CERTIFICATE: NO
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR
SOAPBOX: IC 775 DX II 200W Yagi GB37 made in SP3GEM
QSO:  3500 PH 2015-10-24 0438 SP8MRD        59           15 KC1XX           59           05
QSO:  3500 PH 2015-10-24 0445 SP8MRD        59           15 K1LZ            59           05
QSO:  3500 PH 2015-10-24 0449 SP8MRD        59           15 AA1BU           59           05
QSO:  3500 PH 2015-10-24 0452 SP8MRD        59           15 W3LPL           59           05
QSO:  7000 PH 2015-10-24 0459 SP8MRD        59           15 WK1Q            59           05
QSO:  7000 PH 2015-10-24 0503 SP8MRD        59           15 K4JPD           59           05
QSO:  7000 PH 2015-10-24 0511 SP8MRD        59           15 VE9CB           59           05
QSO:  7000 PH 2015-10-24 0513 SP8MRD        59           15 W1XX            59           05
QSO:  7000 PH 2015-10-24 0600 SP8MRD        59           15 K3CR            59           05
QSO:  7000 PH 2015-10-24 0603 SP8MRD        59           15 S56X            59           15
QSO:  7000 PH 2015-10-24 0604 SP8MRD        59           15 DR5N            59           14
QSO:  7000 PH 2015-10-24 0604 SP8MRD        59           15 9A8M            59           15
QSO:  7000 PH 2015-10-24 0605 SP8MRD        59           15 LY7A            59           15
QSO:  7000 PH 2015-10-24 0610 SP8MRD        59           15 OM0M            59           15
QSO:  7000 PH 2015-10-24 0611 SP8MRD        59           15 9A1A            59           15
QSO:  7000 PH 2015-10-24 0617 SP8MRD        59           15 TM7G            59           14
QSO:  7000 PH 2015-10-24 0618 SP8MRD        59           15 OK7O            59           15
QSO:  7000 PH 2015-10-24 0623 SP8MRD        59           15 PA4O            59           14
QSO: 28000 PH 2015-10-24 0627 SP8MRD        59           15 B7P             59           24
QSO: 28000 PH 2015-10-24 0635 SP8MRD        59           15 AH0BT           59           27
