START-OF-LOG: 3.0
CALLSIGN: FY5KE
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 14415452
NAME: Radio Amateurs Club de Kourou
LOCATION: DX
OPERATORS: FY5FY F1HAR F5HRY F5UII F6FVY
CLUB: BAVARIAN CONTEST CLUB
CERTIFICATE: NO
CREATED-BY: Win-Test 4.20.0-dev
SOAPBOX: Our come back to M/S in LP category. Great fun!
QSO: 21294 PH 2015-10-24 0000 FY5KE         59  09     N5AW          59  04     0
QSO: 21294 PH 2015-10-24 0000 FY5KE         59  09     V47T          59  08     0
QSO: 21294 PH 2015-10-24 0002 FY5KE         59  09     VP5S          59  08     0
QSO: 21319 PH 2015-10-24 0003 FY5KE         59  09     ED8X          59  33     0
QSO: 21319 PH 2015-10-24 0004 FY5KE         59  09     CR2A          59  14     0
QSO: 21319 PH 2015-10-24 0005 FY5KE         59  09     KP3Z          59  08     0
QSO: 21319 PH 2015-10-24 0005 FY5KE         59  09     CN2AA         59  33     0
QSO: 21319 PH 2015-10-24 0006 FY5KE         59  09     WA1F          59  05     0
QSO: 28404 PH 2015-10-24 0007 FY5KE         59  09     AH2R          59  27     1
QSO: 21319 PH 2015-10-24 0008 FY5KE         59  09     KP2M          59  08     0
QSO: 28407 PH 2015-10-24 0010 FY5KE         59  09     AH0BT         59  27     1
QSO: 21325 PH 2015-10-24 0011 FY5KE         59  09     YV4YC         59  09     0
QSO: 21328 PH 2015-10-24 0011 FY5KE         59  09     FM5EB         59  08     0
QSO: 21331 PH 2015-10-24 0012 FY5KE         59  09     AC7P          59  04     0
QSO: 21331 PH 2015-10-24 0013 FY5KE         59  09     KH2RU         59  08     0
QSO: 21331 PH 2015-10-24 0015 FY5KE         59  09     WB0IWG        59  04     0
QSO: 21331 PH 2015-10-24 0016 FY5KE         59  09     WP4WW         59  08     0
QSO: 28465 PH 2015-10-24 0016 FY5KE         59  09     KH7M          59  31     1
QSO:  7154 PH 2015-10-24 0018 FY5KE         59  09     RK4FD         59  16     1
QSO:  7118 PH 2015-10-24 0020 FY5KE         59  09     PI4ZU         59  14     1
QSO:  7106 PH 2015-10-24 0021 FY5KE         59  09     9A2L          59  15     1
QSO: 21421 PH 2015-10-24 0021 FY5KE         59  09     AH0K          59  27     0
QSO: 21407 PH 2015-10-24 0022 FY5KE         59  09     VE7SV         59  03     0
QSO: 21400 PH 2015-10-24 0023 FY5KE         59  09     AL9A          59  01     0
QSO:  7140 PH 2015-10-24 0023 FY5KE         59  09     N8OO          59  04     1
QSO: 21396 PH 2015-10-24 0024 FY5KE         59  09     JR1BTG        59  25     0
QSO: 21267 PH 2015-10-24 0026 FY5KE         59  09     9Y4W          59  09     0
QSO: 21398 PH 2015-10-24 0028 FY5KE         59  09     HI3K          59  08     0
QSO: 21398 PH 2015-10-24 0028 FY5KE         59  09     JH4ADK        59  25     0
QSO: 21398 PH 2015-10-24 0029 FY5KE         59  09     JA8ECS        59  25     0
QSO:  7069 PH 2015-10-24 0030 FY5KE         59  09     V26B          59  08     1
QSO: 21398 PH 2015-10-24 0031 FY5KE         59  09     K9CT          59  04     0
QSO: 21398 PH 2015-10-24 0031 FY5KE         59  09     YV1KK         59  09     0
QSO: 21398 PH 2015-10-24 0033 FY5KE         59  09     JA1WPX        59  25     0
QSO: 21398 PH 2015-10-24 0033 FY5KE         59  09     JA3GSM        59  25     0
QSO: 21398 PH 2015-10-24 0035 FY5KE         59  09     5J0B          59  07     0
QSO: 21398 PH 2015-10-24 0035 FY5KE         59  09     TO1E          59  08     0
QSO: 21398 PH 2015-10-24 0036 FY5KE         59  09     JH3EDG        59  25     0
QSO: 28477 PH 2015-10-24 0036 FY5KE         59  09     D4Z           59  35     1
QSO: 21398 PH 2015-10-24 0037 FY5KE         59  09     JA0RUG        59  25     0
QSO: 21398 PH 2015-10-24 0038 FY5KE         59  09     JE1FQV        59  25     0
QSO: 21398 PH 2015-10-24 0038 FY5KE         59  09     YY5GJC        59  09     0
QSO: 21398 PH 2015-10-24 0039 FY5KE         59  09     FG4NO         59  08     0
QSO: 21398 PH 2015-10-24 0039 FY5KE         59  09     ED8W          59  33     0
QSO: 21398 PH 2015-10-24 0039 FY5KE         59  09     PJ4X          59  09     0
QSO: 28380 PH 2015-10-24 0039 FY5KE         59  09     JA3YBK        59  25     1
QSO: 21398 PH 2015-10-24 0040 FY5KE         59  09     JM1NKT        59  25     0
QSO: 21398 PH 2015-10-24 0040 FY5KE         59  09     JE1CSW        59  25     0
QSO: 21398 PH 2015-10-24 0040 FY5KE         59  09     YV4NN         59  09     0
