START-OF-LOG: 3.0
CALLSIGN: VE2GT
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 40M
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 4292
NAME: Pierre Jolin
LOCATION: QC
OPERATORS: VE2GT
CLUB: Contest Group du Quebec
CERTIFICATE: NO
CREATED-BY: GenLog v8.18
SOAPBOX: single op low 40m non asss,, + 1 DUPE
QSO: 14000 PH 2015-10-24 0314 VE2GT         59  05     CQ8M          59  14
QSO: 14000 PH 2015-10-24 0321 VE2GT         59  05     CU4DX         59  14
QSO: 14000 PH 2015-10-24 0333 VE2GT         59  05     P49Y          59  09
QSO:  1800 PH 2015-10-24 0337 VE2GT         59  05     VE3PN         59  04
QSO:  1800 PH 2015-10-24 0339 VE2GT         59  05     K3LR          59  05
QSO:  1800 PH 2015-10-24 0346 VE2GT         59  05     W3LPL         59  05
QSO:  1800 PH 2015-10-24 0347 VE2GT         59  05     W2RLB         59  05
QSO:  1800 PH 2015-10-24 0357 VE2GT         59  05     K6ND          59  05
QSO:  3500 PH 2015-10-24 0402 VE2GT         59  05     K1KP          59  05
QSO:  3500 PH 2015-10-24 0405 VE2GT         59  05     CF3A          59  04
QSO:  3500 PH 2015-10-24 0416 VE2GT         59  05     KN5TX         59  04
QSO:  3500 PH 2015-10-24 0424 VE2GT         59  05     AA1BU         59  05
QSO:  3500 PH 2015-10-24 0425 VE2GT         59  05     WE3C          59  05
QSO:  3500 PH 2015-10-24 0428 VE2GT         59  05     K1LZ          59  05
QSO:  7000 PH 2015-10-24 0439 VE2GT         59  05     SN8B          59  15
QSO:  7000 PH 2015-10-24 0447 VE2GT         59  05     EA6SX         59  14
QSO:  7000 PH 2015-10-24 0450 VE2GT         59  05     EA3CI         59  14
QSO:  7000 PH 2015-10-24 0511 VE2GT         59  05     N7AT          59  03
QSO:  7000 PH 2015-10-24 0512 VE2GT         59  05     TM6M          59  14
QSO:  7000 PH 2015-10-24 0515 VE2GT         59  05     TM0T          59  14
QSO:  7000 PH 2015-10-24 0526 VE2GT         59  05     WW4LL         59  05
QSO:  7000 PH 2015-10-24 0533 VE2GT         59  05     NP2P          59  08
QSO:  7000 PH 2015-10-24 0534 VE2GT         59  05     PJ4Q          59  09
QSO:  7000 PH 2015-10-24 0539 VE2GT         59  05     NP3OT         59  08
QSO: 14000 PH 2015-10-24 0546 VE2GT         59  05     PJ4Q          59  09
QSO:  1800 PH 2015-10-24 0550 VE2GT         59  05     KN2T          59  05
QSO:  1800 PH 2015-10-24 0553 VE2GT         59  05     WE3C          59  05
QSO:  3500 PH 2015-10-24 0606 VE2GT         59  05     6Y9X          59  08
QSO:  3500 PH 2015-10-24 0607 VE2GT         59  05     VE3MIS        59  04
QSO:  3500 PH 2015-10-24 0623 VE2GT         59  05     W3LPL         59  05
QSO:  3500 PH 2015-10-24 0624 VE2GT         59  05     VE7GL         59  03
QSO:  3500 PH 2015-10-24 0629 VE2GT         59  05     K3LR          59  05
QSO:  3500 PH 2015-10-24 0631 VE2GT         59  05     WK1Q          59  05
QSO:  7000 PH 2015-10-24 0634 VE2GT         59  05     N0MA          59  04
QSO:  7000 PH 2015-10-24 0651 VE2GT         59  05     HK1NA         59  09
QSO:  7000 PH 2015-10-24 0707 VE2GT         59  05     TO4K          59  08
QSO:  7000 PH 2015-10-24 0710 VE2GT         59  05     NV9L          59  04
QSO:  7000 PH 2015-10-24 0711 VE2GT         59  05     N5DX          59  04
QSO:  7000 PH 2015-10-24 0715 VE2GT         59  05     NR5M          59  04
QSO:  7000 PH 2015-10-24 0721 VE2GT         59  05     D4C           59  35
QSO:  7000 PH 2015-10-24 0731 VE2GT         59  05     NQ4I          59  05
QSO:  7000 PH 2015-10-24 0733 VE2GT         59  05     PJ2T          59  09
