START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: SP1FPG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-POWER: LOW
CATEGORY-BAND: 40M
CATEGORY-MODE: SSB
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-STATION: FIXED
LOCATION: DX
CLUB:
CLAIMED-SCORE:
OPERATORS:
NAME: Henryk Prasal
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR
SOAPBOX: TX  80W  IC751A  + ant. short  wire  10 mtrs.
QSO:  7000 PH 2015-10-24 0001 SP1FPG        59           15 9K2HN           59           21
QSO:  7000 PH 2015-10-24 0002 SP1FPG        59           15 4O3A            59           15
QSO:  7000 PH 2015-10-24 0003 SP1FPG        59           15 IR9F            59           15
QSO:  7000 PH 2015-10-24 0005 SP1FPG        59           15 OE3K            59           15
QSO:  7000 PH 2015-10-24 0007 SP1FPG        59           15 CN2AA           59           33
QSO:  7000 PH 2015-10-24 0008 SP1FPG        59           15 IZ8IEV          59           15
QSO:  7000 PH 2015-10-24 0012 SP1FPG        59           15 RK4FD           59           16
QSO:  7000 PH 2015-10-24 0014 SP1FPG        59           15 YP7P            59           20
QSO:  7000 PH 2015-10-24 0015 SP1FPG        59           15 LZ5K            59           20
QSO:  7000 PH 2015-10-24 0017 SP1FPG        59           15 YT5A            59           15
QSO:  7000 PH 2015-10-24 0019 SP1FPG        59           15 OM7M            59           15
QSO:  7000 PH 2015-10-24 0024 SP1FPG        59           15 RJ4P            59           16
QSO:  7000 PH 2015-10-24 0026 SP1FPG        59           15 YT8A            59           15
QSO:  7000 PH 2015-10-24 0028 SP1FPG        59           15 IB9T            59           15
QSO:  7000 PH 2015-10-24 0034 SP1FPG        59           15 D4C             59           35
QSO:  7000 PH 2015-10-24 0036 SP1FPG        59           15 ED3X            59           14
QSO:  7000 PH 2015-10-24 0037 SP1FPG        59           15 RT6A            59           16
QSO:  7000 PH 2015-10-24 0038 SP1FPG        59           15 II9P            59           15
QSO:  7000 PH 2015-10-24 0041 SP1FPG        59           15 TM0T            59           14
QSO:  7000 PH 2015-10-24 0043 SP1FPG        59           15 CN2R            59           33
QSO:  7000 PH 2015-10-24 0044 SP1FPG        59           15 9K2K            59           21
QSO:  7000 PH 2015-10-24 0045 SP1FPG        59           15 IR4M            59           15
QSO:  7000 PH 2015-10-24 0048 SP1FPG        59           15 C37N            59           14
QSO:  7000 PH 2015-10-24 0049 SP1FPG        59           15 P3F             59           20
QSO:  7000 PH 2015-10-24 0051 SP1FPG        59           15 V26B            59           08
QSO:  7000 PH 2015-10-24 0053 SP1FPG        59           15 UA4LCH          59           16
QSO:  7000 PH 2015-10-24 0056 SP1FPG        59           15 4X2M            59           20
QSO:  7000 PH 2015-10-24 0058 SP1FPG        59           15 PJ4Q            59           09
QSO:  7000 PH 2015-10-24 0059 SP1FPG        59           15 3V8SS           59           33
QSO:  7000 PH 2015-10-24 0104 SP1FPG        59           15 CR6K            59           14
QSO:  7000 PH 2015-10-24 0106 SP1FPG        59           15 US1I            59           16
QSO:  7000 PH 2015-10-24 0108 SP1FPG        59           15 UW2M            59           16
QSO:  7000 PH 2015-10-24 0109 SP1FPG        59           15 S56X            59           15
QSO:  7000 PH 2015-10-24 0111 SP1FPG        59           15 RC7KY           59           16
QSO:  7000 PH 2015-10-24 0117 SP1FPG        59           15 ED9K            59           33
QSO:  7000 PH 2015-10-24 0118 SP1FPG        59           15 C4A             59           20
QSO:  7000 PH 2015-10-24 0120 SP1FPG        59           15 IZ7HHO          59           15
QSO:  7000 PH 2015-10-24 0122 SP1FPG        59           15 J42T            59           20
QSO:  7000 PH 2015-10-24 0128 SP1FPG        59           15 US0HZ           59           16
QSO:  7000 PH 2015-10-24 0130 SP1FPG        59           15 LZ2PS           59           20
QSO:  7000 PH 2015-10-24 0134 SP1FPG        59           15 W4RM            59           05
QSO:  7000 PH 2015-10-24 0149 SP1FPG        59           15 KA1R            59           05
QSO:  7000 PH 2015-10-24 0156 SP1FPG        59           15 RY3D            59           16
QSO:  7000 PH 2015-10-24 0159 SP1FPG        59           15 YQ6A            59           20
QSO:  7000 PH 2015-10-24 0200 SP1FPG        59           15 YP8T            59           20
QSO:  7000 PH 2015-10-24 0202 SP1FPG        59           15 EE5T            59           14
QSO:  7000 PH 2015-10-24 0206 SP1FPG        59           15 4U5F            59           15
QSO:  7000 PH 2015-10-24 0209 SP1FPG        59           15 V47T            59           08
QSO:  7000 PH 2015-10-24 0218 SP1FPG        59           15 YT5CT           59           15
QSO:  7000 PH 2015-10-24 0225 SP1FPG        59           15 KC1XX           59           05
QSO:  7000 PH 2015-10-24 0226 SP1FPG        59           15 UX0LL           59           16
QSO:  7000 PH 2015-10-24 0227 SP1FPG        59           15 RM5A            59           16
QSO:  7000 PH 2015-10-24 0238 SP1FPG        59           15 NQ4I            59           05
QSO:  7000 PH 2015-10-24 0242 SP1FPG        59           15 6Y9X            59           08
QSO:  7000 PH 2015-10-24 0244 SP1FPG        59           15 KE2TR           59           05
QSO:  7000 PH 2015-10-24 0251 SP1FPG        59           15 SV1JG           59           20
QSO:  7000 PH 2015-10-24 0303 SP1FPG        59           15 OE6Z            59           15
QSO:  7000 PH 2015-10-24 0304 SP1FPG        59           15 Z39A            59           15
QSO:  7000 PH 2015-10-24 0317 SP1FPG        59           15 K3LR            59           05
QSO:  7000 PH 2015-10-24 0319 SP1FPG        59           15 NW3Y            59           05
QSO:  7000 PH 2015-10-24 0324 SP1FPG        59           15 UW7LL           59           16
QSO:  7000 PH 2015-10-24 0328 SP1FPG        59           15 UA8JDP          59           17
QSO:  7000 PH 2015-10-24 0332 SP1FPG        59           15 S53F            59           15
