START-OF-LOG: 3.0
CALLSIGN: OZ3SM
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 9400
NAME: Stephan Muller
LOCATION: DX
OPERATORS: OZ3SM
CLUB: Danish DX Group
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.5251.0
SOAPBOX: RIG K3, 100W, 160+80M 80M vertical loop, 20+15+10M Hexbeam
QSO: 28384 PH 2015-10-24 1310 OZ3SM         59  14     P33W          59  20
QSO: 21122 PH 2015-10-24 1320 OZ3SM         59  14     LZ2JA         59  20
QSO: 21133 PH 2015-10-24 1322 OZ3SM         59  14     VE3JM         59  04
QSO: 21148 PH 2015-10-24 1326 OZ3SM         59  14     4Z4DX         59  20
QSO: 21159 PH 2015-10-24 1335 OZ3SM         59  14     Z32AJA        59  15
QSO: 21166 PH 2015-10-24 1336 OZ3SM         59  14     ED2C          59  14
QSO: 21173 PH 2015-10-24 1337 OZ3SM         59  14     EF1W          59  14
QSO: 21185 PH 2015-10-24 1343 OZ3SM         59  14     TK/PB8DX      59  15
QSO: 21198 PH 2015-10-24 1345 OZ3SM         59  14     UT7CA         59  16
QSO: 21205 PH 2015-10-24 1347 OZ3SM         59  14     K3LR          59  05
QSO: 21223 PH 2015-10-24 1350 OZ3SM         59  14     LZ5R          59  20
QSO: 21262 PH 2015-10-24 1354 OZ3SM         59  14     R7AB          59  16
QSO: 21356 PH 2015-10-24 1403 OZ3SM         59  14     J42T          59  20
QSO: 21386 PH 2015-10-24 1407 OZ3SM         59  14     SX2V          59  20
QSO: 21390 PH 2015-10-24 1408 OZ3SM         59  14     ED8X          59  33
QSO: 21436 PH 2015-10-24 1418 OZ3SM         59  14     EA8MT         59  33
QSO: 14116 PH 2015-10-24 1420 OZ3SM         59  14     HG6C          59  15
QSO: 14127 PH 2015-10-24 1423 OZ3SM         59  14     UA3RF         59  16
QSO: 14142 PH 2015-10-24 1426 OZ3SM         59  14     S58J          59  15
QSO: 14146 PH 2015-10-24 1427 OZ3SM         59  14     E71AGA        59  15
QSO: 14150 PH 2015-10-24 1428 OZ3SM         59  14     K3LR          59  05
QSO: 14155 PH 2015-10-24 1431 OZ3SM         59  14     YT1A          59  15
QSO: 14174 PH 2015-10-24 1434 OZ3SM         59  14     IO1X          59  15
QSO: 14193 PH 2015-10-24 1435 OZ3SM         59  14     TM4L          59  14
QSO: 14196 PH 2015-10-24 1436 OZ3SM         59  14     9A1A          59  15
QSO: 14208 PH 2015-10-24 1439 OZ3SM         59  14     G7Y           59  14
QSO: 14216 PH 2015-10-24 1440 OZ3SM         59  14     UP2L          59  17
QSO: 14225 PH 2015-10-24 1443 OZ3SM         59  14     EA9KB         59  33
QSO: 14232 PH 2015-10-24 1444 OZ3SM         59  14     LZ9W          59  20
QSO: 14238 PH 2015-10-24 1445 OZ3SM         59  14     UR2Y          59  16
QSO: 14242 PH 2015-10-24 1447 OZ3SM         59  14     SV9FBG        59  20
QSO: 14270 PH 2015-10-24 1451 OZ3SM         59  14     4L8A          59  21
QSO: 14282 PH 2015-10-24 1453 OZ3SM         59  14     OH8WW         59  15
QSO: 14287 PH 2015-10-24 1454 OZ3SM         59  14     R9AE          59  17
QSO: 14297 PH 2015-10-24 1455 OZ3SM         59  14     IT9STX        59  15
QSO: 14303 PH 2015-10-24 1457 OZ3SM         59  14     J42T          59  20
QSO: 14318 PH 2015-10-24 1458 OZ3SM         59  14     EW8OP         59  16
QSO: 14321 PH 2015-10-24 1459 OZ3SM         59  14     MM2N          59  14
QSO: 14330 PH 2015-10-24 1501 OZ3SM         59  14     EI4II         59  14
QSO:  7093 PH 2015-10-24 1506 OZ3SM         59  14     DC3RJ         59  14
QSO:  7107 PH 2015-10-24 1508 OZ3SM         59  14     OT5A          59  14
QSO:  7113 PH 2015-10-24 1509 OZ3SM         59  14     EU6AF         59  16
QSO:  7121 PH 2015-10-24 1511 OZ3SM         59  14     PI4ZU         59  14
QSO:  7127 PH 2015-10-24 1643 OZ3SM         59  14     RK4FD         59  16
QSO:  7131 PH 2015-10-24 1644 OZ3SM         59  14     DP6A          59  14
QSO:  7139 PH 2015-10-24 1645 OZ3SM         59  14     SQ6RGG        59  15
QSO:  7154 PH 2015-10-24 1648 OZ3SM         59  14     OK1KSO        59  15
QSO:  7161 PH 2015-10-24 1650 OZ3SM         59  14     IZ5MOQ        59  15
QSO:  7166 PH 2015-10-24 1652 OZ3SM         59  14     S51YI         59  15
QSO:  3605 PH 2015-10-24 2229 OZ3SM         59  14     J42T          59  20
QSO:  3620 PH 2015-10-24 2233 OZ3SM         59  14     OR1Z          59  14
QSO:  3622 PH 2015-10-24 2234 OZ3SM         59  14     R8TT          59  16
QSO:  3625 PH 2015-10-24 2235 OZ3SM         59  14     SE5N          59  14
QSO:  3636 PH 2015-10-24 2238 OZ3SM         59  14     DO8CW         59  14
QSO:  3653 PH 2015-10-24 2241 OZ3SM         59  14     M5B           59  14
QSO:  3665 PH 2015-10-24 2243 OZ3SM         59  14     OQ5M          59  14
QSO:  3667 PH 2015-10-24 2244 OZ3SM         59  14     OK1AY         59  15
QSO:  3673 PH 2015-10-24 2246 OZ3SM         59  14     IK3UNA/1      59  15
QSO:  3687 PH 2015-10-24 2249 OZ3SM         59  14     SP1DSZ        59  15
QSO:  3692 PH 2015-10-24 2250 OZ3SM         59  14     LY7A          59  15
QSO:  3696 PH 2015-10-24 2252 OZ3SM         59  14     UP0L          59  17
QSO:  3701 PH 2015-10-24 2253 OZ3SM         59  14     PI4CC         59  14
QSO:  3705 PH 2015-10-24 2254 OZ3SM         59  14     LY2W          59  15
QSO:  3719 PH 2015-10-24 2258 OZ3SM         59  14     EW8Y          59  16
QSO:  3732 PH 2015-10-24 2301 OZ3SM         59  14     HG7T          59  15
QSO:  3748 PH 2015-10-24 2307 OZ3SM         59  14     9A1A          59  15
QSO:  3751 PH 2015-10-24 2309 OZ3SM         59  14     YT5A          59  15
QSO:  1835 PH 2015-10-24 2322 OZ3SM         59  14     9A1A          59  15
QSO:  1852 PH 2015-10-24 2327 OZ3SM         59  14     SP9KAO        59  15
QSO:  1860 PH 2015-10-24 2329 OZ3SM         59  14     LY8O          59  15
QSO:  1867 PH 2015-10-24 2331 OZ3SM         59  14     LA5YJ         59  14
QSO:  1882 PH 2015-10-24 2333 OZ3SM         59  14     S53O          59  15
QSO:  1885 PH 2015-10-24 2334 OZ3SM         59  14     LZ5W          59  20
QSO:  1892 PH 2015-10-24 2335 OZ3SM         59  14     DL0CS         59  14
END-OF-LOG:
