START-OF-LOG: 3.0
CREATED-BY: QARTest 5.8.1
CONTEST: CQ-WW-SSB
CALLSIGN: IK8JDH
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-MODE: SSB
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 51330
NAME: Lucio Petrone
CLUB: Italian contest club
SOAPBOX: anche quest'anno contest favoloso, ho potuto dedicare più tempo alla
SOAPBOX: radio. Grazie a tutti
QSO:  7000 PH 2015-10-24 1801 IK8JDH        59  15     YT7A          59  15
QSO:  7000 PH 2015-10-24 1803 IK8JDH        59  15     IO1X          59  15
QSO: 14000 PH 2015-10-24 1812 IK8JDH        59  15     SI9AM         59  14
QSO: 14000 PH 2015-10-24 1816 IK8JDH        59  15     K3LR          59  05
QSO: 14000 PH 2015-10-24 1818 IK8JDH        59  15     W3LPL         59  05
QSO: 14000 PH 2015-10-24 1820 IK8JDH        59  15     EA9KB         59  33
QSO: 14000 PH 2015-10-24 1824 IK8JDH        59  15     CR5C          59  14
QSO: 14000 PH 2015-10-24 1825 IK8JDH        59  15     ES5TV         59  15
QSO: 14000 PH 2015-10-24 1827 IK8JDH        59  15     M0NKR         59  14
QSO: 14000 PH 2015-10-24 1830 IK8JDH        59  15     CR6P          59  14
QSO: 14000 PH 2015-10-24 1831 IK8JDH        59  15     G5W           59  14
QSO: 14000 PH 2015-10-24 1832 IK8JDH        59  15     RM3F          59  16
QSO: 14000 PH 2015-10-24 1833 IK8JDH        59  15     K3WW          59  05
QSO: 14000 PH 2015-10-24 1835 IK8JDH        59  15     RU2A          59  16
QSO: 14000 PH 2015-10-24 1837 IK8JDH        59  15     G5O           59  14
QSO: 14000 PH 2015-10-24 1840 IK8JDH        59  15     EI9E          59  14
QSO: 14000 PH 2015-10-24 1841 IK8JDH        59  15     G2F           59  14
QSO: 14000 PH 2015-10-24 1847 IK8JDH        59  15     YP7P          59  20
QSO: 14000 PH 2015-10-24 1850 IK8JDH        59  15     VE3VEE        59  04
QSO: 14000 PH 2015-10-24 1854 IK8JDH        59  15     WE3C          59  05
QSO: 14000 PH 2015-10-24 1856 IK8JDH        59  15     K1LZ          59  05
QSO: 14000 PH 2015-10-24 1927 IK8JDH        59  15     CF3A          59  04
QSO: 14000 PH 2015-10-24 1930 IK8JDH        59  15     VA2WA         59  05
QSO: 14000 PH 2015-10-24 1931 IK8JDH        59  15     VE3DZ         59  04
QSO: 14000 PH 2015-10-24 1932 IK8JDH        59  15     VY2ZM         59  05
QSO: 14000 PH 2015-10-24 1933 IK8JDH        59  15     VO1MP         59  05
QSO:  3500 PH 2015-10-24 1939 IK8JDH        59  15     TM0R          59  14
QSO: 14000 PH 2015-10-25 1022 IK8JDH        59  15     OL3R          59  15
QSO: 14000 PH 2015-10-25 1023 IK8JDH        59  15     EE5T          59  14
QSO: 14000 PH 2015-10-25 1023 IK8JDH        59  15     HB9H          59  14
QSO: 14000 PH 2015-10-25 1026 IK8JDH        59  15     OZ7X          59  14
QSO: 14000 PH 2015-10-25 1027 IK8JDH        59  15     PI4ZU         59  14
QSO: 14000 PH 2015-10-25 1028 IK8JDH        59  15     TM4L          59  14
QSO: 14000 PH 2015-10-25 1030 IK8JDH        59  15     GM2T          59  14
QSO: 14000 PH 2015-10-25 1033 IK8JDH        59  15     OT5A          59  14
QSO: 14000 PH 2015-10-25 1034 IK8JDH        59  15     HG1S          59  15
QSO: 14000 PH 2015-10-25 1035 IK8JDH        59  15     OM4KK         59  15
QSO: 14000 PH 2015-10-25 1037 IK8JDH        59  15     UW5ZM         59  16
QSO: 14000 PH 2015-10-25 1039 IK8JDH        59  15     DK5QN         59  14
QSO: 14000 PH 2015-10-25 1040 IK8JDH        59  15     DL5GAC        59  14
QSO: 14000 PH 2015-10-25 1041 IK8JDH        59  15     IB1B          59  15
QSO: 14000 PH 2015-10-25 1041 IK8JDH        59  15     OM8JP         59  15
QSO: 14000 PH 2015-10-25 1043 IK8JDH        59  15     SK3W          59  14
QSO: 14000 PH 2015-10-25 1044 IK8JDH        59  15     OL9A          59  15
QSO: 14000 PH 2015-10-25 1048 IK8JDH        59  15     SP3LPG        59  15
QSO: 14000 PH 2015-10-25 1049 IK8JDH        59  15     PI4CC         59  14
QSO: 14000 PH 2015-10-25 1059 IK8JDH        59  15     G9W           59  14
