START-OF-LOG: 3.0
CALLSIGN: TF3CY
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 10M
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 199053
NAME: Benedikt Sveinsson
LOCATION: DX
OPERATORS: TF3CY
CLUB: none
CERTIFICATE: NO
CREATED-BY: Win-Test 4.15.0
SOAPBOX: Difficult CDX but had fun and learned alot ! 73, Benni TF3CY
QSO:  7148 PH 2015-10-24 0052 TF3CY         59  40     IR4M          59  15     0
QSO:  7106 PH 2015-10-24 0055 TF3CY         59  40     9A2L          59  15     0
QSO:  7113 PH 2015-10-24 0057 TF3CY         59  40     C37N          59  14     0
QSO:  7120 PH 2015-10-24 0102 TF3CY         59  40     DL1A          59  14     0
QSO:  7091 PH 2015-10-24 0115 TF3CY         59  40     J42T          59  20     0
QSO:  7159 PH 2015-10-24 0137 TF3CY         59  40     TM0T          59  14     0
QSO: 28442 PH 2015-10-24 1243 TF3CY         59  40     OK1BA         59  15     0
QSO: 28442 PH 2015-10-24 1243 TF3CY         59  40     DL8TN         59  14     0
QSO: 28442 PH 2015-10-24 1245 TF3CY         59  40     IK2QLX        59  15     0
QSO: 28442 PH 2015-10-24 1245 TF3CY         59  40     EA3LA         59  14     0
QSO: 28442 PH 2015-10-24 1245 TF3CY         59  40     IK1TAZ        59  15     0
QSO: 28442 PH 2015-10-24 1245 TF3CY         59  40     S53EA         59  15     0
QSO: 28442 PH 2015-10-24 1245 TF3CY         59  40     I1MRH         59  15     0
QSO: 28442 PH 2015-10-24 1246 TF3CY         59  40     OH2FHN        59  15     0
QSO: 28442 PH 2015-10-24 1246 TF3CY         59  40     S51DI         59  15     0
QSO: 28442 PH 2015-10-24 1246 TF3CY         59  40     IK1UUU        59  15     0
QSO: 28442 PH 2015-10-24 1247 TF3CY         59  40     IU3BXO        59  15     0
QSO: 28442 PH 2015-10-24 1247 TF3CY         59  40     DK8MZ         59  14     0
QSO: 28442 PH 2015-10-24 1248 TF3CY         59  40     HB9FLX        59  14     0
QSO: 28442 PH 2015-10-24 1248 TF3CY         59  40     DF6EH         59  14     0
QSO: 28442 PH 2015-10-24 1248 TF3CY         59  40     EA3HKY        59  14     0
QSO: 28442 PH 2015-10-24 1250 TF3CY         59  40     F5SNY         59  14     0
QSO: 28442 PH 2015-10-24 1250 TF3CY         59  40     RA1AL         59  16     0
QSO: 28442 PH 2015-10-24 1250 TF3CY         59  40     C37N          59  14     0
QSO: 28442 PH 2015-10-24 1251 TF3CY         59  40     I1RJP         59  15     0
QSO: 28442 PH 2015-10-24 1251 TF3CY         59  40     SQ9HHG        59  15     0
QSO: 28442 PH 2015-10-24 1251 TF3CY         59  40     DL0ML         59  14     0
QSO: 28442 PH 2015-10-24 1252 TF3CY         59  40     OK2PAY        59  15     0
QSO: 28442 PH 2015-10-24 1252 TF3CY         59  40     EA3NW         59  14     0
QSO: 28442 PH 2015-10-24 1252 TF3CY         59  40     OK2ZW         59  15     0
QSO: 28442 PH 2015-10-24 1252 TF3CY         59  40     OK2EQ         59  15     0
QSO: 28442 PH 2015-10-24 1252 TF3CY         59  40     DL4MP         59  14     0
QSO: 28442 PH 2015-10-24 1253 TF3CY         59  40     OK2KOJ        59  15     0
QSO: 28442 PH 2015-10-24 1253 TF3CY         59  40     SQ3F          59  15     0
QSO: 28442 PH 2015-10-24 1253 TF3CY         59  40     F5KMY         59  14     0
QSO: 28442 PH 2015-10-24 1254 TF3CY         59  40     DL1WM         59  14     0
QSO: 28442 PH 2015-10-24 1254 TF3CY         59  40     RK3DT         59  16     0
QSO: 28442 PH 2015-10-24 1255 TF3CY         59  40     EA3HLM        59  14     0
QSO: 28442 PH 2015-10-24 1255 TF3CY         59  40     SP2TQI        59  15     0
QSO: 28442 PH 2015-10-24 1255 TF3CY         59  40     DO2JX         59  14     0
QSO: 28442 PH 2015-10-24 1256 TF3CY         59  40     HB9ARK        59  14     0
QSO: 28442 PH 2015-10-24 1256 TF3CY         59  40     OK1RIG        59  15     0
QSO: 28442 PH 2015-10-24 1257 TF3CY         59  40     EB2ESS        59  14     0
QSO: 28442 PH 2015-10-24 1257 TF3CY         59  40     SO2O          59  15     0
QSO: 28442 PH 2015-10-24 1257 TF3CY         59  40     HB9O          59  14     0
QSO: 28442 PH 2015-10-24 1258 TF3CY         59  40     S52BT         59  15     0
QSO: 28442 PH 2015-10-24 1258 TF3CY         59  40     OM7AX         59  15     0
QSO: 28442 PH 2015-10-24 1259 TF3CY         59  40     DL8MAS        59  14     0
QSO: 28442 PH 2015-10-24 1259 TF3CY         59  40     SP5YAM        59  15     0
