START-OF-LOG: 3.0
CATEGORY: Multi operator
CONTEST: WAG
SPECIFIC: W10
CREATED-BY: TSV/CSV/sh/awk/LaTeX script collection (C) 2020, 2021 DH1GSD, modified by DXHF upload.
CALLSIGN: DL0MGD
OPERATORS: DL9MGE DO4AAM DH1GSD
CLUB: DARC
GRID-LOCATOR: JO52TC
QSO:  7000 PH 2021-10-16 1519 DL0MGD        59  W10    M3AWD         59  008    0
QSO:  7000 PH 2021-10-16 1522 DL0MGD        59  W10    IZ2FOS        59  027    0
QSO:  7000 PH 2021-10-16 1539 DL0MGD        59  W10    IZ2KXC        59  068    0
QSO:  7000 PH 2021-10-16 1542 DL0MGD        59  W10    DG2GTG        59  A28    0
QSO:  7000 PH 2021-10-16 1546 DL0MGD        59  W10    RA9V          59  048    0
QSO:  7000 PH 2021-10-16 1547 DL0MGD        59  W10    IK3UNA        59  092    0
QSO:  7000 PH 2021-10-16 1549 DL0MGD        59  W10    IW1FRU        59  038    0
QSO:  7000 PH 2021-10-16 1552 DL0MGD        59  W10    DL9UP         59  Q05    0
QSO:  7000 PH 2021-10-16 1555 DL0MGD        59  W10    SN7R          59  092    0
QSO:  7000 PH 2021-10-16 1558 DL0MGD        59  W10    LY2CX         59  085    0
QSO:  7000 PH 2021-10-16 1600 DL0MGD        59  W10    YL2CW         59  013    0
QSO: 14000 PH 2021-10-16 1604 DL0MGD        59  W10    EI6JK         59  090    0
QSO: 14000 PH 2021-10-16 1610 DL0MGD        59  W10    IT9OPR        59  085    0
QSO: 14000 PH 2021-10-16 1611 DL0MGD        59  W10    IZ8CCW        59  154    0
QSO: 14000 PH 2021-10-16 1616 DL0MGD        59  W10    IT9FRX        59  115    0
QSO: 14000 PH 2021-10-16 1618 DL0MGD        59  W10    EA3KT         59  027    0
QSO: 14000 PH 2021-10-16 1620 DL0MGD        59  W10    IZ2FOS        59  098    0
QSO: 14000 PH 2021-10-16 1624 DL0MGD        59  W10    EA3FP         59  046    0
QSO: 14000 PH 2021-10-16 1631 DL0MGD        59  W10    IT9FIQ        59  035    0
QSO: 14000 PH 2021-10-16 1640 DL0MGD        59  W10    IZ1NBX        59  134    0
QSO: 14000 PH 2021-10-16 1643 DL0MGD        59  W10    EA1OT         59  143    0
