START-OF-LOG: 2.0
CATEGORY: Single operator, CW, low power
CONTEST: WAG
CALLSIGN: SP9R
LOCATOR: JO90XA
PROVINCE:
CLUB: SP DX Club
CLAIMED-SCORE:
OPERATORS: SP9BRP
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR, modified by DXHF upload.
QSO:  7000 CW 2021-10-16 1727 SP9R          599         001 DM4L            599         B41
QSO:  7000 CW 2021-10-16 1728 SP9R          599         002 DP7D            599         N16
QSO:  7000 CW 2021-10-16 1729 SP9R          599         003 DD5DD           599         Z90
QSO:  7000 CW 2021-10-16 1732 SP9R          599         004 DL5XJ           599         M30
QSO:  7000 CW 2021-10-16 1734 SP9R          599         005 DF3VM           599         Q05
QSO:  7000 CW 2021-10-16 1735 SP9R          599         006 DJ2QV           599         C30
QSO:  7000 CW 2021-10-16 1739 SP9R          599         007 DJ3CQ           599         C06
QSO:  7000 CW 2021-10-16 1740 SP9R          599         008 DJ8EW           599         C25
QSO:  7000 CW 2021-10-16 1742 SP9R          599         009 DR5E            599         O53
QSO:  7000 CW 2021-10-16 1744 SP9R          599         010 DL9ABM          599         H07
QSO:  7000 CW 2021-10-16 1745 SP9R          599         011 DF1DT           599         O04
QSO:  7000 CW 2021-10-16 1748 SP9R          599         012 DF0SX           599         P51
QSO:  7000 CW 2021-10-16 1749 SP9R          599         013 DP6T            599         F49
QSO:  7000 CW 2021-10-16 1752 SP9R          599         014 DF8TM           599         P50
QSO:  7000 CW 2021-10-16 1754 SP9R          599         015 DL2VK           599         U07
QSO:  7000 CW 2021-10-16 1756 SP9R          599         016 DF4UM           599         P07
QSO:  7000 CW 2021-10-16 1804 SP9R          599         017 DL1DAW          599         O47
QSO:  7000 CW 2021-10-16 1807 SP9R          599         018 DR5X            599         M11
QSO:  7000 CW 2021-10-16 1809 SP9R          599         019 DL6KVA          599         V01
QSO:  7000 CW 2021-10-16 1814 SP9R          599         020 DL4MHA          599         C06
QSO:  7000 CW 2021-10-16 1833 SP9R          599         021 DD1A            599         A25
QSO:  7000 CW 2021-10-16 1845 SP9R          599         022 DL2F            599         F07
QSO:  7000 CW 2021-10-16 1852 SP9R          599         023 DL1NKS          599         B24
QSO:  7000 CW 2021-10-16 1856 SP9R          599         024 DL0TS           599        CM20
QSO:  7000 CW 2021-10-17 0638 SP9R          599         025 DL4ME           599         X30
