START-OF-LOG: 3.0
CATEGORY: Single operator, CW, low power
CONTEST: WAG
SPECIFIC: X36
CALLSIGN: DL2RTJ
CLAIMED-SCORE: 1072890
CREATED-BY: UcxLog 8.16, modified by DXHF upload.
CLUB: CENTRAL GERMAN DX CLUB
GRID-LOCATOR: JO50BU
QSO: 28000 CW 2021-10-16 1500 DL2RTJ        599 X36    PP5KR         599 0
QSO: 21000 CW 2021-10-16 1503 DL2RTJ        599 X36    PY1VOY        599 001
QSO: 21000 CW 2021-10-16 1504 DL2RTJ        599 X36    K1ZZ          599 007
QSO: 21000 CW 2021-10-16 1504 DL2RTJ        599 X36    IK8UND        599 5
QSO: 21000 CW 2021-10-16 1505 DL2RTJ        599 X36    LZ5R          599 010
QSO: 21000 CW 2021-10-16 1505 DL2RTJ        599 X36    SM2M          599 8
QSO: 21000 CW 2021-10-16 1506 DL2RTJ        599 X36    VE3VN         599 11
QSO: 21000 CW 2021-10-16 1512 DL2RTJ        599 X36    V31MA         599 011
QSO: 21000 CW 2021-10-16 1513 DL2RTJ        599 X36    FY5KE         599 012
QSO: 21000 CW 2021-10-16 1515 DL2RTJ        599 X36    9G5FI         599 020
QSO: 21000 CW 2021-10-16 1516 DL2RTJ        599 X36    VE1RSM        599 012
QSO: 21000 CW 2021-10-16 1519 DL2RTJ        599 X36    NP2X          599 31
QSO: 21000 CW 2021-10-16 1520 DL2RTJ        599 X36    LZ3ZZ         599 027
QSO: 21000 CW 2021-10-16 1522 DL2RTJ        599 X36    W5GN          599 38
QSO: 21000 CW 2021-10-16 1523 DL2RTJ        599 X36    PY4ARS        599 003
QSO: 21000 CW 2021-10-16 1524 DL2RTJ        599 X36    N4AF          599 015
QSO: 21000 CW 2021-10-16 1526 DL2RTJ        599 X36    P3AA          599 067
QSO: 21000 CW 2021-10-16 1528 DL2RTJ        599 X36    OY1CT         599 38
QSO: 21000 CW 2021-10-16 1529 DL2RTJ        599 X36    4X1VF         599 35
QSO: 21000 CW 2021-10-16 1530 DL2RTJ        599 X36    4O4T          599 035
QSO: 21000 CW 2021-10-16 1531 DL2RTJ        599 X36    CT1DRB        599 035
