START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-SSB
CALLSIGN: DL3FCG
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL3FCG
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-SSB ARRL/arrl_international_dx_phone_contest/2018.
QSO: 14127 PH 2018-03-03 1736 DL3FCG        59 500 VE6BBP        59 AB
QSO: 14000 PH 2018-03-03 1738 DL3FCG        59 500 VE2GSO        59 QC
QSO: 14135 PH 2018-03-03 1738 DL3FCG        59 500 VE3EJ         59 ON
QSO: 14150 PH 2018-03-03 1740 DL3FCG        59 500 K3LR          59 PA
QSO: 14152 PH 2018-03-03 1740 DL3FCG        59 500 W3LPL         59 MD
QSO: 14153 PH 2018-03-03 1741 DL3FCG        59 500 K1XM          59 MA
QSO: 14155 PH 2018-03-03 1742 DL3FCG        59 500 N7ZG          59 WA
QSO: 14157 PH 2018-03-03 1742 DL3FCG        59 500 NC1I          59 MA
QSO: 14159 PH 2018-03-03 1744 DL3FCG        59 500 W4RM          59 VA
QSO: 14164 PH 2018-03-03 1747 DL3FCG        59 500 K0MD          59 MN
QSO: 14166 PH 2018-03-03 1748 DL3FCG        59 500 K1KI          59 CT
QSO: 14170 PH 2018-03-03 1749 DL3FCG        59 500 NA8V          59 MI
QSO: 14172 PH 2018-03-03 1750 DL3FCG        59 500 K3WW          59 PA
QSO: 14176 PH 2018-03-03 1751 DL3FCG        59 500 NV9L          59 IL
QSO: 14186 PH 2018-03-03 1752 DL3FCG        59 500 W0AIH         59 WI
QSO: 14187 PH 2018-03-03 1753 DL3FCG        59 500 K3ZJ          59 WV
QSO: 14000 PH 2018-03-03 1756 DL3FCG        59 500 KV0Q          59 CO
QSO: 14196 PH 2018-03-03 1758 DL3FCG        59 500 W0YI          59 IA
QSO: 14197 PH 2018-03-03 1758 DL3FCG        59 500 N4OX          59 FL
QSO: 14207 PH 2018-03-03 1805 DL3FCG        59 500 K1TTT         59 MA
QSO: 14317 PH 2018-03-03 1858 DL3FCG        59 500 K3EL          59 NJ
QSO: 14324 PH 2018-03-03 1858 DL3FCG        59 500 N2MM          59 NJ
QSO: 14283 PH 2018-03-03 1900 DL3FCG        59 500 W1VEM         59 CT
QSO: 14150 PH 2018-03-03 1905 DL3FCG        59 500 K8GL          59 MI
QSO: 14258 PH 2018-03-03 1905 DL3FCG        59 500 WB0N          59 MN
QSO: 14340 PH 2018-03-03 1919 DL3FCG        59 500 WA3EKL        59 MD
QSO: 14281 PH 2018-03-03 1921 DL3FCG        59 500 K7RL          59 WA
QSO: 14219 PH 2018-03-03 1925 DL3FCG        59 500 4U1WB         59 DC
QSO: 14164 PH 2018-03-03 1932 DL3FCG        59 500 NW3Y          59 DE
QSO: 14162 PH 2018-03-03 1933 DL3FCG        59 500 AA1K          59 DE
QSO: 14145 PH 2018-03-03 1934 DL3FCG        59 500 VO1KVT        59 NF
QSO: 14129 PH 2018-03-03 1935 DL3FCG        59 500 VA2SJ         59 QC
QSO: 14000 PH 2018-03-03 1937 DL3FCG        59 500 K7XC          59 NV
QSO: 14314 PH 2018-03-03 1940 DL3FCG        59 500 K1JB          59 ME
QSO: 14305 PH 2018-03-03 1941 DL3FCG        59 500 K3WI          59 DE
QSO: 14285 PH 2018-03-03 1942 DL3FCG        59 500 N4ZY          59 KY
QSO: 14246 PH 2018-03-03 1947 DL3FCG        59 500 VA1XH         59 NS
QSO: 14000 PH 2018-03-03 1950 DL3FCG        59 500 W8GOC         59 OH
QSO: 14245 PH 2018-03-03 1952 DL3FCG        59 500 N9TGR         59 IL
QSO: 14000 PH 2018-03-03 1956 DL3FCG        59 500 KA8Q          59 VA
QSO: 14000 PH 2018-03-03 1957 DL3FCG        59 500 KC2VIC        59 NJ
QSO: 14246 PH 2018-03-03 1958 DL3FCG        59 500 VO1CRP        59 NF
QSO: 14245 PH 2018-03-03 1959 DL3FCG        59 500 K9BGL         59 IL
QSO: 14246 PH 2018-03-03 1959 DL3FCG        59 500 K3WJV         59 PA
QSO: 14245 PH 2018-03-03 2000 DL3FCG        59 500 N2SR          59 NJ
QSO: 14245 PH 2018-03-03 2000 DL3FCG        59 500 W2CG          59 NJ
QSO: 14245 PH 2018-03-03 2000 DL3FCG        59 500 WJ2D          59 NC
QSO: 14246 PH 2018-03-03 2000 DL3FCG        59 500 K5UA          59 LA
QSO: 14246 PH 2018-03-03 2000 DL3FCG        59 500 N3ED          59 PA
QSO: 14000 PH 2018-03-03 2001 DL3FCG        59 500 K3ATO         59 PA
QSO: 14246 PH 2018-03-03 2001 DL3FCG        59 500 W3MF          59 PA
QSO: 14245 PH 2018-03-03 2002 DL3FCG        59 500 K2YG          59 NJ
