START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-DX-CW
CALLSIGN: F5IDJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F5IDJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-DX-CW ARRL/arrl_international_dx_cw_contest/2023.
QSO: 21038 CW 2023-02-18 1524 F5IDJ         599 0 VP5K          599 500
QSO: 28081 CW 2023-02-18 1615 F5IDJ         599 500 VE3AT         599 ON
QSO: 28089 CW 2023-02-18 1617 F5IDJ         599 500 VE5MX         599 SK
QSO: 28100 CW 2023-02-18 1617 F5IDJ         599 500 W1GD          599 MA
QSO: 28087 CW 2023-02-18 1619 F5IDJ         599 500 K0AD          599 MN
QSO: 28091 CW 2023-02-18 1619 F5IDJ         599 500 NA8V          599 MI
QSO: 28095 CW 2023-02-18 1621 F5IDJ         599 500 K5EK          599 NC
QSO: 28085 CW 2023-02-18 1622 F5IDJ         599 500 K5TR          599 TX
QSO: 28103 CW 2023-02-18 1625 F5IDJ         599 500 K1JB          599 ME
QSO: 28087 CW 2023-02-18 1626 F5IDJ         599 500 N6MA          599 TN
QSO: 28000 CW 2023-02-18 1631 F5IDJ         599 500 KS7T          599 MT
QSO: 28121 CW 2023-02-18 1631 F5IDJ         599 5TT N4OX          599 FL
QSO: 28122 CW 2023-02-18 1632 F5IDJ         599 500 VO2AC         599 LB
QSO: 28124 CW 2023-02-18 1633 F5IDJ         599 500 N4QS          599 KY
QSO: 28129 CW 2023-02-18 1634 F5IDJ         599 500 N1TO          599 FL
QSO: 28131 CW 2023-02-18 1636 F5IDJ         599 500 VY2TT         599 PE
QSO: 28133 CW 2023-02-18 1636 F5IDJ         599 500 W5RZ          599 AR
QSO: 28128 CW 2023-02-18 1637 F5IDJ         599 500 N7AT          599 AZ
QSO: 28134 CW 2023-02-18 1637 F5IDJ         599 500 K3TN          599 MD
QSO: 28114 CW 2023-02-18 1639 F5IDJ         599 500 WX0B          599 TX
QSO: 28111 CW 2023-02-18 1642 F5IDJ         599 500 K7SS          599 WA
QSO: 28116 CW 2023-02-18 1646 F5IDJ         599 500 WA2CP         599 NY
QSO: 28105 CW 2023-02-18 1648 F5IDJ         599 500 K2PS          599 FL
QSO: 28111 CW 2023-02-18 1648 F5IDJ         599 500 K1JB          599 ME
QSO: 28010 CW 2023-02-18 1656 F5IDJ         599 500 K0RF          599 CO
QSO: 28002 CW 2023-02-18 1657 F5IDJ         599 500 VA2WA         599 QC
QSO: 28020 CW 2023-02-18 1658 F5IDJ         599 5TT N2SR          599 NJ
QSO: 28017 CW 2023-02-18 1659 F5IDJ         599 500 K3LR          599 PA
QSO: 28017 CW 2023-02-18 1700 F5IDJ         599 500 AB3CX         599 NY
QSO: 28034 CW 2023-02-18 1701 F5IDJ         599 500 KW4CW         599 VA
QSO: 28034 CW 2023-02-18 1728 F5IDJ         599 500 AA1ON         599 MA
QSO: 28030 CW 2023-02-18 1729 F5IDJ         599 500 K3WW          599 PA
QSO: 28031 CW 2023-02-18 1730 F5IDJ         599 500 K1RM          599 CT
QSO: 28039 CW 2023-02-18 1732 F5IDJ         599 500 K1TTT         599 MA
QSO: 28059 CW 2023-02-18 1733 F5IDJ         599 500 VE3NZ         599 ON
QSO: 28065 CW 2023-02-18 1734 F5IDJ         599 5TT KK9V          599 IN
QSO: 28061 CW 2023-02-18 1735 F5IDJ         599 500 W8FJ          599 PA
QSO: 28058 CW 2023-02-18 1736 F5IDJ         599 500 N4AF          599 NC
QSO: 28041 CW 2023-02-18 1737 F5IDJ         599 500 KT0A          599 SD
QSO: 28071 CW 2023-02-18 1738 F5IDJ         599 500 N2EM          599 PA
QSO: 28073 CW 2023-02-18 1743 F5IDJ         599 500 K2LNS         599 PA
