START-OF-LOG: 3.0
CATEGORY: Multi-OP
CONTEST: WAE CW
CREATED-BY: TR4W v.4.58.0, modified by DXHF upload.
CALLSIGN: RF9C
CLAIMED-SCORE: 73066
OPERATORS: UA9CDC UA9CIR
CLUB: URAL CONTEST GROUP
ADDRESS-CITY: Ekaterinburg
ADDRESS-POSTALCODE: 620002
ADDRESS-COUNTRY: Russia
QSO: 14008 CW 2019-08-10 1353 RF9C          599 0001 EW6W          599 0626
QSO: 14022 CW 2019-08-10 1354 RF9C          599 0002 SN2N          599 0120
QSO: 14015 CW 2019-08-10 1357 RF9C          599 0003 9A3XV         599 0393
QSO: 14016 CW 2019-08-10 1358 RF9C          599 0004 RW2F          599 0273
QSO: 14025 CW 2019-08-10 1359 RF9C          599 0005 IK1JJM        599 0045
QSO: 14015 CW 2019-08-10 1359 RF9C          599 0006 HG7T          599 0080
QSO: 14045 CW 2019-08-10 1400 RF9C          599 0007 DL5AXX        599 0426
QSO: 14013 CW 2019-08-10 1400 RF9C          599 0008 LX7I          599 0396
QSO: 14005 CW 2019-08-10 1400 RF9C          599 0009 OM8A          599 0619
QSO: 14025 CW 2019-08-10 1402 RF9C          599 0010 OH1VR         599 0201
QSO: 14037 CW 2019-08-10 1403 RF9C          599 0011 LZ5R          599 0369
QSO: 14002 CW 2019-08-10 1404 RF9C          599 0012 S51A          599 0364
QSO: 14006 CW 2019-08-10 1411 RF9C          599 0013 EC2DX         599 0293
QSO: 14017 CW 2019-08-10 1412 RF9C          599 0014 LA8HGA        599 0099
QSO: 14015 CW 2019-08-10 1412 RF9C          599 0015 UR7GO         599 0369
QSO: 14007 CW 2019-08-10 1413 RF9C          599 0016 TM6M          599 0611
QSO: 14004 CW 2019-08-10 1418 RF9C          599 0017 J42L          599 0289
QSO: 14037 CW 2019-08-10 1419 RF9C          599 0018 E7DX          599 0421
QSO: 14040 CW 2019-08-10 1420 RF9C          599 0019 F6IRA         599 0142
QSO: 14040 CW 2019-08-10 1421 RF9C          599 0020 UA7K          599 0578
