START-OF-LOG: 3.0
CALLSIGN: ZS6AA
CLAIMED-SCORE: 2642010
CLUB:
CONTEST: CQ-WW-CW
CREATED-BY: WriteLog V10.62H
NAME: Andrew Roos
OPERATORS: ZS6AA
SOAPBOX: I've had my eye on the South African CQWW SOAB LP record of 582,920 points for a
SOAPBOX: while. I came close in 2004 as ZS1AN with wire antennas but wasn't able to mount
SOAPBOX: a proper challenge in 2005 or 2006 due to our relocation from Cape Town to Johannesburg.
SOAPBOX: Now with an 18m tower, C-31XR tribander and OB2-40 40m beam (installed a week before
SOAPBOX: the contest), I was determined to break the record at last!
SOAPBOX:
SOAPBOX: I started late, at 0130Z (3:30am local) due to a violent hailstorm that damaged
SOAPBOX: my rotator. Fortunately I was able to turn the antenna using the "CW" and "CCW"
SOAPBOX: controls, but the direction reading was random so I had to run into the garden
SOAPBOX: to see which way the antenna was actually pointing! So I adopted a simple
SOAPBOX: "follow the sun" pointing strategy - Asia in the early morning, Europe during
SOAPBOX: the day, and North America at night.
SOAPBOX:
SOAPBOX: Conditions were much better than anticipated. 40m was rocking, and the new two
SOAPBOX: element beam made a huge difference - previously, 40m has been a very
SOAPBOX: frustrating experience from here, consisting of spending literally minutes at a
SOAPBOX: time calling the same station until I'm eventually heard, or give up and move
SOAPBOX: on. Now all of a sudden it felt like 20m, and I was able to S&P effectively and
SOAPBOX: even run occasionally.
SOAPBOX:
SOAPBOX: After a break for another thunderstorm (fortunately no hail) in the early
SOAPBOX: morning, I was able to run on 15m to Asia and Europe almost nonstop from 10am
SOAPBOX: until 8pm, averaging over 100 QSOs per hour. Who needs sunspots?
SOAPBOX: I must admit that I didn't even look at the other
SOAPBOX: bands, as my SO2R ability currently stops somewhere short of the 60 QSOs/hour
SOAPBOX: rate. That evening I added a few on 20m and 40m before taking a nap.
SOAPBOX:
SOAPBOX: Starting at 3am local again on Sunday, I was hoping for a repeat performance.
SOAPBOX: After working 40m and 20m for a few hours, 15m opened again at about 0800Z,
SOAPBOX: although conditions were not seem as good as on Saturday. This gave me time
SOAPBOX: for some SO2R, S&P on 20m while running on 15m. At about 0930Z I idly checked
SOAPBOX: 10m on my S&P radio. I heard a few stations, and when I called them they came
SOAPBOX: back to me, so I switched my run operation to 10m in the hope of picking up a
SOAPBOX: few more multipliers. The propagation was sketchy, with lots of fading - a
SOAPBOX: station would be S5 one minute, gone the next, and back again a moment later.
SOAPBOX: However I managed to run on 10m for about 2 hours, picking up 228 QSOs, mostly
SOAPBOX: to Europe. In retrospect, looking at the DX Summit spots database, I see that
SOAPBOX: ZS4TX was also active on 10m on Saturday, so I should have been more
SOAPBOX: vigilent. 15m closed earlier than on Saturday, and I spent some time S&P on
SOAPBOX: 20m to address the imbalance in my band scores - I had worked many stations on
SOAPBOX: 15m and 40m, but few on 20m, and didn't want to overlook some easy mults.
SOAPBOX:
SOAPBOX: Then it was back to 40m, with some S&P and some runs - although running was
SOAPBOX: hard due to the crowded band (can't spread the pile-up), weak signals and local
SOAPBOX: band noise. I eventually quit at 2230Z (0030 local) as I had to go to work the
SOAPBOX: following day, and in any case the dits and dahs were no longer joining
SOAPBOX: themselves up to make letters as they are supposed to.
SOAPBOX:
SOAPBOX: The bottom line is that everything went well for me. Thanks to my wife's infinite
SOAPBOX: patience I was able to spend the whole weekend contesting; I had my new antenna up;
SOAPBOX: and the rotator problem had no significant effect on my score. So no ifs, buts,
SOAPBOX: maybes or excuses - this was my best shot. Next year? I'll strive to better it, of
SOAPBOX: course.
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO:  7002 CW 2007-11-24 0121 ZS6AA         599     38 K1LZ          599      5
QSO:  7007 CW 2007-11-24 0122 ZS6AA         599     38 KC1XX         599      5
QSO:  7009 CW 2007-11-24 0124 ZS6AA         599     38 W3UA          599      5
QSO:  7011 CW 2007-11-24 0125 ZS6AA         599     38 K5GO          599      4
QSO:  7014 CW 2007-11-24 0129 ZS6AA         599     38 D2NX          599     36
QSO:  7056 CW 2007-11-24 0133 ZS6AA         599     38 KI1G          599      5
QSO:  7053 CW 2007-11-24 0134 ZS6AA         599     38 N9FS          599      4
QSO:  7053 CW 2007-11-24 0134 ZS6AA         599     38 ZS6C          599     38
QSO:  7053 CW 2007-11-24 0134 ZS6AA         599     38 DL0CS         599     14
QSO:  7053 CW 2007-11-24 0135 ZS6AA         599     38 W1ZZ          599      5
QSO:  7053 CW 2007-11-24 0135 ZS6AA         599     38 N3CZ          599      5
QSO:  7053 CW 2007-11-24 0137 ZS6AA         599     38 HG1S          599     15
QSO:  7053 CW 2007-11-24 0137 ZS6AA         599     38 G7PZ          599     14
QSO:  7053 CW 2007-11-24 0138 ZS6AA         599     38 W7RN          599      3
QSO:  7053 CW 2007-11-24 0139 ZS6AA         599     38 W2QM          599      5
QSO:  7053 CW 2007-11-24 0139 ZS6AA         599     38 N4QV          599      5
QSO:  7053 CW 2007-11-24 0139 ZS6AA         599     38 VE3UTT        599      4
QSO:  7053 CW 2007-11-24 0140 ZS6AA         599     38 K4JLD         599      5
QSO:  7053 CW 2007-11-24 0140 ZS6AA         599     38 K2TTT         599      5
QSO:  7053 CW 2007-11-24 0140 ZS6AA         599     38 N3AM          599      5
QSO:  7053 CW 2007-11-24 0141 ZS6AA         599     38 KN5O          599      4
QSO:  7053 CW 2007-11-24 0142 ZS6AA         599     38 W6NWS         599      5
QSO:  7053 CW 2007-11-24 0142 ZS6AA         599     38 N1BAA         599      5
QSO:  7053 CW 2007-11-24 0143 ZS6AA         599     38 SK6D          599     14
QSO:  7053 CW 2007-11-24 0143 ZS6AA         599     38 VE3YAA        599      4
QSO:  7053 CW 2007-11-24 0144 ZS6AA         599     38 W1BYH         599      5
QSO:  7053 CW 2007-11-24 0145 ZS6AA         599     38 W1GQ          599      6
QSO:  7053 CW 2007-11-24 0145 ZS6AA         599     38 N5PO          599      5
QSO:  7053 CW 2007-11-24 0146 ZS6AA         599     38 K9CJ          599      4
QSO:  7053 CW 2007-11-24 0146 ZS6AA         599     38 K4ST          599      5
QSO:  7053 CW 2007-11-24 0147 ZS6AA         599     38 N6QQ          599      3
QSO:  7053 CW 2007-11-24 0147 ZS6AA         599     38 WK2H          599      5
QSO:  7053 CW 2007-11-24 0147 ZS6AA         599     38 N5AU          599      4
QSO:  7053 CW 2007-11-24 0147 ZS6AA         599     38 KE1FO         599      5
QSO:  7053 CW 2007-11-24 0148 ZS6AA         599     38 K9XV          599      4
QSO:  7053 CW 2007-11-24 0150 ZS6AA         599     38 K2BA          599      4
QSO:  7053 CW 2007-11-24 0150 ZS6AA         599     38 K9MA          599      4
QSO:  7053 CW 2007-11-24 0152 ZS6AA         599     38 K2XF          599      5
QSO:  7053 CW 2007-11-24 0153 ZS6AA         599     38 VE3FZ         599      4
QSO:  7053 CW 2007-11-24 0154 ZS6AA         599     38 WA3OFR        599      5
QSO:  7053 CW 2007-11-24 0155 ZS6AA         599     38 EV1R          599     16
QSO:  7053 CW 2007-11-24 0155 ZS6AA         599     38 N4PN          599      5
QSO:  7053 CW 2007-11-24 0155 ZS6AA         599     38 K8IA          599      3
QSO:  7053 CW 2007-11-24 0156 ZS6AA         599     38 W3DQN         599      5
QSO:  7053 CW 2007-11-24 0156 ZS6AA         599     38 W8ERD         599      4
QSO:  7053 CW 2007-11-24 0158 ZS6AA         599     38 WA3GNW        599      5
QSO:  7053 CW 2007-11-24 0158 ZS6AA         599     38 N6ZI          599      3
QSO:  7053 CW 2007-11-24 0200 ZS6AA         599     38 K1RX          599      5
QSO:  7053 CW 2007-11-24 0200 ZS6AA         599     38 W2FU          599      5
QSO:  7053 CW 2007-11-24 0200 ZS6AA         599     38 K5NZ          599      4
QSO:  7053 CW 2007-11-24 0201 ZS6AA         599     38 K6TA          599      3
QSO:  7053 CW 2007-11-24 0201 ZS6AA         599     38 KO7AA         599      3
