START-OF-LOG: 2.0
CREATED-BY: CONTEST c14a1
CONTEST: CQ-WW-CW
CALLSIGN: RA3XCW/QRP
Category-Operator: SINGLE-OP
Category-Transmitter: ONE
Category-Band: ALL
Category-Power: QRP
Category-Assisted: NON-ASSISTED
CLAIMED-SCORE: 31408
CLUB: RU-QRP; QRU
NAME: Serge Perevozchikov
SOAPBOX: Elecraft K2, power 5W, W3DZZ, HF Vertical, multiband delta
QSO: 14000 CW 2007-11-24 1057 RA3XCW/QRP    599 16     EA5/UT2XD     599 14
QSO: 14000 CW 2007-11-24 1058 RA3XCW/QRP    599 16     HA3LN         599 15
QSO: 14000 CW 2007-11-24 1100 RA3XCW/QRP    599 16     S59N          599 15
QSO: 14000 CW 2007-11-24 1102 RA3XCW/QRP    599 16     ZC4LI         599 20
QSO: 14000 CW 2007-11-24 1129 RA3XCW/QRP    599 16     NN1N          599 05
QSO: 14000 CW 2007-11-24 1131 RA3XCW/QRP    599 16     4L8A          599 21
QSO: 14000 CW 2007-11-24 1133 RA3XCW/QRP    599 16     DL5ASE        599 14
QSO: 14000 CW 2007-11-24 1135 RA3XCW/QRP    599 16     RK9CZO        599 17
QSO: 14000 CW 2007-11-24 1138 RA3XCW/QRP    599 16     PG7V          599 14
QSO: 14000 CW 2007-11-24 1140 RA3XCW/QRP    599 16     4O3A          599 15
QSO: 14000 CW 2007-11-24 1142 RA3XCW/QRP    599 16     LN3Z          599 14
QSO: 14000 CW 2007-11-24 1143 RA3XCW/QRP    599 16     DR1A          599 14
QSO: 14000 CW 2007-11-24 1150 RA3XCW/QRP    599 16     M6T           599 14
QSO: 14000 CW 2007-11-24 1211 RA3XCW/QRP    599 16     5P3WW         599 14
QSO: 21000 CW 2007-11-24 1228 RA3XCW/QRP    599 16     3V2A          599 33
QSO: 14000 CW 2007-11-24 1256 RA3XCW/QRP    599 16     OE2S          599 15
QSO: 14000 CW 2007-11-24 1257 RA3XCW/QRP    599 16     9A7A          599 15
QSO: 14000 CW 2007-11-24 1310 RA3XCW/QRP    599 16     IR4M          599 15
QSO: 14000 CW 2007-11-24 1317 RA3XCW/QRP    599 16     Z37M          599 15
QSO:  7000 CW 2007-11-24 1408 RA3XCW/QRP    599 16     E7/YU4EU      599 15
QSO:  7000 CW 2007-11-24 1410 RA3XCW/QRP    599 16     RT9W          599 17
QSO:  7000 CW 2007-11-24 1411 RA3XCW/QRP    599 16     OK5C          599 15
QSO:  7000 CW 2007-11-24 1418 RA3XCW/QRP    599 16     E7/9A8A       599 15
QSO:  7000 CW 2007-11-24 1418 RA3XCW/QRP    599 16     UT7QF         599 16
QSO:  7000 CW 2007-11-24 1420 RA3XCW/QRP    599 16     IO3P          599 15
QSO:  7000 CW 2007-11-24 1455 RA3XCW/QRP    599 16     DR1A          599 14
QSO:  7000 CW 2007-11-24 1458 RA3XCW/QRP    599 16     UU5WW         599 16
QSO:  7000 CW 2007-11-24 1459 RA3XCW/QRP    599 16     HG5A          599 15
QSO:  3500 CW 2007-11-24 1507 RA3XCW/QRP    599 16     LY3M          599 15
QSO:  3500 CW 2007-11-24 1508 RA3XCW/QRP    599 16     OK1CW         599 15
QSO:  3500 CW 2007-11-24 1513 RA3XCW/QRP    599 16     9A4NN         599 15
QSO:  3500 CW 2007-11-24 1515 RA3XCW/QRP    599 16     4L2M          599 21
QSO:  3500 CW 2007-11-24 1516 RA3XCW/QRP    599 16     UW5U          599 16
QSO:  3500 CW 2007-11-24 1518 RA3XCW/QRP    599 16     OM5M          599 15
QSO:  3500 CW 2007-11-24 1520 RA3XCW/QRP    599 16     OH0R          599 15
QSO:  3500 CW 2007-11-24 1521 RA3XCW/QRP    599 16     ER0WW         599 16
QSO:  3500 CW 2007-11-24 1523 RA3XCW/QRP    599 16     PA4VHF        599 14
QSO:  3500 CW 2007-11-24 1524 RA3XCW/QRP    599 16     RA6LBS        599 16
QSO:  3500 CW 2007-11-24 1525 RA3XCW/QRP    599 16     S53MM         599 15
QSO:  3500 CW 2007-11-24 1549 RA3XCW/QRP    599 16     DF0HQ         599 14
QSO:  3500 CW 2007-11-24 1556 RA3XCW/QRP    599 16     OF5Z          599 15
QSO:  3500 CW 2007-11-24 1601 RA3XCW/QRP    599 16     YU1KR         599 15
QSO:  3500 CW 2007-11-24 1601 RA3XCW/QRP    599 16     SO2R          599 15
QSO:  3500 CW 2007-11-24 1604 RA3XCW/QRP    599 16     LN9Z          599 14
QSO:  3500 CW 2007-11-24 1623 RA3XCW/QRP    599 16     LZ9W          599 20
QSO:  3500 CW 2007-11-24 1739 RA3XCW/QRP    599 16     IO3N          599 15
QSO:  3500 CW 2007-11-24 1743 RA3XCW/QRP    599 16     UA9TQ         599 16
QSO:  3500 CW 2007-11-24 1747 RA3XCW/QRP    599 16     F1AKK         599 14
QSO:  1800 CW 2007-11-24 1801 RA3XCW/QRP    599 16     LY7A          599 15
QSO:  1800 CW 2007-11-24 1802 RA3XCW/QRP    599 16     UP0L          599 17
QSO:  1800 CW 2007-11-24 1803 RA3XCW/QRP    599 16     HA8IB         599 15
QSO:  1800 CW 2007-11-24 1804 RA3XCW/QRP    599 16     YL0A          599 15
QSO:  1800 CW 2007-11-24 1806 RA3XCW/QRP    599 16     SN3R          599 15
QSO:  1800 CW 2007-11-24 1807 RA3XCW/QRP    599 16     RL3A          599 16
QSO:  1800 CW 2007-11-24 1807 RA3XCW/QRP    599 16     OH2TA         599 15
QSO:  1800 CW 2007-11-24 1808 RA3XCW/QRP    599 16     YZ7A          599 15
QSO:  1800 CW 2007-11-24 1811 RA3XCW/QRP    599 16     OM0M          599 15
QSO:  1800 CW 2007-11-24 1813 RA3XCW/QRP    599 16     RW0A          599 18
QSO:  1800 CW 2007-11-24 1815 RA3XCW/QRP    599 16     RW3WWW        599 16
QSO:  1800 CW 2007-11-24 1816 RA3XCW/QRP    599 16     DL0CS         599 14
QSO:  1800 CW 2007-11-24 1818 RA3XCW/QRP    599 16     ES5QX         599 15
QSO:  1800 CW 2007-11-24 1819 RA3XCW/QRP    599 16     RT4M          599 16
QSO:  1800 CW 2007-11-24 1819 RA3XCW/QRP    599 16     SP3BQ         599 15
QSO:  1800 CW 2007-11-24 1821 RA3XCW/QRP    599 16     RU4PU         599 16
QSO:  1800 CW 2007-11-24 1828 RA3XCW/QRP    599 16     LZ9W          599 20
QSO:  1800 CW 2007-11-25 0305 RA3XCW/QRP    599 16     OL1M          599 15
QSO:  1800 CW 2007-11-25 0308 RA3XCW/QRP    599 16     UT0AZA        599 16
QSO:  3500 CW 2007-11-25 0323 RA3XCW/QRP    599 16     5B4AII        599 20
QSO:  7000 CW 2007-11-25 0338 RA3XCW/QRP    599 16     9A2U          599 15
QSO:  7000 CW 2007-11-25 0341 RA3XCW/QRP    599 16     LZ9W          599 20
QSO:  7000 CW 2007-11-25 0344 RA3XCW/QRP    599 16     T93J          599 15
QSO:  7000 CW 2007-11-25 0350 RA3XCW/QRP    599 16     YU1LA         599 15
QSO:  7000 CW 2007-11-25 0358 RA3XCW/QRP    599 16     4L0A          599 21
QSO:  7000 CW 2007-11-25 0408 RA3XCW/QRP    599 16     UA6GP         599 16
QSO:  7000 CW 2007-11-25 0410 RA3XCW/QRP    599 16     UA9JLL        599 17
QSO: 14000 CW 2007-11-25 0414 RA3XCW/QRP    599 16     RK3XWO        599 16
QSO: 14000 CW 2007-11-25 0416 RA3XCW/QRP    599 16     EX2A          599 17
QSO: 14000 CW 2007-11-25 0424 RA3XCW/QRP    599 16     RA0QD         599 19
QSO: 14000 CW 2007-11-25 0425 RA3XCW/QRP    599 16     UP4L          599 17
QSO: 14000 CW 2007-11-25 0440 RA3XCW/QRP    599 16     RO9O          599 18
QSO: 14000 CW 2007-11-25 0444 RA3XCW/QRP    599 16     5B4AII        599 20
QSO: 14000 CW 2007-11-25 0447 RA3XCW/QRP    599 16     J42WT         599 20
QSO: 14000 CW 2007-11-25 0515 RA3XCW/QRP    599 16     IC8R          599 15
QSO: 14000 CW 2007-11-25 0526 RA3XCW/QRP    599 16     T93M          599 15
QSO: 14000 CW 2007-11-25 0542 RA3XCW/QRP    599 16     C91KDJ        599 37
QSO: 14000 CW 2007-11-25 0601 RA3XCW/QRP    599 16     LX7I          599 14
QSO: 14000 CW 2007-11-25 0601 RA3XCW/QRP    599 16     YQ9W          599 20
QSO: 14000 CW 2007-11-25 0613 RA3XCW/QRP    599 16     C4Z           599 20
QSO: 14000 CW 2007-11-25 0625 RA3XCW/QRP    599 16     9H1XT         599 15
QSO: 14000 CW 2007-11-25 0630 RA3XCW/QRP    599 16     SV1DPI        599 20
QSO: 14000 CW 2007-11-25 0631 RA3XCW/QRP    599 16     LZ6A          599 20
QSO: 14000 CW 2007-11-25 0638 RA3XCW/QRP    599 16     TM2S          599 14
QSO: 21000 CW 2007-11-25 0713 RA3XCW/QRP    599 16     UP1G          599 17
QSO: 21000 CW 2007-11-25 0730 RA3XCW/QRP    599 16     9K2HN         599 21
QSO: 21000 CW 2007-11-25 0734 RA3XCW/QRP    599 16     RW0A          599 18
QSO: 21000 CW 2007-11-25 0735 RA3XCW/QRP    599 16     4X6O          599 20
QSO: 21000 CW 2007-11-25 0748 RA3XCW/QRP    599 16     P3F           599 20
QSO: 21000 CW 2007-11-25 0752 RA3XCW/QRP    599 16     9H3HH         599 15
