START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RUSSIAN-DX
CALLSIGN: RA3AN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RA3AN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RUSSIAN-DX RussianDXContest/2020.
QSO: 14002 CW 2020-03-21 1200 RA3AN         599 MA DM3MM         599 0001
QSO: 14006 CW 2020-03-21 1202 RA3AN         599 MA K3WW          599 0006
QSO: 14007 CW 2020-03-21 1202 RA3AN         599 MA NN1C          599 0004
QSO: 14009 CW 2020-03-21 1203 RA3AN         599 MA EF1A          599 0013
QSO: 14009 CW 2020-03-21 1203 RA3AN         599 MA KD4D          599 0011
QSO: 14010 CW 2020-03-21 1204 RA3AN         599 MA AA3B          599 0011
QSO: 14000 CW 2020-03-21 1205 RA3AN         599 MA M7DX          599 0018
QSO: 14013 CW 2020-03-21 1206 RA3AN         599 MA W3UA          599 0013
QSO: 14014 CW 2020-03-21 1206 RA3AN         599 MA M2G           599 0012
QSO: 14017 CW 2020-03-21 1208 RA3AN         599 MA N3RD          599 0017
QSO: 14017 CW 2020-03-21 1209 RA3AN         599 MA M7K           599 0021
QSO: 14018 CW 2020-03-21 1211 RA3AN         599 MA DA2X          599 0024
QSO: 14019 CW 2020-03-21 1211 RA3AN         599 MA LZ7G          599 0036
QSO: 14020 CW 2020-03-21 1212 RA3AN         599 MA N1LN          599 0016
QSO: 14021 CW 2020-03-21 1213 RA3AN         599 MA OM3RM         599 0022
QSO: 14022 CW 2020-03-21 1213 RA3AN         599 MA 9A7A          599 0025
QSO: 21035 CW 2020-03-21 1213 RA3AN         599 MA CR5E          599 0056
QSO: 21037 CW 2020-03-21 1214 RA3AN         599 MA DJ9AO         599 0009
QSO: 21037 CW 2020-03-21 1214 RA3AN         599 MA EF5R          599 0013
QSO: 21028 CW 2020-03-21 1215 RA3AN         599 MA EA6FO         599 0006
QSO: 14025 CW 2020-03-21 1216 RA3AN         599 MA OQ5M          599 0032
QSO: 14026 CW 2020-03-21 1216 RA3AN         599 MA CR5E          599 0066
QSO: 14028 CW 2020-03-21 1217 RA3AN         599 MA LZ1ND         599 0021
QSO: 21012 CW 2020-03-21 1217 RA3AN         599 MA ED1R          599 0026
QSO: 21006 CW 2020-03-21 1219 RA3AN         599 MA ED4T          599 0026
QSO: 14033 CW 2020-03-21 1221 RA3AN         599 MA DL3DW         599 0022
QSO: 14034 CW 2020-03-21 1222 RA3AN         599 MA PA0CMU        599 0008
QSO: 14035 CW 2020-03-21 1222 RA3AN         599 MA 4L8A          599 0059
QSO: 14036 CW 2020-03-21 1223 RA3AN         599 MA W1UE          599 0027
QSO: 21036 CW 2020-03-21 1225 RA3AN         599 MA EB5F          599 0021
QSO: 14045 CW 2020-03-21 1228 RA3AN         599 MA SN7Q          599 0053
QSO: 21040 CW 2020-03-21 1228 RA3AN         599 MA EB7KA         599 0015
QSO: 14047 CW 2020-03-21 1229 RA3AN         599 MA S52GP         599 0019
QSO: 14048 CW 2020-03-21 1230 RA3AN         599 MA PA3FQA        599 0003
QSO: 14049 CW 2020-03-21 1231 RA3AN         599 MA 9A1AA         599 0060
QSO: 14050 CW 2020-03-21 1231 RA3AN         599 MA DQ4Q          599 0021
QSO: 14051 CW 2020-03-21 1232 RA3AN         599 MA MU2K          599 0062
QSO: 14051 CW 2020-03-21 1232 RA3AN         599 MA VA2WA         599 0051
QSO: 21043 CW 2020-03-21 1232 RA3AN         599 MA DL7ON         599 0024
QSO: 14052 CW 2020-03-21 1234 RA3AN         599 MA GM3A          599 0026
QSO: 21032 CW 2020-03-21 1234 RA3AN         599 MA PY2NY         599 0054
QSO: 14053 CW 2020-03-21 1235 RA3AN         599 MA HB9ARF        599 0036
QSO: 14054 CW 2020-03-21 1236 RA3AN         599 MA HA3NU         599 0086
QSO: 21015 CW 2020-03-21 1236 RA3AN         599 MA CT1DRB        599 0010
QSO: 21019 CW 2020-03-21 1236 RA3AN         599 MA CR5O          599 0038
QSO: 14058 CW 2020-03-21 1239 RA3AN         599 MA VY2TT         599 0103
QSO: 21010 CW 2020-03-21 1241 RA3AN         599 MA EC5K          599 0011
QSO: 14062 CW 2020-03-21 1242 RA3AN         599 MA PA3EVY        599 0052
QSO: 14062 CW 2020-03-21 1242 RA3AN         599 MA PA4O          599 0057
QSO: 21019 CW 2020-03-21 1242 RA3AN         599 MA OH0X          599 0108
QSO: 21020 CW 2020-03-21 1243 RA3AN         599 MA EA1DAV        599 0016
QSO: 21022 CW 2020-03-21 1243 RA3AN         599 MA DL6FBL        599 0054
QSO: 14063 CW 2020-03-21 1244 RA3AN         599 MA K5ZD          599 0091
QSO: 14064 CW 2020-03-21 1244 RA3AN         599 MA OZ2TF         599 0061
QSO: 21028 CW 2020-03-21 1245 RA3AN         599 MA EB5A          599 0062
QSO: 21030 CW 2020-03-21 1245 RA3AN         599 MA EA5M          599 0059
QSO: 14064 CW 2020-03-21 1246 RA3AN         599 MA OE2LCM        599 0076
QSO: 14066 CW 2020-03-21 1248 RA3AN         599 MA MM3AWD        599 0055
QSO: 21031 CW 2020-03-21 1248 RA3AN         599 MA IQ2CJ         599 0124
QSO: 21041 CW 2020-03-21 1248 RA3AN         599 MA ED5N          599 0122
QSO: 14068 CW 2020-03-21 1250 RA3AN         599 MA VE9AA         599 0072
QSO: 14069 CW 2020-03-21 1250 RA3AN         599 MA IK2EGL        599 0040
QSO: 14073 CW 2020-03-21 1252 RA3AN         599 MA ZL1TM         599 0027
QSO: 14074 CW 2020-03-21 1253 RA3AN         599 MA HB7X          599 0040
QSO: 21002 CW 2020-03-21 1253 RA3AN         599 MA EA2W          599 0067
QSO: 14069 CW 2020-03-21 1255 RA3AN         599 MA HG6N          599 0145
QSO: 14068 CW 2020-03-21 1256 RA3AN         599 MA P3AA          599 0121
QSO: 14061 CW 2020-03-21 1258 RA3AN         599 MA OE2S          599 0032
QSO: 14061 CW 2020-03-21 1259 RA3AN         599 MA N4UU          599 0047
QSO: 14059 CW 2020-03-21 1301 RA3AN         599 MA N3RS          599 0116
QSO: 21011 CW 2020-03-21 1301 RA3AN         599 MA DL5SE         599 0035
QSO: 14058 CW 2020-03-21 1302 RA3AN         599 MA SV4FFL        599 0028
QSO: 21019 CW 2020-03-21 1303 RA3AN         599 MA OH2N          599 0018
QSO: 14057 CW 2020-03-21 1304 RA3AN         599 MA CO2RQ         599 0016
QSO: 21014 CW 2020-03-21 1305 RA3AN         599 MA SP3PWL        599 0009
QSO: 14055 CW 2020-03-21 1306 RA3AN         599 MA EA1AOQ        599 0069
QSO: 14055 CW 2020-03-21 1307 RA3AN         599 MA 9A0BB         599 0103
QSO: 14052 CW 2020-03-21 1308 RA3AN         599 MA W2GD          599 0112
QSO: 14051 CW 2020-03-21 1309 RA3AN         599 MA N2NT          599 0119
QSO: 14051 CW 2020-03-21 1310 RA3AN         599 MA ON4CT         599 0040
QSO: 14051 CW 2020-03-21 1311 RA3AN         599 MA EA4OR         599 0118
QSO: 21018 CW 2020-03-21 1312 RA3AN         599 MA F6IRA         599 0057
QSO: 21024 CW 2020-03-21 1312 RA3AN         599 MA OE3K          599 0135
QSO: 21027 CW 2020-03-21 1313 RA3AN         599 MA PS2T          599 0149
