START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: HR5/F2JD
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: HR5/F2JD
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2014.
QSO: 21000 PH 2014-03-29 2334 HR5/F2JD      59 K3ZO          59 1460
QSO: 21000 PH 2014-03-29 2335 HR5/F2JD      59 302 LU1QAH        59 150
QSO: 21220 PH 2014-03-29 2338 HR5/F2JD      59 004 NX6T          59 0677
QSO: 21232 PH 2014-03-29 2340 HR5/F2JD      59 005 TO4C          59 2074
QSO: 21239 PH 2014-03-29 2341 HR5/F2JD      59 0006 PX2F          59 1287
QSO: 21242 PH 2014-03-29 2341 HR5/F2JD      59 0007 K7ZS          59 0819
QSO: 21275 PH 2014-03-29 2345 HR5/F2JD      59 0009 VE7FO         59 0455
QSO: 21293 PH 2014-03-29 2346 HR5/F2JD      59 010 NQ4I          59 1141
QSO: 21310 PH 2014-03-29 2347 HR5/F2JD      59 11 PJ2T          59 1538
QSO: 21318 PH 2014-03-29 2348 HR5/F2JD      59 0012 N9TGR         59 0606
QSO: 21000 PH 2014-03-29 2349 HR5/F2JD      59 013 P43A          59 1688
QSO: 21386 PH 2014-03-29 2352 HR5/F2JD      59 16 P49Y          59 3099
QSO: 21393 PH 2014-03-29 2353 HR5/F2JD      59 0017 NE5D          59 1348
QSO: 21361 PH 2014-03-29 2354 HR5/F2JD      59 015 2 VC6R          59 1779
QSO: 21404 PH 2014-03-29 2354 HR5/F2JD      59 0018 LP1H          59 1534
QSO: 21415 PH 2014-03-29 2356 HR5/F2JD      59 020 VP2EC         59 0935
QSO: 21443 PH 2014-03-29 2357 HR5/F2JD      59 0021 KW7XX         59 1343
QSO: 21203 PH 2014-03-29 2358 HR5/F2JD      59 0022 WX3B          59 1203
QSO: 21221 PH 2014-03-30 0000 HR5/F2JD      59 023 PX2C          59 1420
QSO: 21251 PH 2014-03-30 0001 HR5/F2JD      59 0024 CE3CT         59 1212
QSO: 21164 PH 2014-03-30 0004 HR5/F2JD      59 025 D44AC         59 1600
QSO: 21000 PH 2014-03-30 0010 HR5/F2JD      59 032 WX0Z          59 113
QSO: 21243 PH 2014-03-30 0012 HR5/F2JD      59 037 W8MJ          59 1549
QSO: 21244 PH 2014-03-30 0012 HR5/F2JD      59 0034 KC2WQD        59 0077
QSO: 21244 PH 2014-03-30 0012 HR5/F2JD      59 0035 N3ZA          59 0170
QSO: 21243 PH 2014-03-30 0013 HR5/F2JD      59 038 W7UPF         59 0189
QSO: 21244 PH 2014-03-30 0013 HR5/F2JD      59 041 N2SQW         59 822
QSO: 21244 PH 2014-03-30 0013 HR5/F2JD      59 39 NV9L          59 2264
QSO: 21244 PH 2014-03-30 0013 HR5/F2JD      59 0040 WA5FWC        59 0627
QSO: 21244 PH 2014-03-30 0014 HR5/F2JD      59 42 KE5MMT        59 721
QSO: 21244 PH 2014-03-30 0015 HR5/F2JD      59 0043 HI8KW         59 0041
QSO: 21244 PH 2014-03-30 0015 HR5/F2JD      59 044 ND9Z          59 045
QSO: 21244 PH 2014-03-30 0016 HR5/F2JD      59 0045 K7OM          59 0039
QSO: 21244 PH 2014-03-30 0016 HR5/F2JD      59 0049 NE1C          59 0562
QSO: 21244 PH 2014-03-30 0016 HR5/F2JD      59 0048 VE6FN         59 0111
QSO: 21244 PH 2014-03-30 0018 HR5/F2JD      59 0053 N3RR          59 1358
QSO: 21244 PH 2014-03-30 0018 HR5/F2JD      59 052 RT0F          59 1625
QSO: 21244 PH 2014-03-30 0018 HR5/F2JD      59 51 WR3Z          59 2133
QSO: 21000 PH 2014-03-30 0019 HR5/F2JD      59 0055 N4NO          59 0601
QSO: 21244 PH 2014-03-30 0020 HR5/F2JD      59 056 II9P          59 1822
QSO: 21244 PH 2014-03-30 0021 HR5/F2JD      59 058 K6ND          59 1747
QSO: 21244 PH 2014-03-30 0021 HR5/F2JD      59 0059 NJ1F          59 0069
QSO: 21244 PH 2014-03-30 0022 HR5/F2JD      59 063 AK6W          59 1227
QSO: 21244 PH 2014-03-30 0022 HR5/F2JD      59 0062 N5DO          59 0516
QSO: 21244 PH 2014-03-30 0022 HR5/F2JD      59 0061 N9NA          59 0305
QSO: 21244 PH 2014-03-30 0022 HR5/F2JD      59 0060 W6TK          59 0922
QSO: 21000 PH 2014-03-30 0023 HR5/F2JD      59 0064 K1QS          59 0202
QSO: 21244 PH 2014-03-30 0025 HR5/F2JD      59 0068 K1FJ          59 0305
QSO: 21244 PH 2014-03-30 0025 HR5/F2JD      59 0071 N4WW          59 0199
QSO: 21244 PH 2014-03-30 0025 HR5/F2JD      59 70 NA8V          59 946
QSO: 21243 PH 2014-03-30 0026 HR5/F2JD      59 072 NN1N          59 1082
QSO: 21244 PH 2014-03-30 0028 HR5/F2JD      59 0078 K3IE          59 0587
QSO: 21244 PH 2014-03-30 0028 HR5/F2JD      59 0077 K5OA          59 0451
QSO: 21244 PH 2014-03-30 0028 HR5/F2JD      59 0076 NB8I          59 0124
QSO: 21000 PH 2014-03-30 0029 HR5/F2JD      59 079 KB9DFE        59 112
QSO: 21244 PH 2014-03-30 0030 HR5/F2JD      59 083 K9GY          59 100
QSO: 21244 PH 2014-03-30 0030 HR5/F2JD      59 85 N0EKM         59 154
QSO: 21244 PH 2014-03-30 0030 HR5/F2JD      59 0082 W1RJ          59 0351
QSO: 21244 PH 2014-03-30 0030 HR5/F2JD      59 0084 WD3B          59 0266
QSO: 21244 PH 2014-03-30 0031 HR5/F2JD      59 0086 W4AAZ         59 0104
QSO: 21000 PH 2014-03-30 0034 HR5/F2JD      59 0088 YV5OIE        59 0050
QSO:  7107 PH 2014-03-30 0401 HR5/F2JD      59 089 OL5T          59 0769
QSO:  7113 PH 2014-03-30 0405 HR5/F2JD      59 090 9A9R          59 0804
QSO:  7133 PH 2014-03-30 0406 HR5/F2JD      59 0091 WP2Z          59 0758
QSO:  7141 PH 2014-03-30 0407 HR5/F2JD      59 092 DR5N          59 0549
QSO:  7154 PH 2014-03-30 0408 HR5/F2JD      59 0093 II2E          59 2419
QSO:  7162 PH 2014-03-30 0410 HR5/F2JD      59 094 5E5E          59 4492
QSO:  7000 PH 2014-03-30 0414 HR5/F2JD      59 95 OT5A          59 1389
QSO:  7194 PH 2014-03-30 0416 HR5/F2JD      59 0096 S52ZW         59 0582
QSO:  7000 PH 2014-03-30 0417 HR5/F2JD      59 097 WF4W          59 1440
QSO:  7217 PH 2014-03-30 0418 HR5/F2JD      59 98 AG1RL         59 1092
QSO:  7000 PH 2014-03-30 0419 HR5/F2JD      59 0099 YY5DOG        59 0372
QSO:  7229 PH 2014-03-30 0419 HR5/F2JD      59 100 TO4C          59 2447
QSO:  7245 PH 2014-03-30 0421 HR5/F2JD      59 0101 KU4V          59 0572
