START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: VK3SIM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: VK3SIM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2014.
QSO: 28490 PH 2014-03-29 0306 VK3SIM        59 KZ5MM         59 389
QSO: 28520 PH 2014-03-29 0307 VK3SIM        59 0002 ZM1A          59 0413
QSO: 28565 PH 2014-03-29 0314 VK3SIM        59 0004 KH6RS         59 0140
QSO: 28497 PH 2014-03-29 0317 VK3SIM        59 0005 KH7XX         59 0512
QSO: 28474 PH 2014-03-29 0320 VK3SIM        59 0006 NH6P          59 0545
QSO: 28408 PH 2014-03-29 0325 VK3SIM        59 0008 K7BVT         59 0066
QSO: 21384 PH 2014-03-29 0327 VK3SIM        59 0009 WO4O          59 0043
QSO: 21380 PH 2014-03-29 0328 VK3SIM        59 0010 NE5D          59 0354
QSO: 28498 PH 2014-03-29 0416 VK3SIM        59 013 YV4NN         59 0395
QSO: 28512 PH 2014-03-29 0421 VK3SIM        59 0014 YE1NZ         59 0034
QSO: 28535 PH 2014-03-29 0424 VK3SIM        59 015 T32AZ         59 301
QSO: 28546 PH 2014-03-29 0425 VK3SIM        59 0016 T32TM         59 0142
QSO: 28600 PH 2014-03-29 0428 VK3SIM        59 0017 BY5CD         59 0110
QSO: 21000 PH 2014-03-29 0516 VK3SIM        59 018 5Z4T          59 0067
QSO: 28454 PH 2014-03-29 0519 VK3SIM        59 019 WL7E          59 0547
QSO: 28445 PH 2014-03-29 0520 VK3SIM        59 0020 9M8WAT        59 0029
QSO: 21375 PH 2014-03-29 0526 VK3SIM        59 0021 9M2CNC        59 0090
QSO: 21150 PH 2014-03-29 1144 VK3SIM        59 22 UF4M          59 56
QSO: 21180 PH 2014-03-29 1147 VK3SIM        59 024 RK0UT         59 450
QSO: 21190 PH 2014-03-29 1153 VK3SIM        59 0025 8N3HKC/3      59 0431
QSO: 21000 PH 2014-03-29 1155 VK3SIM        59 0026 TM7F          59 0651
QSO: 21221 PH 2014-03-29 1157 VK3SIM        59 0027 IZ3SQW        59 0258
QSO: 21230 PH 2014-03-29 1158 VK3SIM        59 028 B7P           59 0687
QSO: 21233 PH 2014-03-29 1200 VK3SIM        59 0029 LY2W          59 0284
QSO: 21239 PH 2014-03-29 1202 VK3SIM        59 0030 OH6RX         59 1142
QSO: 21245 PH 2014-03-29 1204 VK3SIM        59 31 LY7Z          59 896
QSO: 21248 PH 2014-03-29 1205 VK3SIM        59 032 OL4A          59 0546
QSO: 21260 PH 2014-03-29 1207 VK3SIM        59 033 CQ7A          59 0684
QSO: 21275 PH 2014-03-29 1217 VK3SIM        59 034 UP2L          59 1198
QSO: 21281 PH 2014-03-29 1218 VK3SIM        59 035 SK3W          59 0331
QSO: 21000 PH 2014-03-29 1219 VK3SIM        59 036 CR6T          59 0964
QSO: 21316 PH 2014-03-29 1225 VK3SIM        59 0037 BY5CD         59 0569
QSO: 21334 PH 2014-03-29 1228 VK3SIM        59 038 ES9C          59 1188
QSO: 21340 PH 2014-03-29 1230 VK3SIM        59 039 HB2T          59 0195
QSO: 21341 PH 2014-03-29 1231 VK3SIM        59 0040 8S0C          59 0231
QSO: 21350 PH 2014-03-29 1232 VK3SIM        59 0041 MS0OXE        59 0983
QSO: 21355 PH 2014-03-29 1234 VK3SIM        59 042 UW1M          59 1308
QSO: 21360 PH 2014-03-29 1235 VK3SIM        59 043 SO9Q          59 0448
QSO: 21368 PH 2014-03-29 1237 VK3SIM        59 044 YU5A          59 0667
QSO: 21373 PH 2014-03-29 1238 VK3SIM        59 045 SO2O          59 0670
QSO: 21391 PH 2014-03-29 1241 VK3SIM        59 047 TM6M          59 1658
QSO: 21404 PH 2014-03-29 1243 VK3SIM        59 048 DK6XZ         59 0044
QSO: 21408 PH 2014-03-29 1245 VK3SIM        59 49 UA5B          59 1027
QSO: 21000 PH 2014-03-29 1247 VK3SIM        59 050 JO3DDD        59 525
QSO: 21432 PH 2014-03-29 1248 VK3SIM        59 051 OH2PM         59 0547
QSO: 14282 PH 2014-03-29 1250 VK3SIM        59 052 ES9C          59 1560
QSO: 14000 PH 2014-03-29 1252 VK3SIM        59 0053 YB8RW         59 0012
QSO: 14183 PH 2014-03-29 1255 VK3SIM        59 0054 UD1A          59 0434
QSO: 14184 PH 2014-03-29 1257 VK3SIM        59 0055 BG4FRZ        59 0275
QSO: 14195 PH 2014-03-29 1300 VK3SIM        59 56 AK1W          59 585
QSO: 14203 PH 2014-03-29 1303 VK3SIM        59 0057 BP0P          59 0037
QSO: 14000 PH 2014-03-29 1309 VK3SIM        59 058 KH2KY         59 303
QSO: 14217 PH 2014-03-29 1311 VK3SIM        59 059 RT0F          59 0204
QSO: 14226 PH 2014-03-29 1313 VK3SIM        59 060 DR1A          59 1778
QSO: 14240 PH 2014-03-29 1315 VK3SIM        59 062 UP2L          59 0594
QSO: 14000 PH 2014-03-29 1318 VK3SIM        59 64 OT5A          59 997
QSO: 14000 PH 2014-03-29 1320 VK3SIM        59 0063 YE2C          59 0217
QSO: 14265 PH 2014-03-29 1320 VK3SIM        59 0065 BH1CXR        59 0299
QSO: 14000 PH 2014-03-29 1324 VK3SIM        59 066 4H1T          59 692
QSO: 14000 PH 2014-03-29 1326 VK3SIM        59 67 JH4UYB        59 1256
QSO: 14296 PH 2014-03-29 1329 VK3SIM        59 68 N0MA          59 302
QSO: 14301 PH 2014-03-29 1333 VK3SIM        59 069 KL7RA         59 0677
QSO: 14171 PH 2014-03-29 1339 VK3SIM        59 071 AK6W          59 0313
QSO:  7184 PH 2014-03-29 1345 VK3SIM        59 72 K6TU          59 525
QSO:  7186 PH 2014-03-29 1346 VK3SIM        59 073 WC6H          59 0520
QSO:  7135 PH 2014-03-29 1351 VK3SIM        59 075 RT0F          59 0276
QSO:  7130 PH 2014-03-29 1353 VK3SIM        59 74 2 VC6R          59 903
QSO:  7144 PH 2014-03-29 1353 VK3SIM        59 0076 KW7XX         59 0600
QSO:  7137 PH 2014-03-29 1356 VK3SIM        59 0077 NN6CH         59 0178
QSO:  7154 PH 2014-03-29 1359 VK3SIM        59 0078 K7ZS          59 0528
QSO:  7000 PH 2014-03-29 1408 VK3SIM        59 079 KH2KY         59 189
QSO:  7174 PH 2014-03-29 1410 VK3SIM        59 0080 W6TK          59 0505
QSO:  7179 PH 2014-03-29 1413 VK3SIM        59 81 VE7GL         59 1078
QSO: 28499 PH 2014-03-30 0047 VK3SIM        59 083 ZF1A          59 1884
QSO: 21000 PH 2014-03-30 0307 VK3SIM        59 0083 NP2P          59 2532
QSO: 21361 PH 2014-03-30 0313 VK3SIM        59 84 2 VC6R          59 2256
QSO: 21000 PH 2014-03-30 0314 VK3SIM        59 0085 NH6WZ         59 0465
QSO: 21225 PH 2014-03-30 0315 VK3SIM        59 086 AK6W          59 1419
QSO: 21403 PH 2014-03-30 0319 VK3SIM        59 0087 KT6V          59 0527
QSO: 21293 PH 2014-03-30 0749 VK3SIM        59 349 5E5E          59 4883
QSO: 21296 PH 2014-03-30 0751 VK3SIM        59 090 R22ALS        59 1712
QSO: 21305 PH 2014-03-30 0752 VK3SIM        59 0091 E7A           59 4056
QSO:  7187 PH 2014-03-30 0800 VK3SIM        59 0093 OA4/XQ3SA     59 0155
QSO:  7196 PH 2014-03-30 0806 VK3SIM        59 094 NH7A          59 2353
QSO:  7193 PH 2014-03-30 0807 VK3SIM        59 095 AK6W          59 0878
QSO: 28400 PH 2014-03-30 0847 VK3SIM        59 096 D4C           59 2880
QSO: 28000 PH 2014-03-30 0907 VK3SIM        59 0097 CR2T          59 1080
QSO: 28570 PH 2014-03-30 0930 VK3SIM        59 098 BY4TC         59 1068
QSO: 28524 PH 2014-03-30 0933 VK3SIM        59 0100 8S0C          59 1014
QSO: 28507 PH 2014-03-30 0935 VK3SIM        59 0101 R7AB          59 1300
QSO: 28506 PH 2014-03-30 0937 VK3SIM        59 0103 SN2M          59 1348
QSO: 28486 PH 2014-03-30 0938 VK3SIM        59 103 RJ4P          59 3149
QSO: 28483 PH 2014-03-30 0939 VK3SIM        59 104 SO9Q          59 0806
QSO: 28481 PH 2014-03-30 0940 VK3SIM        59 0105 UZ2M          59 4836
QSO: 28465 PH 2014-03-30 0941 VK3SIM        59 106 UA2F          59 1158
QSO: 28456 PH 2014-03-30 0943 VK3SIM        59 108 ES9C          59 1652
QSO: 28448 PH 2014-03-30 0945 VK3SIM        59 0109 RW9JZ         59 0644
QSO: 28000 PH 2014-03-30 0946 VK3SIM        59 110 SK6AW         59 135
QSO: 28000 PH 2014-03-30 0948 VK3SIM        59 111 UW5ZM         59 952
QSO: 14196 PH 2014-03-30 1015 VK3SIM        59 113 NQ4I          59 1677
QSO: 14156 PH 2014-03-30 1017 VK3SIM        59 0114 WW4LL         59 1052
QSO: 14157 PH 2014-03-30 1019 VK3SIM        59 115 KC1XX         59 1140
QSO: 14204 PH 2014-03-30 1027 VK3SIM        59 116 W8PR          59 1479
QSO: 14215 PH 2014-03-30 1029 VK3SIM        59 0117 YB0MWM        59 0376
END-OF-LOG:
