START-OF-LOG: 3.0
CATEGORY: Fixed
CONTEST: FD CW
CALLSIGN: EA2CAR
LOCATION: Vitoria
CLAIMED-SCORE: 1344
CREATED-BY: RUMped Ver. 3.2.13  by Tom, DL2RUM, modified by DXHF upload.
QSO: 14000 CW 2018-06-02 1515 EA2CAR        599 001    DK0TU/P       599 006    0
QSO: 14000 CW 2018-06-02 1518 EA2CAR        599 002    UA4S          599 030    0
QSO: 14000 CW 2018-06-02 1522 EA2CAR        599 003    DM5A/P        599 026    0
QSO: 21000 CW 2018-06-02 1524 EA2CAR        599 004    9A1AA         599 021    0
QSO: 21000 CW 2018-06-02 1527 EA2CAR        599 005    IT9CKA        599 019    0
QSO: 21000 CW 2018-06-02 1528 EA2CAR        599 006    DR3X/P        599 017    0
QSO: 21000 CW 2018-06-02 1531 EA2CAR        599 007    LZ7R          599 018    0
QSO: 28000 CW 2018-06-02 1733 EA2CAR        599 008    S50BCC/P      599 221    0
QSO: 21000 CW 2018-06-02 1755 EA2CAR        599 009    G3WRR/P       599 088    0
QSO: 21000 CW 2018-06-02 1757 EA2CAR        599 010    S53M          599 025    0
QSO: 21000 CW 2018-06-02 1759 EA2CAR        599 011    DL0CS/P       599 182    0
QSO: 21000 CW 2018-06-02 1800 EA2CAR        599 012    P3N           599 204    0
QSO: 21000 CW 2018-06-02 1803 EA2CAR        599 013    GM2MP/P       599 271    0
QSO:  7000 CW 2018-06-02 2255 EA2CAR        599 014    DL0EF/P       599 189    0
QSO:  7000 CW 2018-06-02 2257 EA2CAR        599 015    S50BCC/P      599 662    0
QSO:  7000 CW 2018-06-02 2258 EA2CAR        599 016    EA5IHK        599 160    0
QSO:  3500 CW 2018-06-02 2300 EA2CAR        599 017    DK0MM/P       599 458    0
QSO:  3500 CW 2018-06-02 2302 EA2CAR        599 018    PI4VPO/P      599 442    0
QSO:  3500 CW 2018-06-02 2303 EA2CAR        599 019    G5O/P         599 735    0
QSO:  3500 CW 2018-06-02 2304 EA2CAR        599 020    DM5A/P        599 409    0
QSO:  3500 CW 2018-06-02 2308 EA2CAR        599 021    DL0LB/P       599 160    0
QSO:  3500 CW 2018-06-02 2309 EA2CAR        599 022    DL0KWH/P      599 407    0
QSO:  3500 CW 2018-06-02 2312 EA2CAR        599 023    DK0TU/P       599 491    0
QSO:  3500 CW 2018-06-02 2313 EA2CAR        599 024    DL0HN/P       599 496    0
QSO:  3500 CW 2018-06-02 2316 EA2CAR        599 025    G3WRR/P       599 309    0
QSO:  3500 CW 2018-06-02 2317 EA2CAR        599 026    DF0VK/P       599 265    0
QSO: 28000 CW 2018-06-03 0825 EA2CAR        599 027    IK2SND        599 113    0
QSO: 28000 CW 2018-06-03 0826 EA2CAR        599 028    DL0MZ/P       599 731    0
QSO: 28000 CW 2018-06-03 0827 EA2CAR        599 029    GW4J/P        599 829    0
QSO: 28000 CW 2018-06-03 0829 EA2CAR        599 030    9A5Y          599 506    0
QSO: 28000 CW 2018-06-03 0831 EA2CAR        599 031    OR5N/P        599 851    0
QSO: 28000 CW 2018-06-03 0834 EA2CAR        599 032    OK1OPT/P      599 223    0
QSO: 28000 CW 2018-06-03 0836 EA2CAR        599 033    RT5G          599 427    0
QSO: 28000 CW 2018-06-03 0837 EA2CAR        599 034    DL1HBT/P      599 799    0
QSO: 28000 CW 2018-06-03 0842 EA2CAR        599 035    4Z4DX         599 168    0
END-OF-LOG:
