START-OF-LOG: 3.0
CALLSIGN: DL2FQ
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 387720
NAME: Tsvetomir Tishevishki
LOCATION: DX
OPERATORS: LZ2FQ
CLUB:
CERTIFICATE: NO
CREATED-BY: UcxLog 7.84
SOAPBOX: Had a lot of fun with my all band wire anntena.
QSO:  7000 CW 2018-05-26 0542 DL2FQ         599 001    NN5J          599 798    0
QSO:  7000 CW 2018-05-26 0544 DL2FQ         599 002    9A79A         599 761    0
QSO:  7000 CW 2018-05-26 0547 DL2FQ         599 003    EF2A          599 650    0
QSO:  7000 CW 2018-05-26 0550 DL2FQ         599 004    3Z1K          599 356    0
QSO:  7000 CW 2018-05-26 0553 DL2FQ         599 005    G5W           599 530    0
QSO:  7000 CW 2018-05-26 0555 DL2FQ         599 006    LY2J          599 265    0
QSO:  7000 CW 2018-05-26 0558 DL2FQ         599 007    SN3A          599 619    0
QSO:  7000 CW 2018-05-26 0558 DL2FQ         599 008    ED3O          599 252    0
QSO:  7000 CW 2018-05-26 0559 DL2FQ         599 009    IK3UNA        599 262    0
QSO:  7000 CW 2018-05-26 0600 DL2FQ         599 010    YU1KT         599 007    0
QSO:  7000 CW 2018-05-26 0601 DL2FQ         599 011    IO2X          599 081    0
QSO:  7000 CW 2018-05-26 0603 DL2FQ         599 012    LZ9W          599 557    0
QSO:  7000 CW 2018-05-26 0603 DL2FQ         599 013    SJ2W          599 533    0
QSO:  7000 CW 2018-05-26 0604 DL2FQ         599 014    S58MU         599 162    0
QSO:  7000 CW 2018-05-26 0605 DL2FQ         599 015    OL5J          599 284    0
QSO:  7000 CW 2018-05-26 0606 DL2FQ         599 016    OK2HBR        599 189    0
QSO:  3500 CW 2018-05-26 0607 DL2FQ         599 017    OK7W          599 352    0
QSO: 14000 CW 2018-05-26 0611 DL2FQ         599 018    KH7B          599 721    0
QSO: 14000 CW 2018-05-26 0612 DL2FQ         599 019    LY5R          599 420    0
QSO: 14000 CW 2018-05-26 0613 DL2FQ         599 020    UZ5DM         599 074    0
QSO: 14000 CW 2018-05-26 0614 DL2FQ         599 021    RM7C          599 322    0
QSO: 21000 CW 2018-05-26 0619 DL2FQ         599 022    OH5Z          599 055    0
QSO: 21000 CW 2018-05-26 0620 DL2FQ         599 023    RM5A          599 086    0
QSO: 28000 CW 2018-05-26 0621 DL2FQ         599 024    YT5A          599 018    0
QSO: 28000 CW 2018-05-26 0622 DL2FQ         599 025    LZ2JA         599 010    0
QSO: 28000 CW 2018-05-26 0624 DL2FQ         599 026    LZ1NG         599 21     0
QSO: 28000 CW 2018-05-26 0630 DL2FQ         599 027    LZ9W          599 030    0
QSO: 21000 CW 2018-05-26 0632 DL2FQ         599 028    YT9W          599 061    0
QSO: 21000 CW 2018-05-26 0633 DL2FQ         599 029    LZ9W          599 074    0
QSO: 21000 CW 2018-05-26 0634 DL2FQ         599 030    9A3W          599 106    0
QSO:  7000 CW 2018-05-26 0635 DL2FQ         599 031    IZ1GAR        599 459    0
QSO:  7000 CW 2018-05-26 0636 DL2FQ         599 032    OL9R          599 418    0
QSO:  7000 CW 2018-05-26 0637 DL2FQ         599 033    S51F          599 515    0
QSO:  7000 CW 2018-05-26 0637 DL2FQ         599 034    OM7LM         599 331    0
QSO:  7000 CW 2018-05-26 0640 DL2FQ         599 035    OM2VL         599 574    0
QSO:  7000 CW 2018-05-26 0642 DL2FQ         599 036    OM7M          599 647    0
QSO:  7000 CW 2018-05-26 0642 DL2FQ         599 037    YU0A          599 398    0
QSO:  7000 CW 2018-05-26 0643 DL2FQ         599 038    LY7Z          599 558    0
QSO:  7000 CW 2018-05-26 0643 DL2FQ         599 039    S56X          599 514    0
QSO:  7000 CW 2018-05-26 0645 DL2FQ         599 040    RK3AW         599 202    0
QSO:  7000 CW 2018-05-26 0646 DL2FQ         599 041    HG5D          599 533    0
QSO:  7000 CW 2018-05-26 0646 DL2FQ         599 042    M6T           599 579    0
QSO:  7000 CW 2018-05-26 0648 DL2FQ         599 043    SP9BNM        599 180    0
QSO:  7000 CW 2018-05-26 0649 DL2FQ         599 044    SP2LNW        599 432    0
QSO:  7000 CW 2018-05-26 0650 DL2FQ         599 045    LY2XW         599 488    0
QSO:  7000 CW 2018-05-26 0650 DL2FQ         599 046    LZ1EV         599 508    0
QSO:  7000 CW 2018-05-26 0651 DL2FQ         599 047    LZ3ZZ         599 570    0
QSO:  7000 CW 2018-05-26 0652 DL2FQ         599 048    EC2DX         599 635    0
QSO:  7000 CW 2018-05-26 0653 DL2FQ         599 049    ES5RR         599 885    0
QSO:  7000 CW 2018-05-26 0654 DL2FQ         599 050    S57Q          599 382    0
QSO:  7000 CW 2018-05-26 0655 DL2FQ         599 051    OK2MBP        599 343    0
QSO:  7000 CW 2018-05-26 0656 DL2FQ         599 052    DM80FOC       599 195    0
QSO:  7000 CW 2018-05-26 0656 DL2FQ         599 053    LA2AB         599 484    0
QSO:  7000 CW 2018-05-26 0657 DL2FQ         599 054    HA0LP         599 142    0
QSO: 28000 CW 2018-05-26 0659 DL2FQ         599 055    IT9VDQ        599 075    0
QSO: 21000 CW 2018-05-26 0701 DL2FQ         599 056    IB9T          599 224    0
QSO: 21000 CW 2018-05-26 0703 DL2FQ         599 057    CR3DX         599 818    0
QSO: 14000 CW 2018-05-26 0708 DL2FQ         599 058    SN9N          599 339    0
QSO: 14000 CW 2018-05-26 0709 DL2FQ         599 059    OH0R          599 486    0
QSO: 14000 CW 2018-05-26 0711 DL2FQ         599 060    G5W           599 197    0
QSO: 14000 CW 2018-05-26 0712 DL2FQ         599 061    SJ0X          599 207    0
QSO: 14000 CW 2018-05-26 0712 DL2FQ         599 062    IO2X          599 204    0
QSO: 14000 CW 2018-05-26 0714 DL2FQ         599 063    9H6A          599 1002   0
QSO: 14000 CW 2018-05-26 0715 DL2FQ         599 064    TM6M          599 521    0
QSO: 14000 CW 2018-05-26 0715 DL2FQ         599 065    EF8R          599 684    0
QSO: 14000 CW 2018-05-26 0716 DL2FQ         599 066    9A5D          599 391    0
QSO: 14000 CW 2018-05-26 0716 DL2FQ         599 067    YL2BJ         599 192    0
QSO: 14000 CW 2018-05-26 0717 DL2FQ         599 068    II0FOC        599 102    0
QSO: 14000 CW 2018-05-26 0718 DL2FQ         599 069    LZ9W          599 522    0
QSO: 14000 CW 2018-05-26 0718 DL2FQ         599 070    E70T          599 470    0
QSO: 14000 CW 2018-05-26 0720 DL2FQ         599 071    F5VMN         599 066    0
QSO: 14000 CW 2018-05-26 0721 DL2FQ         599 072    RC1W          599 491    0
QSO: 14000 CW 2018-05-26 0722 DL2FQ         599 073    UF1F          599 1061   0
QSO: 14000 CW 2018-05-26 0723 DL2FQ         599 074    EU6AF         599 495    0
QSO: 14000 CW 2018-05-26 0727 DL2FQ         599 075    4L0A          599 489    0
