START-OF-LOG: 3.0
CALLSIGN: F4GOU
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: TOM
LOCATION: DX
OPERATORS: 
CLUB: UNION FRANCAISE DES TELEGRAPHISTES
CERTIFICATE: NO
CREATED-BY:
SOAPBOX: Use Yaesu FT817 5w with Ant Vertical/Quad NVIS 40m
QSO: 14047 CW 2018-05-27 0901 F4GOU           599 050    YL2BJ         599 807
QSO: 14036 CW 2018-05-27 0857 F4GOU           599 049    OG7A          599 1981
QSO: 14001 CW 2018-05-27 0848 F4GOU           599 048    CN2DD         599 2069
QSO: 14023 CW 2018-05-27 0818 F4GOU           599 047    S51Y90        599 1390
QSO: 14028 CW 2018-05-27 0808 F4GOU           599 046    EA4URE        599 394
QSO: 14042 CW 2018-05-27 0804 F4GOU           599 045    OY1CT         599 621
QSO: 14048 CW 2018-05-27 0758 F4GOU           599 044    ES3VL         599 140
QSO: 14065 CW 2018-05-27 0745 F4GOU           599 043    UR6IM         599 087
QSO: 14009 CW 2018-05-26 1956 F4GOU           599 042    YL5X          599 467
QSO: 14010 CW 2018-05-26 1954 F4GOU           599 041    OM0R          599 694
QSO: 14042 CW 2018-05-26 1939 F4GOU           599 040    JA3YBK        599 1051
QSO: 14052 CW 2018-05-26 1922 F4GOU           599 039    HA3DX         599 861
QSO: 14060 CW 2018-05-26 1905 F4GOU           599 038    HG3R          599 1148
QSO: 14064 CW 2018-05-26 1859 F4GOU           599 037    LX7I          599 1110
QSO: 21041 CW 2018-05-26 1854 F4GOU           599 036    RD4F          599 226
QSO: 21028 CW 2018-05-26 1851 F4GOU           599 035    IB9T          599 1139
QSO: 21008 CW 2018-05-26 1846 F4GOU           599 034    E77C          599 537
QSO: 21011 CW 2018-05-26 1840 F4GOU           599 033    RG7M          599 660
QSO: 21008 CW 2018-05-26 1712 F4GOU           599 032    YT5A          599 542
QSO: 21021 CW 2018-05-26 1703 F4GOU           599 031    PA7LV         599 183
QSO: 21011 CW 2018-05-26 1645 F4GOU           599 030    YU1UN         599 350
QSO: 21031 CW 2018-05-26 1635 F4GOU           599 029    LY4A          599 330
QSO: 21034 CW 2018-05-26 1628 F4GOU           599 028    CN3A          599 879
QSO: 21038 CW 2018-05-26 1621 F4GOU           599 027    IZ8EPX        599 643
QSO: 21049 CW 2018-05-26 1612 F4GOU           599 026    GM7V          599 218
QSO: 14067 CW 2018-05-26 1608 F4GOU           599 025    DK2OY         599 700
QSO: 14065 CW 2018-05-26 1344 F4GOU           599 024    RN85KN        599 516
QSO: 14060 CW 2018-05-26 1307 F4GOU           599 023    YL9T          599 370
QSO: 14017 CW 2018-05-26 1251 F4GOU           599 022    OM8DD         599 819
QSO: 14009 CW 2018-05-26 1135 F4GOU           599 021    HG7T          599 699
QSO: 14005 CW 2018-05-26 1130 F4GOU           599 020    SN8N          599 662
QSO: 14002 CW 2018-05-26 1128 F4GOU           599 019    HG1A          599 532
QSO: 14069 CW 2018-05-26 1120 F4GOU           599 018    RM5A          599 683
QSO: 14058 CW 2018-05-26 1113 F4GOU           599 017    LY5E          599 1038
QSO: 14057 CW 2018-05-26 1111 F4GOU           599 016    LY2XW         599 781
QSO: 14049 CW 2018-05-26 1107 F4GOU           599 015    SN7Q          599 763
QSO: 14021 CW 2018-05-26 1103 F4GOU           599 014    HG6N          599 1176
QSO: 14021 CW 2018-05-26 1059 F4GOU           599 013    HG4F          599 474
QSO: 14008 CW 2018-05-26 0854 F4GOU           599 012    SP3A          599 207
QSO:  7013 CW 2018-05-26 0834 F4GOU           599 011    EC5CR         599 309
QSO:  7015 CW 2018-05-26 0721 F4GOU           599 010    OM7M          599 701
QSO:  7027 CW 2018-05-26 0715 F4GOU           599 009    E77W          599 698
QSO:  7045 CW 2018-05-26 0711 F4GOU           599 008    LZ9W          599 627
QSO:  7032 CW 2018-05-26 0705 F4GOU           599 007    9A1A          599 544
QSO:  7001 CW 2018-05-26 0657 F4GOU           599 006    IZ1GAR        599 483
QSO:  7004 CW 2018-05-26 0655 F4GOU           599 005    EF2A          599 704
QSO:  7030 CW 2018-05-26 0650 F4GOU           599 004    PA3DBS        599 04
QSO:  7035 CW 2018-05-26 0648 F4GOU           599 003    ED3O          599 329
QSO:  7039 CW 2018-05-26 0645 F4GOU           599 002    S57Q          599 376
QSO:  7042 CW 2018-05-26 0640 F4GOU           599 001    G5W           599 584
END-OF-LOG:
