START-OF-LOG: 3.0
CALLSIGN: ZL3PAH
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Phil Holliday
LOCATION: DX
OPERATORS: ZL3PAH
CLUB: Quake Contesters
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7177.0
SOAPBOX: poor condx, spent a lot of time chasing FOC stations
QSO: 21029 CW 2018-05-26 0054 ZL3PAH        599 0001   KU6W          599 0043
QSO: 21034 CW 2018-05-26 0055 ZL3PAH        599 0002   KU6F          599 0074
QSO: 21025 CW 2018-05-26 0057 ZL3PAH        599 0003   AA3B          599 0161
QSO: 21022 CW 2018-05-26 0101 ZL3PAH        599 0004   WN1GIV        599 0091
QSO: 21040 CW 2018-05-26 0102 ZL3PAH        599 0005   NH6N          599 0017
QSO: 21005 CW 2018-05-26 0104 ZL3PAH        599 0006   WH6R          599 0063
QSO: 21002 CW 2018-05-26 0104 ZL3PAH        599 0007   NR4M          599 0081
QSO: 21021 CW 2018-05-26 0105 ZL3PAH        599 0008   KC7V          599 0073
QSO: 21027 CW 2018-05-26 0107 ZL3PAH        599 0009   K4OAQ         599 0084
QSO: 21028 CW 2018-05-26 0108 ZL3PAH        599 0010   KY0W          599 0040
QSO: 21032 CW 2018-05-26 0110 ZL3PAH        599 0011   KH6LC         599 0091
QSO: 14044 CW 2018-05-26 0120 ZL3PAH        599 0012   WF1OC         599 0047
QSO: 14039 CW 2018-05-26 0121 ZL3PAH        599 0013   KH6LC         599 0153
QSO: 14052 CW 2018-05-26 0123 ZL3PAH        599 0014   KJ5Y          599 0119
QSO: 14038 CW 2018-05-26 0224 ZL3PAH        599 0015   WH7AA         599 0296
QSO: 14037 CW 2018-05-26 0226 ZL3PAH        599 0016   KU8E          599 0109
QSO: 14024 CW 2018-05-26 0227 ZL3PAH        599 0017   K6NR          599 0170
QSO: 14015 CW 2018-05-26 0229 ZL3PAH        599 0018   K6AR          599 0229
QSO:  7031 CW 2018-05-26 0531 ZL3PAH        599 0019   KM4FOC        599 0245
QSO:  7028 CW 2018-05-26 0532 ZL3PAH        599 0020   WF6C          599 0091
