START-OF-LOG: 3.0
CALLSIGN: G3WRR
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 42840
NAME: Q.G.Collier
LOCATION: DX
OPERATORS: G3WRR
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7170.0
SOAPBOX: Bands noisy & conditions poor - but still enjoyed it!
QSO: 21011 CW 2018-05-26 1103 G3WRR         599 0001   CT1DRB        599 0121
QSO: 21005 CW 2018-05-26 1105 G3WRR         599 0002   CN3A          599 0324
QSO: 21026 CW 2018-05-26 1111 G3WRR         599 0003   9A4W          599 0425
QSO: 21028 CW 2018-05-26 1112 G3WRR         599 0004   OM7M          599 0318
QSO: 21039 CW 2018-05-26 1113 G3WRR         599 0005   EF5T          599 0074
QSO: 21036 CW 2018-05-26 1113 G3WRR         599 0006   YU1UN         599 0249
QSO: 21035 CW 2018-05-26 1116 G3WRR         599 0007   EF5Y          599 0792
QSO: 21032 CW 2018-05-26 1117 G3WRR         599 0008   CR3W          599 0154
QSO: 21030 CW 2018-05-26 1121 G3WRR         599 0009   YT5A          599 0314
QSO: 21015 CW 2018-05-26 1122 G3WRR         599 0010   HG1S          599 1050
QSO: 21007 CW 2018-05-26 1122 G3WRR         599 0011   9A1A          599 0478
QSO: 21028 CW 2018-05-26 1124 G3WRR         599 0012   IZ8EPX        599 0386
QSO: 21021 CW 2018-05-26 1124 G3WRR         599 0013   CR3DX         599 1338
QSO: 14004 CW 2018-05-26 1127 G3WRR         599 0014   OH0R          599 1048
QSO: 14009 CW 2018-05-26 1129 G3WRR         599 0015   IO4T          599 0756
QSO: 14012 CW 2018-05-26 1131 G3WRR         599 0016   LZ5R          599 1565
QSO: 14014 CW 2018-05-26 1132 G3WRR         599 0017   S50R          599 0570
QSO: 14002 CW 2018-05-26 1133 G3WRR         599 0018   HG1A          599 0534
QSO: 14002 CW 2018-05-26 1135 G3WRR         599 0019   OL90ITALIA    599 0770
QSO: 14007 CW 2018-05-26 1135 G3WRR         599 0020   S56M          599 0789
QSO: 14008 CW 2018-05-26 1136 G3WRR         599 0021   9A70A         599 1416
QSO: 14013 CW 2018-05-26 1138 G3WRR         599 0022   LZ7DX         599 0575
QSO: 14022 CW 2018-05-26 1138 G3WRR         599 0023   9A1A          599 0873
QSO: 14024 CW 2018-05-26 1139 G3WRR         599 0024   N3RS          599 0745
QSO: 14038 CW 2018-05-26 1141 G3WRR         599 0025   LZ9W          599 0872
QSO: 14046 CW 2018-05-26 1143 G3WRR         599 0026   SN7Q          599 0828
QSO: 14040 CW 2018-05-26 1144 G3WRR         599 0027   YR100R        599 0464
QSO: 14039 CW 2018-05-26 1145 G3WRR         599 0028   ER4A          599 1413
QSO: 14027 CW 2018-05-26 1146 G3WRR         599 0029   RT5G          599 0608
QSO: 14026 CW 2018-05-26 1147 G3WRR         599 0030   J42L          599 0869
QSO: 14006 CW 2018-05-26 1150 G3WRR         599 0031   WC1M          599 1018
QSO: 14005 CW 2018-05-26 1151 G3WRR         599 0032   SN8N          599 0689
QSO: 14000 CW 2018-05-26 1152 G3WRR         599 0033   S57DX         599 0561
QSO: 14002 CW 2018-05-26 1152 G3WRR         599 0034   HG1A          599 0562
QSO: 21003 CW 2018-05-26 1155 G3WRR         599 0035   K1LZ          599 1338
QSO: 21001 CW 2018-05-26 1155 G3WRR         599 0036   KM7W          599 1402
QSO: 21025 CW 2018-05-26 1157 G3WRR         599 0037   PX2MTV        599 0045
QSO: 21025 CW 2018-05-26 1200 G3WRR         599 0038   UF1F          599 1598
QSO: 21035 CW 2018-05-26 1203 G3WRR         599 0039   EC2DX         599 0443
QSO: 21034 CW 2018-05-26 1203 G3WRR         599 0040   LZ9W          599 0376
QSO: 21014 CW 2018-05-26 1437 G3WRR         599 0041   CT3KN         599 0483
QSO: 21019 CW 2018-05-26 1438 G3WRR         599 0042   VC3J          599 0249
QSO: 21020 CW 2018-05-26 1439 G3WRR         599 0043   IB9T          599 0857
QSO: 21028 CW 2018-05-26 1443 G3WRR         599 0044   EA7KB         599 0024
QSO: 21032 CW 2018-05-26 1444 G3WRR         599 0045   NN5P          599 0830
QSO: 21016 CW 2018-05-26 1445 G3WRR         599 0046   NN5J          599 1451
QSO: 21013 CW 2018-05-26 1447 G3WRR         599 0047   PY5FB         599 0185
QSO: 21031 CW 2018-05-26 1448 G3WRR         599 0048   NU5A          599 1364
QSO: 21036 CW 2018-05-26 1449 G3WRR         599 0049   ES5RR         599 1554
QSO: 28017 CW 2018-05-26 1451 G3WRR         599 0050   CN3A          599 0067
QSO: 14007 CW 2018-05-26 1454 G3WRR         599 0051   HG4F          599 0643
QSO: 14010 CW 2018-05-26 1455 G3WRR         599 0052   E77A          599 0873
QSO: 14014 CW 2018-05-26 1458 G3WRR         599 0053   RM5A          599 0993
QSO: 14005 CW 2018-05-26 1459 G3WRR         599 0054   RK4FF         599 0948
QSO: 14007 CW 2018-05-26 1500 G3WRR         599 0055   S52ZW         599 0558
