START-OF-LOG: 3.0
LOCATION: AZ
CALLSIGN: N6HI
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 3807
CLUB: Arizona Outlaws Contest Club
CONTEST: CQ-WPX-CW
CREATED-BY: WA7BNM Web2Cabrillo 2.07
NAME: John Rehak  N6HI
OPERATORS: N6HI @N6HI
SOAPBOX: Ran ONE HALF WATT to a 20 foot piece of wire,
SOAPBOX: thrown into a tree out my window. Nice conditions
SOAPBOX: considering our solar cycle. Surprisingly good
SOAPBOX: conditions Saturday evening provided some nice
SOAPBOX: 1/2 Watt EU contacts. Thanks to all for the QSOs.
SOAPBOX: Had a blast in the last good CW contest of the season!
SOAPBOX: GO ARIZONA OUTLAWS! 73, John N6HI
QSO: 14000 CW 2018-05-26 0054 N6HI          599    001 KH6LC         599    106
QSO: 14000 CW 2018-05-26 0058 N6HI          599    002 WF1OC         599    003
QSO: 14000 CW 2018-05-26 0107 N6HI          599    003 K5WA          599    124
QSO: 14000 CW 2018-05-26 0114 N6HI          599    004 NJ6G          599    079
QSO: 14000 CW 2018-05-26 0123 N6HI          599    005 K6RIM         599    014
QSO: 14000 CW 2018-05-26 0151 N6HI          599    006 KJ0D          599    144
QSO: 14000 CW 2018-05-26 0342 N6HI          599    007 KW7Y          599    413
QSO: 14000 CW 2018-05-26 0430 N6HI          599    008 WH7AA         599    527
QSO: 14000 CW 2018-05-26 0433 N6HI          599    009 KL7SB         599    506
QSO: 14000 CW 2018-05-26 0435 N6HI          599    010 KT3M          599    358
QSO: 14000 CW 2018-05-26 0516 N6HI          599    011 WJ9B          599    368
QSO: 14000 CW 2018-05-26 1527 N6HI          599    012 NN5P          599    926
QSO: 14000 CW 2018-05-26 1536 N6HI          599    013 N3BB          599    417
QSO: 14000 CW 2018-05-26 1558 N6HI          599    014 KU6F          599    605
QSO: 14000 CW 2018-05-26 1614 N6HI          599    015 AK6M          599    226
QSO: 14000 CW 2018-05-26 1648 N6HI          599    016 VA7ST         599    562
QSO: 21000 CW 2018-05-26 2323 N6HI          599    017 HQ9X          599    745
QSO: 21000 CW 2018-05-26 2330 N6HI          599    018 NU5A          599   1939
QSO: 21000 CW 2018-05-26 2334 N6HI          599    019 KH7B          599   1634
QSO: 21000 CW 2018-05-26 2338 N6HI          599    020 KH6LC         599    386
QSO: 21000 CW 2018-05-27 0034 N6HI          599    021 KJ5Y          599    941
QSO: 14000 CW 2018-05-27 0041 N6HI          599    022 KU6W          599    985
QSO: 14000 CW 2018-05-27 0053 N6HI          599    023 KY0W          599    548
QSO: 14000 CW 2018-05-27 0115 N6HI          599    024 KU2M          599   1611
QSO: 14000 CW 2018-05-27 0120 N6HI          599    025 W6LD          599    127
QSO:  7000 CW 2018-05-27 0249 N6HI          599    026 NX6T          599    364
QSO:  7000 CW 2018-05-27 0255 N6HI          599    027 WA6KHK        599    672
QSO: 14000 CW 2018-05-27 0308 N6HI          599    028 KU7T          599   1610
QSO: 14000 CW 2018-05-27 0316 N6HI          599    029 WH6R          599    886
QSO: 14000 CW 2018-05-27 0331 N6HI          599    030 LY80FOC       599    327
QSO: 14000 CW 2018-05-27 0334 N6HI          599    031 KU1CW         599   1239
QSO: 14000 CW 2018-05-27 0416 N6HI          599    032 ES7A          599   1893
QSO: 14000 CW 2018-05-27 0427 N6HI          599    033 OG60F         599   2491
QSO: 14000 CW 2018-05-27 0500 N6HI          599    034 OM7M          599   1893
QSO: 14000 CW 2018-05-27 0512 N6HI          599    035 RM9I          599   1896
QSO:  7000 CW 2018-05-27 0629 N6HI          599    036 N5ZO          599    546
QSO:  7000 CW 2018-05-27 0631 N6HI          599    037 NY6N          599    904
QSO: 14000 CW 2018-05-27 1623 N6HI          599    038 WI6NE         599   2212
QSO: 14000 CW 2018-05-27 1627 N6HI          599    039 NR7DX         599    810
QSO: 14000 CW 2018-05-27 1631 N6HI          599    040 AJ6V          599    797
QSO: 14000 CW 2018-05-27 1633 N6HI          599    041 AG6AU         599    434
QSO: 14000 CW 2018-05-27 1648 N6HI          599    042 NN6DX         599    379
QSO: 14000 CW 2018-05-27 1815 N6HI          599    043 W0IZ          599    898
QSO: 14000 CW 2018-05-27 1836 N6HI          599    044 NA6O          599   1710
QSO: 21000 CW 2018-05-27 1847 N6HI          599    045 NA6O          599    744
QSO: 21000 CW 2018-05-27 1849 N6HI          599    046 AG6AU         599    488
QSO: 21000 CW 2018-05-27 1855 N6HI          599    047 KU6F          599   1464
QSO: 21000 CW 2018-05-27 1900 N6HI          599    048 WJ9B          599   1870
QSO: 21000 CW 2018-05-27 1904 N6HI          599    049 NE6LE         599    473
QSO: 21000 CW 2018-05-27 1916 N6HI          599    050 W7YAQ         599   1340
QSO: 21000 CW 2018-05-27 1949 N6HI          599    051 AJ6V          599    929
QSO: 21000 CW 2018-05-27 1954 N6HI          599    052 KU6W          599   1570
QSO: 21000 CW 2018-05-27 1959 N6HI          599    053 WX6V          599    629
QSO: 21000 CW 2018-05-27 2001 N6HI          599    054 WI6NE         599   2406
QSO: 21000 CW 2018-05-27 2007 N6HI          599    055 K7XC          599    344
QSO: 14000 CW 2018-05-27 2115 N6HI          599    056 N7IR          599    638
QSO: 14000 CW 2018-05-27 2208 N6HI          599    057 W7YAQ         599   1406
END-OF-LOG:
