START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: DX
CALLSIGN: OZ1HQ
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-STATION: HQ
CATEGORY-TRANSMITTER: UNLIMITED
CREATED-BY: UCXLOG 8.14
OPERATORS: OZ30EU OZ1LO 5P0O OZ2TF OZ5BD OZ1BCG OZ1RH OZ2U OZ6CM OZ8ABA OZ4HJ
OPERATORS: OZ1ISY OZ1ETA OZ2I OZ1JUX OV3T OZ1ADL OZ7AM OZ1AA OZ1IKY OZ6OM
OPERATORS: OZ2CQ OZ1OM OZ1ANA OZ8SW OZ8PG OZ4UN OZ2PBS OZ4ABH
HQ-CATEGORY: IARU Headquarters Stations
HQ-GRID-LOCATOR: JO55ej
QSO: 14008 CW 2021-07-10 1200 OZ1HQ 599 EDR HA6OZ 599 28
QSO: 7193 PH 2021-07-10 1201 OZ1HQ 59 EDR M0TTQ 59 27
QSO: 7021 CW 2021-07-10 1201 OZ1HQ 599 EDR SN0HQ 599 PZK
QSO: 14185 PH 2021-07-10 1201 OZ1HQ 59 EDR OM5WW 59 28
QSO: 14008 CW 2021-07-10 1201 OZ1HQ 599 EDR OK6CX 599 28
QSO: 14008 CW 2021-07-10 1201 OZ1HQ 599 EDR UT8AS 599 29
QSO: 14008 CW 2021-07-10 1201 OZ1HQ 599 EDR UA3QAM 599 29
QSO: 14008 CW 2021-07-10 1201 OZ1HQ 599 EDR RW4WA 599 30
QSO: 21019 CW 2021-07-10 1201 OZ1HQ 599 EDR LZ6E 599 28
QSO: 21019 CW 2021-07-10 1201 OZ1HQ 599 EDR LZ9W 599 28
QSO: 28487 PH 2021-07-10 1201 OZ1HQ 59 EDR YO9BXE 59 28
QSO: 28487 PH 2021-07-10 1201 OZ1HQ 59 EDR HG0HQ 59 MRASZ
QSO: 7193 PH 2021-07-10 1202 OZ1HQ 59 EDR HB9HEI 59 28
QSO: 7193 PH 2021-07-10 1202 OZ1HQ 59 EDR DL7UXG 59 28
QSO: 7193 PH 2021-07-10 1202 OZ1HQ 59 EDR SN0HQ 59 PZK
QSO: 14008 CW 2021-07-10 1202 OZ1HQ 599 EDR EU2F 599 29
QSO: 14008 CW 2021-07-10 1202 OZ1HQ 599 EDR UW6M 599 29
QSO: 21019 CW 2021-07-10 1202 OZ1HQ 599 EDR IQ3RK 599 28
QSO: 7193 PH 2021-07-10 1203 OZ1HQ 59 EDR DL1GRC 59 28
QSO: 7193 PH 2021-07-10 1203 OZ1HQ 59 EDR DM9JH 59 28
QSO: 7193 PH 2021-07-10 1203 OZ1HQ 59 EDR M0HWA 59 27
QSO: 7193 PH 2021-07-10 1203 OZ1HQ 59 EDR HB2C 59 28
QSO: 7007 CW 2021-07-10 1203 OZ1HQ 599 EDR OL1HQ 599 CRC
QSO: 14008 CW 2021-07-10 1203 OZ1HQ 599 EDR YO4NA 599 28
QSO: 14008 CW 2021-07-10 1203 OZ1HQ 599 EDR YU7KW 599 28
QSO: 28487 PH 2021-07-10 1203 OZ1HQ 59 EDR OZ4B 59 18
QSO: 7193 PH 2021-07-10 1204 OZ1HQ 59 EDR DK0ZAB 59 28
QSO: 7193 PH 2021-07-10 1204 OZ1HQ 59 EDR DJ5RQ 59 28
QSO: 7010 CW 2021-07-10 1204 OZ1HQ 599 EDR HG0HQ 599 MRASZ
QSO: 14208 PH 2021-07-10 1204 OZ1HQ 59 EDR UW7W 59 29
QSO: 14008 CW 2021-07-10 1204 OZ1HQ 599 EDR RG5A 599 29
QSO: 14008 CW 2021-07-10 1204 OZ1HQ 599 EDR RA9MX 599 30
QSO: 14008 CW 2021-07-10 1204 OZ1HQ 599 EDR HG6N 599 28
QSO: 14008 CW 2021-07-10 1204 OZ1HQ 599 EDR R7RC 599 29
QSO: 21012 CW 2021-07-10 1204 OZ1HQ 599 EDR A60HQ 599 EARS
QSO: 28487 PH 2021-07-10 1204 OZ1HQ 59 EDR YU3FMS 59 28
QSO: 7193 PH 2021-07-10 1205 OZ1HQ 59 EDR DL1AH 59 28
QSO: 7193 PH 2021-07-10 1205 OZ1HQ 59 EDR YT0HQ 59 SRS
QSO: 7011 CW 2021-07-10 1205 OZ1HQ 599 EDR 9A0HQ 599 SRS
QSO: 7012 CW 2021-07-10 1205 OZ1HQ 599 EDR S50HQ 599 ZRS
QSO: 7013 CW 2021-07-10 1205 OZ1HQ 599 EDR S51DX 599 28
QSO: 14208 PH 2021-07-10 1205 OZ1HQ 59 EDR SV3RPQ 59 28
QSO: 14008 CW 2021-07-10 1205 OZ1HQ 599 EDR LZ3ZZ 599 28
QSO: 14008 CW 2021-07-10 1205 OZ1HQ 599 EDR JA7ACM 599 45
QSO: 7193 PH 2021-07-10 1206 OZ1HQ 59 EDR DG0JPM 59 28
QSO: 7024 CW 2021-07-10 1206 OZ1HQ 599 EDR UN1HQ 599 KFRR
QSO: 14008 CW 2021-07-10 1206 OZ1HQ 599 EDR UA3ABJ 599 29
QSO: 14008 CW 2021-07-10 1206 OZ1HQ 599 EDR YO4GO 599 28
QSO: 14008 CW 2021-07-10 1206 OZ1HQ 599 EDR UA6CC 599 29
QSO: 14008 CW 2021-07-10 1206 OZ1HQ 599 EDR RT2C 599 29
QSO: 7017 CW 2021-07-10 1207 OZ1HQ 599 EDR YL4HQ 599 LRAL
QSO: 7018 CW 2021-07-10 1207 OZ1HQ 599 EDR OP0HQ 599 UBA
QSO: 14008 CW 2021-07-10 1207 OZ1HQ 599 EDR EU8R 599 29
QSO: 14008 CW 2021-07-10 1207 OZ1HQ 599 EDR HG6O 599 28
QSO: 14008 CW 2021-07-10 1207 OZ1HQ 599 EDR R3SM 599 29
QSO: 21007 CW 2021-07-10 1207 OZ1HQ 599 EDR 5Z4VJ 599 48
QSO: 28475 PH 2021-07-10 1207 OZ1HQ 59 EDR TM0HQ 59 REF
QSO: 7193 PH 2021-07-10 1208 OZ1HQ 59 EDR DC6MT 59 28
QSO: 7193 PH 2021-07-10 1208 OZ1HQ 59 EDR SP8CHI 59 28
QSO: 7019 CW 2021-07-10 1208 OZ1HQ 599 EDR YT0HQ 599 SRS
QSO: 14008 CW 2021-07-10 1208 OZ1HQ 599 EDR R8XF/1 599 29
QSO: 14008 CW 2021-07-10 1208 OZ1HQ 599 EDR RN4HAB 599 30
QSO: 21018 CW 2021-07-10 1208 OZ1HQ 599 EDR TM0HQ 599 REF
QSO: 28462 PH 2021-07-10 1208 OZ1HQ 59 EDR E7HQ 59 ARABH
QSO: 28021 CW 2021-07-10 1208 OZ1HQ 599 EDR EA6FO 599 37
QSO: 7193 PH 2021-07-10 1209 OZ1HQ 59 EDR DK7QY 59 28
QSO: 7017 CW 2021-07-10 1209 OZ1HQ 599 EDR E7HQ 599 ARABA
QSO: 7003 CW 2021-07-10 1209 OZ1HQ 599 EDR LY0HQ 599 LRMD
QSO: 14008 CW 2021-07-10 1209 OZ1HQ 599 EDR RW1M 599 29
QSO: 14008 CW 2021-07-10 1209 OZ1HQ 599 EDR R3IBT 599 29
QSO: 21022 CW 2021-07-10 1209 OZ1HQ 599 EDR CR5O 599 37
QSO: 28440 PH 2021-07-10 1209 OZ1HQ 59 EDR EA3QP 59 37
QSO: 28433 PH 2021-07-10 1209 OZ1HQ 59 EDR F1DHX 59 27
QSO: 7193 PH 2021-07-10 1210 OZ1HQ 59 EDR SK9HQ 59 SSA
QSO: 7027 CW 2021-07-10 1210 OZ1HQ 599 EDR OE0HQ 599 OV
QSO: 14008 CW 2021-07-10 1210 OZ1HQ 599 EDR RW1M 599 29
QSO: 14008 CW 2021-07-10 1210 OZ1HQ 599 EDR YO7LGI 599 28
QSO: 14008 CW 2021-07-10 1210 OZ1HQ 599 EDR RN6AT 599 29
QSO: 14008 CW 2021-07-10 1210 OZ1HQ 599 EDR RA6FUZ 599 29
QSO: 28529 PH 2021-07-10 1210 OZ1HQ 59 EDR EA3CI 59 37
