START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: TM10GFT
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JN18EU
CLAIMED-SCORE: 93
NAME: Andreas Schumm
OPERATORS: F4GFT
CREATED-BY: cadif
SOAPBOX: Surprisingly good propagation. Looking forward to next year's WPX!
QSO:  7014 CW 2020-05-30 0739 TM10GFT         599 001 OR1Z                    599 117
QSO:  7017 CW 2020-05-30 0740 TM10GFT         599 002 DK2DQ                   599 211
QSO:  7022 CW 2020-05-30 0756 TM10GFT         599 003 IR2Q                    599 1103
QSO:  7029 CW 2020-05-30 0758 TM10GFT         599 004 PG5V                    599 096
QSO:  7034 CW 2020-05-30 0804 TM10GFT         599 005 G8X                     599 444
QSO:  7002 CW 2020-05-30 0807 TM10GFT         599 006 9A0AA                   599 662
QSO:  7023 CW 2020-05-30 0811 TM10GFT         599 007 OK1HFP                  599 212
QSO: 14007 CW 2020-05-30 0814 TM10GFT         599 008 9A0AA                   599 668
QSO: 14014 CW 2020-05-30 0817 TM10GFT         599 009 SZ1A                    599 421
QSO: 14015 CW 2020-05-30 0822 TM10GFT         599 010 SM7IUN                  599 268
QSO: 14021 CW 2020-05-30 0825 TM10GFT         599 011 I1NVU                   599 166
QSO: 14026 CW 2020-05-30 0829 TM10GFT         599 012 M8A                     599 098
QSO: 14028 CW 2020-05-30 0849 TM10GFT         599 013 DL6FBL                  599 1285
QSO: 14038 CW 2020-05-30 0854 TM10GFT         599 014 OK1KIM                  599 023
QSO: 14041 CW 2020-05-30 0901 TM10GFT         599 015 LZ9W                    599 916
QSO: 14043 CW 2020-05-30 0903 TM10GFT         599 016 UB6B                    599 735
QSO: 14049 CW 2020-05-30 0907 TM10GFT         599 017 ES2MC                   599 665
QSO: 21004 CW 2020-05-30 0910 TM10GFT         599 018 9A7A                    599 1410
QSO: 21007 CW 2020-05-30 0912 TM10GFT         599 019 HA0HV                   599 281
QSO: 21008 CW 2020-05-30 0917 TM10GFT         599 020 LZ1MS                   599 281
QSO: 21026 CW 2020-05-30 0928 TM10GFT         599 021 LZ9W                    599 488
QSO: 21027 CW 2020-05-30 0933 TM10GFT         599 022 9A4W                    599 396
QSO: 21032 CW 2020-05-30 0938 TM10GFT         599 023 OM7M                    599 116
QSO: 21034 CW 2020-05-30 0944 TM10GFT         599 024 RK4FD                   599 049
QSO: 21037 CW 2020-05-30 0950 TM10GFT         599 025 4Q6EE                   599 462
QSO: 21040 CW 2020-05-30 0954 TM10GFT         599 026 OK5Z                    599 946
QSO: 28004 CW 2020-05-30 0959 TM10GFT         599 027 HG6N                    599 1326
QSO: 28006 CW 2020-05-30 1000 TM10GFT         599 028 DH8BQA                  599 456
QSO: 28011 CW 2020-05-30 1003 TM10GFT         599 029 EC3A                    599 588
QSO: 28013 CW 2020-05-30 1008 TM10GFT         599 030 SC7DX                   599 548
QSO: 28023 CW 2020-05-30 1014 TM10GFT         599 031 LZ9W                    599 406
QSO: 28027 CW 2020-05-30 1016 TM10GFT         599 032 DL8BH                   599 122
QSO: 28031 CW 2020-05-30 1020 TM10GFT         599 033 LY5R                    599 906
QSO: 28037 CW 2020-05-30 1024 TM10GFT         599 034 EB5A                    599 958
QSO: 28067 CW 2020-05-30 1026 TM10GFT         599 035 EB5F                    599 088
QSO: 28033 CW 2020-05-30 1220 TM10GFT         599 036 MM3T                    599 618
QSO: 28031 CW 2020-05-30 1222 TM10GFT         599 037 EA6FO                   599 819
QSO: 28012 CW 2020-05-30 1229 TM10GFT         599 038 YT5A                    599 492
QSO: 28003 CW 2020-05-30 1231 TM10GFT         599 039 LZ9A                    599 562
QSO: 28003 CW 2020-05-30 1233 TM10GFT         599 040 MI5I                    599 411
QSO: 21044 CW 2020-05-30 1237 TM10GFT         599 041 II9P                    599 940
QSO: 21032 CW 2020-05-30 1240 TM10GFT         599 042 DL5AXX                  599 1066
QSO: 21013 CW 2020-05-30 1247 TM10GFT         599 043 OL3A                    599 1318
QSO: 14012 CW 2020-05-30 1300 TM10GFT         599 044 HG6V                    599 318
QSO: 14015 CW 2020-05-30 1304 TM10GFT         599 045 LZ7G                    599 964
QSO: 14055 CW 2020-05-30 1534 TM10GFT         599 046 S53M                    599 1774
QSO: 14055 CW 2020-05-30 1539 TM10GFT         599 047 R2AA                    599 2344
QSO: 14053 CW 2020-05-30 1548 TM10GFT         599 048 E70T                    599 1133
QSO: 14048 CW 2020-05-30 1551 TM10GFT         599 049 OY1CT                   599 633
QSO: 14046 CW 2020-05-30 1553 TM10GFT         599 050 R6AF                    599 713
QSO: 14045 CW 2020-05-30 1554 TM10GFT         599 051 SP8R                    599 1712
QSO: 14044 CW 2020-05-30 1600 TM10GFT         599 052 SP5AUC                  599 454
QSO: 14028 CW 2020-05-30 1604 TM10GFT         599 053 HG0Y                    599 1115
QSO: 14017 CW 2020-05-30 1721 TM10GFT         599 054 UA5C                    599 1788
QSO: 14013 CW 2020-05-30 1724 TM10GFT         599 055 HA7RY                   599 878
QSO: 14011 CW 2020-05-30 1726 TM10GFT         599 056 UZ9E                    599 1432
QSO: 14010 CW 2020-05-30 1728 TM10GFT         599 057 RM2D                    599 916
QSO: 14004 CW 2020-05-30 1817 TM10GFT         599 058 OM7M                    599 1480
QSO:  7022 CW 2020-05-31 0709 TM10GFT         599 059 DK2FG                   599 563
QSO:  7024 CW 2020-05-31 0711 TM10GFT         599 060 S50G                    599 3149
QSO:  7036 CW 2020-05-31 0728 TM10GFT         599 061 PA75PKZ                 599 827
QSO: 14005 CW 2020-05-31 0735 TM10GFT         599 062 EW8W                    599 1376
QSO: 14014 CW 2020-05-31 0738 TM10GFT         599 063 LA8AD                   599 284
QSO: 14016 CW 2020-05-31 0741 TM10GFT         599 064 DA2C                    599 2230
QSO: 14022 CW 2020-05-31 0745 TM10GFT         599 065 EC7AMY                  599 066
QSO: 14032 CW 2020-05-31 0749 TM10GFT         599 066 LN8W                    599 1252
QSO: 14042 CW 2020-05-31 0802 TM10GFT         599 067 ES2MC                   599 1399
QSO: 14040 CW 2020-05-31 0810 TM10GFT         599 068 OH0T                    599 1873
QSO: 21010 CW 2020-05-31 0815 TM10GFT         599 069 LY5E                    599 2204
QSO: 21012 CW 2020-05-31 0816 TM10GFT         599 070 ED5N                    599 661
QSO: 21054 CW 2020-05-31 0819 TM10GFT         599 071 IK0YVV                  599 939
QSO: 28003 CW 2020-05-31 0821 TM10GFT         599 072 E77A                    599 1108
QSO: 28027 CW 2020-05-31 0840 TM10GFT         599 073 LZ9W                    599 1105
QSO: 28037 CW 2020-05-31 0843 TM10GFT         599 074 IK0YVV                  599 970
QSO: 28039 CW 2020-05-31 1009 TM10GFT         599 075 IB9A                    599 1900
QSO: 14002 CW 2020-05-31 1012 TM10GFT         599 076 WW1X                    599 2157
QSO: 14022 CW 2020-05-31 1016 TM10GFT         599 077 SP3A                    599 887
QSO: 14004 CW 2020-05-31 1022 TM10GFT         599 078 VE9CB                   599 1606
QSO: 14011 CW 2020-05-31 1027 TM10GFT         599 079 TM29X                   599 2083
QSO: 14041 CW 2020-05-31 1036 TM10GFT         599 080 CR6K                    599 3292
QSO: 14036 CW 2020-05-31 1057 TM10GFT         599 081 K1ZZ                    599 2492
QSO: 14016 CW 2020-05-31 1111 TM10GFT         599 082 VE3JM                   599 2593
QSO: 14009 CW 2020-05-31 1119 TM10GFT         599 083 S50K                    599 2097
QSO: 21033 CW 2020-05-31 1126 TM10GFT         599 084 LY2XW                   599 1702
QSO: 14024 CW 2020-05-31 1204 TM10GFT         599 085 HG8R                    599 1942
QSO: 14033 CW 2020-05-31 1207 TM10GFT         599 086 CN8KD                   599 483
QSO: 21011 CW 2020-05-31 1331 TM10GFT         599 087 SP8R                    599 3619
QSO: 21058 CW 2020-05-31 1343 TM10GFT         599 088 HB9TOC                  599 1588
QSO: 21038 CW 2020-05-31 1425 TM10GFT         599 089 IK4UPB                  599 120
QSO: 14010 CW 2020-05-31 1756 TM10GFT         599 090 HA8M                    599 2053
QSO: 14011 CW 2020-05-31 1758 TM10GFT         599 091 4O4T                    599 1035
QSO: 14012 CW 2020-05-31 1801 TM10GFT         599 092 DM2RN                   599 242
QSO: 14022 CW 2020-05-31 1816 TM10GFT         599 093 RN1ON                   599 891
END-OF-LOG:
