START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: HB9CAT
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
GRID-LOCATOR: JN46PN
CLAIMED-SCORE: 1075052
NAME: Marco Zollinger
OPERATORS: HB9CAT
CLUB: ITALIAN CONTEST CLUB
CREATED-BY: DXLog.net v2.4.23
SOAPBOX: mostly S&P, multi-band vertical in the middle of the alps
QSO:  3545 CW 2020-05-30 0016 HB9CAT        599 0001   E7CW          599 0026   0
QSO:  3546 CW 2020-05-30 0017 HB9CAT        599 0002   SP4AWE        599 0017   0
QSO:  3544 CW 2020-05-30 0018 HB9CAT        599 0003   SE4E          599 0029   0
QSO:  3543 CW 2020-05-30 0018 HB9CAT        599 0004   HG5A          599 0024   0
QSO:  3541 CW 2020-05-30 0019 HB9CAT        599 0005   TM5T          599 0020   0
QSO:  3540 CW 2020-05-30 0019 HB9CAT        599 0006   UA4M          599 0050   0
QSO:  3539 CW 2020-05-30 0020 HB9CAT        599 0007   LX20I         599 0034   0
QSO:  3546 CW 2020-05-30 0022 HB9CAT        599 0008   YT6T          599 0024   0
QSO:  3547 CW 2020-05-30 0023 HB9CAT        599 0009   OK7O          599 0026   0
QSO:  3551 CW 2020-05-30 0025 HB9CAT        599 0010   S53MM         599 0069   0
QSO:  3559 CW 2020-05-30 0025 HB9CAT        599 0011   YT5YTT        599 0015   0
QSO: 14003 CW 2020-05-30 0027 HB9CAT        599 0012   N2MM          599 0057   0
QSO: 14008 CW 2020-05-30 0028 HB9CAT        599 0013   HG5D          599 0080   0
QSO:  7000 CW 2020-05-30 0031 HB9CAT        599 0014   RG9A          599 0054   0
QSO:  7001 CW 2020-05-30 0032 HB9CAT        599 0015   KC1XX         599 0093   0
QSO:  7001 CW 2020-05-30 0032 HB9CAT        599 0016   EF8R          599 0078   0
QSO:  7002 CW 2020-05-30 0033 HB9CAT        599 0017   R2AA          599 0106   0
QSO:  7003 CW 2020-05-30 0034 HB9CAT        599 0018   CF2T          599 0089   0
QSO:  7004 CW 2020-05-30 0035 HB9CAT        599 0019   UF8T          599 0052   0
QSO:  7004 CW 2020-05-30 0035 HB9CAT        599 0020   LY2K          599 0080   0
QSO:  7004 CW 2020-05-30 0036 HB9CAT        599 0021   K7SV          599 0060   0
QSO:  7005 CW 2020-05-30 0036 HB9CAT        599 0022   K1ZZ          599 0096   0
QSO:  7005 CW 2020-05-30 0037 HB9CAT        599 0023   LY4A          599 0076   0
QSO:  7006 CW 2020-05-30 0038 HB9CAT        599 0024   OM3BH         599 0093   0
QSO:  7006 CW 2020-05-30 0038 HB9CAT        599 0025   IB9A          599 0072   0
QSO:  7007 CW 2020-05-30 0039 HB9CAT        599 0026   N5DX          599 0137   0
QSO:  7007 CW 2020-05-30 0040 HB9CAT        599 0027   IZ1GAR        599 0059   0
QSO:  7008 CW 2020-05-30 0040 HB9CAT        599 0028   K2SSS         599 0090   0
QSO:  7009 CW 2020-05-30 0041 HB9CAT        599 0029   S51YI         599 0074   0
QSO:  7009 CW 2020-05-30 0041 HB9CAT        599 0030   OM7M          599 0113   0
QSO:  7010 CW 2020-05-30 0042 HB9CAT        599 0031   HB9ON         599 0071   0
QSO:  7010 CW 2020-05-30 0043 HB9CAT        599 0032   LZ1EV         599 0076   0
QSO:  7011 CW 2020-05-30 0043 HB9CAT        599 0033   OL9Z          599 0077   0
QSO:  7012 CW 2020-05-30 0044 HB9CAT        599 0034   MX7DX         599 0107   0
QSO:  7012 CW 2020-05-30 0045 HB9CAT        599 0035   AA4CF         599 0068   0
QSO:  7013 CW 2020-05-30 0046 HB9CAT        599 0036   EC5Y          599 0029   0
QSO:  7014 CW 2020-05-30 0047 HB9CAT        599 0037   9A7A          599 0109   0
QSO:  7016 CW 2020-05-30 0048 HB9CAT        599 0038   WC1M          599 0093   0
QSO:  3540 CW 2020-05-30 0050 HB9CAT        599 0039   SE5E          599 0100   0
QSO:  3541 CW 2020-05-30 0058 HB9CAT        599 0040   YL5W          599 0077   0
QSO:  3548 CW 2020-05-30 0100 HB9CAT        599 0041   ES5RR         599 0137   0
QSO:  3549 CW 2020-05-30 0100 HB9CAT        599 0042   DA0T          599 0082   0
QSO:  3550 CW 2020-05-30 0101 HB9CAT        599 0043   SQ9I          599 0032   0
QSO:  3550 CW 2020-05-30 0102 HB9CAT        599 0044   LY8A          599 0082   0
QSO:  3555 CW 2020-05-30 0103 HB9CAT        599 0045   YO4NF         599 0051   0
QSO:  3557 CW 2020-05-30 0104 HB9CAT        599 0046   DL1MGB        599 0063   0
QSO:  3553 CW 2020-05-30 0105 HB9CAT        599 0047   E73B          599 0068   0
QSO:  3546 CW 2020-05-30 0106 HB9CAT        599 0048   R7RF          599 0100   0
QSO:  3543 CW 2020-05-30 0106 HB9CAT        599 0049   YT1WA         599 0083   0
QSO:  3542 CW 2020-05-30 0107 HB9CAT        599 0050   CT3KN         599 0051   0
QSO:  7019 CW 2020-05-30 0109 HB9CAT        599 0051   E70T          599 0160   0
