START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: KA6WKE
LOCATION: SDG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 15792
NAME: Mark Schoonover
OPERATORS: KA6WKE
CLUB: SOUTHERN CALIFORNIA CONTEST CLUB
CREATED-BY: N1MM Logger+ 1.0.8418.0
SOAPBOX: Mostly in and out of the shack this weekend. 20M Friday night was
SOAPBOX: a real surprise staying up past its normal bedtime these past few
SOAPBOX: years. Put in new antennas - Cobweb at 23' and a new 160-40m that
SOAPBOX: didn't want to behave on 80M. Worked many VE , a few KH6/7 and a
SOAPBOX: single XE off the cobweb with Chile & Argentina on 40M.
SOAPBOX: IC-7600 100 watts into MFJ-1836H@23' // 33' Inverted L
QSO: 14069 CW 2020-05-30 0214 KA6WKE        599 0001   N0AV          599 0313
QSO: 14068 CW 2020-05-30 0218 KA6WKE        599 0002   WB9Z          599 0195
QSO: 14057 CW 2020-05-30 0219 KA6WKE        599 0003   NE0F          599 0200
QSO: 14050 CW 2020-05-30 0221 KA6WKE        599 0004   NT0EE         599 0137
QSO: 14050 CW 2020-05-30 0223 KA6WKE        599 0005   NG5E          599 0084
QSO: 14042 CW 2020-05-30 0225 KA6WKE        599 0006   KE2D          599 0169
QSO: 14041 CW 2020-05-30 0227 KA6WKE        599 0007   KK5I          599 0257
QSO: 14039 CW 2020-05-30 0237 KA6WKE        599 0008   KH6LC         599 0289
QSO: 14037 CW 2020-05-30 0238 KA6WKE        599 0009   WW4R          599 0165
QSO: 14031 CW 2020-05-30 0240 KA6WKE        599 0010   K0AP          599 0168
QSO: 14025 CW 2020-05-30 0243 KA6WKE        599 0011   NJ8M          599 0266
QSO: 14022 CW 2020-05-30 0246 KA6WKE        599 0012   KH6TU         599 0295
QSO: 14068 CW 2020-05-30 0252 KA6WKE        599 0013   KJ5Y          599 0088
QSO: 14065 CW 2020-05-30 0256 KA6WKE        599 0014   N5NU          599 0030
QSO: 14059 CW 2020-05-30 0300 KA6WKE        599 0015   N0NI          599 0279
QSO: 14057 CW 2020-05-30 0303 KA6WKE        599 0016   VC4R          599 0320
QSO: 14046 CW 2020-05-30 0311 KA6WKE        599 0017   AK1W          599 0403
QSO: 14044 CW 2020-05-30 0314 KA6WKE        599 0018   WW1X          599 0292
QSO: 14043 CW 2020-05-30 0317 KA6WKE        599 0019   K5BLC         599 0366
QSO: 14021 CW 2020-05-30 0323 KA6WKE        599 0020   KT5J          599 0341
QSO: 14018 CW 2020-05-30 0326 KA6WKE        599 0021   XE1CT         599 0194
QSO: 14069 CW 2020-05-30 0331 KA6WKE        599 0022   VE6TL         599 0104
QSO: 14066 CW 2020-05-30 0334 KA6WKE        599 0023   VC6R          599 0405
QSO: 14042 CW 2020-05-30 0339 KA6WKE        599 0024   VE6UM         599 0191
QSO: 14031 CW 2020-05-30 0345 KA6WKE        599 0025   NJ3K          599 0046
QSO: 14026 CW 2020-05-30 0348 KA6WKE        599 0026   KF8RR         599 0310
QSO: 14003 CW 2020-05-30 0353 KA6WKE        599 0027   NN3L          599 0422
QSO: 14002 CW 2020-05-30 0354 KA6WKE        599 0028   KU2K          599 0433
QSO: 14062 CW 2020-05-30 0408 KA6WKE        599 0029   N7ZG          599 0177
QSO: 14053 CW 2020-05-30 0413 KA6WKE        599 0030   VC7X          599 0459
QSO: 14045 CW 2020-05-30 0416 KA6WKE        599 0031   VE7KW         599 0180
QSO: 14036 CW 2020-05-30 0417 KA6WKE        599 0032   KG9X          599 0228
QSO: 14034 CW 2020-05-30 0419 KA6WKE        599 0033   VE7OM         599 0169
QSO:  7070 CW 2020-05-30 0430 KA6WKE        599 0034   AJ9C          599 0134
QSO:  7067 CW 2020-05-30 0432 KA6WKE        599 0035   CE3CT         599 0144
QSO:  7066 CW 2020-05-30 0433 KA6WKE        599 0036   N4JJ          599 0400
QSO:  7053 CW 2020-05-30 0437 KA6WKE        599 0037   WR3O          599 0627
QSO:  7052 CW 2020-05-30 0438 KA6WKE        599 0038   VE8ST         599 0276
QSO:  7049 CW 2020-05-30 0440 KA6WKE        599 0039   NR7DX         599 0613
QSO:  7041 CW 2020-05-30 0443 KA6WKE        599 0040   KU6W          599 0247
QSO:  7040 CW 2020-05-30 0444 KA6WKE        599 0041   WS9M          599 0144
QSO:  7035 CW 2020-05-30 0451 KA6WKE        599 0042   VE3NE         599 0387
QSO:  7030 CW 2020-05-30 0453 KA6WKE        599 0043   KT4RR         599 0458
QSO:  7028 CW 2020-05-30 0455 KA6WKE        599 0044   WH6R          599 0100
QSO:  7022 CW 2020-05-30 0457 KA6WKE        599 0045   VE5MX         599 0647
QSO:  7020 CW 2020-05-30 0459 KA6WKE        599 0046   WV4P          599 0318
QSO:  7019 CW 2020-05-30 0502 KA6WKE        599 0047   FM5BS         599 0422
QSO:  7017 CW 2020-05-30 0506 KA6WKE        599 0048   KG0F          599 0285
QSO:  7015 CW 2020-05-30 0508 KA6WKE        599 0049   KH6TU         599 0494
QSO:  7013 CW 2020-05-30 0511 KA6WKE        599 0050   AJ6V          599 0472
QSO:  7008 CW 2020-05-30 0513 KA6WKE        599 0051   WW1X          599 0643
QSO:  7064 CW 2020-05-30 0521 KA6WKE        599 0052   NN5J          599 0619
QSO:  7062 CW 2020-05-30 0522 KA6WKE        599 0053   WT7TT         599 0350
QSO:  7059 CW 2020-05-30 0526 KA6WKE        599 0054   NX6T          599 0227
QSO:  7055 CW 2020-05-30 0529 KA6WKE        599 0055   AA6XA         599 0093
QSO:  7051 CW 2020-05-30 0531 KA6WKE        599 0056   NE0F          599 0523
QSO:  7044 CW 2020-05-30 0535 KA6WKE        599 0057   KC7V          599 0330
QSO:  7039 CW 2020-05-30 0536 KA6WKE        599 0058   NR6O          599 0265
QSO:  7038 CW 2020-05-30 0539 KA6WKE        599 0059   NX3U          599 0571
QSO:  7031 CW 2020-05-30 0542 KA6WKE        599 0060   AA7V          599 0439
QSO: 14058 CW 2020-05-30 1821 KA6WKE        599 0061   WE6Z          599 0465
QSO: 14044 CW 2020-05-30 1826 KA6WKE        599 0062   K0AE          599 0567
QSO: 14027 CW 2020-05-30 1829 KA6WKE        599 0063   WI0WA         599 1196
QSO: 14009 CW 2020-05-30 1831 KA6WKE        599 0064   KG0F          599 0890
QSO: 14057 CW 2020-05-30 1837 KA6WKE        599 0065   AG6AU         599 0452
QSO: 14043 CW 2020-05-30 1838 KA6WKE        599 0066   AC7AF         599 0070
QSO: 14038 CW 2020-05-30 1840 KA6WKE        599 0067   NR7DX         599 1640
QSO: 14035 CW 2020-05-30 1842 KA6WKE        599 0068   N3BB          599 0650
QSO: 14046 CW 2020-05-30 2003 KA6WKE        599 0069   NR6O          599 1087
QSO: 14028 CW 2020-05-30 2006 KA6WKE        599 0070   AK6M          599 0466
QSO: 14020 CW 2020-05-30 2007 KA6WKE        599 0071   NJ6G          599 1723
QSO: 14045 CW 2020-05-30 2012 KA6WKE        599 0072   WC6H          599 1120
QSO: 14028 CW 2020-05-30 2015 KA6WKE        599 0073   KU7T          599 0879
QSO: 14014 CW 2020-05-30 2018 KA6WKE        599 0074   K3RA          599 1197
QSO: 14012 CW 2020-05-30 2020 KA6WKE        599 0075   NN5J          599 1327
QSO: 14015 CW 2020-05-30 2021 KA6WKE        599 0076   KN7K          599 0241
QSO: 14017 CW 2020-05-30 2024 KA6WKE        599 0077   AJ3AA         599 1844
QSO: 14030 CW 2020-05-30 2029 KA6WKE        599 0078   KC7EFP        599 0121
QSO: 14040 CW 2020-05-30 2032 KA6WKE        599 0079   CF7RR         599 0905
QSO: 14036 CW 2020-05-30 2146 KA6WKE        599 0080   W6KGP         599 0177
QSO: 14032 CW 2020-05-30 2147 KA6WKE        599 0081   KH7M          599 0741
QSO: 14020 CW 2020-05-30 2149 KA6WKE        599 0082   W4NF          599 0668
QSO: 14018 CW 2020-05-30 2152 KA6WKE        599 0083   WK5T          599 2285
QSO: 14043 CW 2020-05-30 2200 KA6WKE        599 0084   N5RZ          599 1388
QSO: 14044 CW 2020-05-30 2202 KA6WKE        599 0085   K4ZJ          599 0550
QSO: 14046 CW 2020-05-30 2204 KA6WKE        599 0086   NN5P          599 1455
QSO: 14051 CW 2020-05-30 2207 KA6WKE        599 0087   NA8V          599 1662
QSO: 14054 CW 2020-05-30 2208 KA6WKE        599 0088   VA7ST         599 0662
QSO: 14056 CW 2020-05-30 2209 KA6WKE        599 0089   N0OJ          599 0254
QSO: 14066 CW 2020-05-30 2221 KA6WKE        599 0090   WI9WI         599 0705
QSO: 14062 CW 2020-05-30 2225 KA6WKE        599 0091   LW5HR         599 0559
QSO: 14060 CW 2020-05-30 2230 KA6WKE        599 0092   VA3SY         599 0597
QSO: 14039 CW 2020-05-30 2237 KA6WKE        599 0093   W8LVN         599 0362
QSO: 14019 CW 2020-05-30 2241 KA6WKE        599 0094   KV0I          599 0674
QSO: 14010 CW 2020-05-30 2244 KA6WKE        599 0095   WQ6I          599 0822
