START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: ON6AT
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JO10uw
CLAIMED-SCORE: 138301
NAME: Patrick Elyn
OPERATORS: ON6AT
CREATED-BY: N1MM Logger+ 1.0.8423.0
SOAPBOX: YAESU FT-950  100W - Ant Cushcraft R8 + FD4 (80M)
QSO: 28000 CW 2020-05-30 1024 ON6AT         599 0001   E77A          599 0467
QSO: 28002 CW 2020-05-30 1027 ON6AT         599 0002   LZ9A          599 0403
QSO: 28004 CW 2020-05-30 1031 ON6AT         599 0003   OG55W         599 0438
QSO: 28004 CW 2020-05-30 1032 ON6AT         599 0004   ED5N          599 0253
QSO: 28005 CW 2020-05-30 1034 ON6AT         599 0005   SM5CSS        599 0416
QSO: 28007 CW 2020-05-30 1037 ON6AT         599 0006   LZ3ND         599 0350
QSO: 28008 CW 2020-05-30 1039 ON6AT         599 0007   HB9BXE        599 0088
QSO: 28009 CW 2020-05-30 1042 ON6AT         599 0008   LN8W          599 0470
QSO: 28001 CW 2020-05-30 1208 ON6AT         599 0009   RA1AL         599 0510
QSO: 28005 CW 2020-05-30 1212 ON6AT         599 0010   IB9T          599 0771
QSO: 28006 CW 2020-05-30 1214 ON6AT         599 0011   SJ0X          599 0920
QSO: 28007 CW 2020-05-30 1214 ON6AT         599 0012   YL2VW         599 0766
QSO: 28018 CW 2020-05-30 1218 ON6AT         599 0013   CT3KN         599 0300
QSO: 28021 CW 2020-05-30 1220 ON6AT         599 0014   GS2MP         599 0347
QSO: 28021 CW 2020-05-30 1222 ON6AT         599 0015   LA8HGA        599 0506
QSO: 28022 CW 2020-05-30 1223 ON6AT         599 0016   SX2I          599 0573
QSO: 28022 CW 2020-05-30 1224 ON6AT         599 0017   SE5E          599 1083
QSO: 28026 CW 2020-05-30 1225 ON6AT         599 0018   F8AAN         599 0045
QSO: 28026 CW 2020-05-30 1227 ON6AT         599 0019   CR6K          599 1429
QSO: 28029 CW 2020-05-30 1228 ON6AT         599 0020   YL5T          599 0111
QSO: 28031 CW 2020-05-30 1232 ON6AT         599 0021   EA6FO         599 0842
QSO: 28042 CW 2020-05-30 1235 ON6AT         599 0022   SM5IMO        599 0323
QSO: 28043 CW 2020-05-30 1238 ON6AT         599 0023   Z32U          599 0299
QSO: 28047 CW 2020-05-30 1242 ON6AT         599 0024   IT9SSI        599 0305
QSO: 28050 CW 2020-05-30 1244 ON6AT         599 0025   3V8SS         599 1168
QSO: 28054 CW 2020-05-30 1245 ON6AT         599 0026   OH6AC         599 0696
QSO: 28019 CW 2020-05-30 1249 ON6AT         599 0027   EA1G          599 0121
QSO: 28033 CW 2020-05-30 1250 ON6AT         599 0028   OH5Z          599 0696
