START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: OE1CIW
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JN88EE
CLAIMED-SCORE: 862035
NAME: Ernst Michael Zitta
CREATED-BY: DXLog.net v2.4.21
SOAPBOX: 2020 CQ WPX CW Contest - Incredible propagation!!!
SOAPBOX: OE1CIW SO AB LP
SOAPBOX: OMG what a great contest - that really was a lot of fun, fun, fun .... and once more fun 😃.
SOAPBOX: I´m so happy to see that the shortwave bands were in an excellent shape despite of no sunspots! We had also big Sporadic-E openings almost the whole time! So for the first time i didn´t know which band i should use first - almost every kilohertz was occupied by any station ... was not easy to get a free space for calling CQ especially when using low power!
SOAPBOX: The crowd of stations was tremendous all over the time. Just the 36 hour rule for single operators has stopped my energy to work totally 48 hours. I was active day and night for slightly less than 36 hours.
SOAPBOX: When was the last time while i had 168 contacts on 15 m and 150 contacts (!) on 10 m actually ? It´s a long time ago when i saw the shortwave bands so crowded!!!
SOAPBOX: Because recently we had band openings at 10 and 15 m until late night i decided to try these bands first and it was a good decision. At 15 m i could also work some US stations in the first hour. I didn´t hear US stations anymore after this time on 15 m - just worked FY5FY at Saturday evening after 2100z (!) and PX2A after 1900z on the last day - no other station worked from South America.
SOAPBOX: Big surprise for me was ZR2A/4 on 40 m from South Africa which has been worked after the first call.
SOAPBOX: Nothing heard from any japanese station or VK/ZL, just heard some chinese BY stations but it seems they only have big power amplifiers but they´re always deaf.
SOAPBOX: I also had no luck with Chile ... CE3CT on 15 m and 3G2M on 20 m even though their signals were not weak. Same procedure with CJ3A from Canada on 20 m ... unfortunately he didn´t hear me.
SOAPBOX: I was glad to meet a lot of wellknown stations - e.g. MM3AWD Scott on 40 m with his last activity from his QTH in Scotland before his move to England and Mario DD7CW on 20 m.
SOAPBOX: Don´t forget it ... i´m using just 100 watts from a Elecraft K3 and simple wire antennas in the attic under the roof of the house - that´s all!
SOAPBOX: My contest logging software is DXLog 2.4.21 and the morse code key is my beloved HST II single lever key 3 .
SOAPBOX: These were my highlights during the contest:
SOAPBOX: 40 m: 48 x USA, WP2DX US Virgin Islands, ZR2A/4 South Africa, 4X6FR Israel
SOAPBOX: 20 m: 29 x USA, VE9CB Canada, WP2DX US Virgin Islands, WP4X Puerto Rico, D4Z Cap Verde,
SOAPBOX: VE3JM Canada, KP2M US Virgin Islands, TI7W Costa Rica, 4X6FR Israel
SOAPBOX: 15 m: 8 x USA, FY5FY French Guiana, PX2A Brazil, 9H1XT Malta
SOAPBOX: 10 m: 3V8SS Tunisia, 4X0A Israel, EF8R Canary Islands, LX2LX Luxembourg
SOAPBOX: Thank you so much for the awesome contest and thank you for every single contact! I hope to see you in the next contest 🙂
SOAPBOX: 73 de Mike OE1CIW
QSO: 21027 CW 2020-05-30 0001 OE1CIW        599 0001   NU5A          599 0002   0
QSO: 21012 CW 2020-05-30 0004 OE1CIW        599 0002   WW1X          599 0011   0
QSO: 21004 CW 2020-05-30 0011 OE1CIW        599 0003   NC8C          599 0010   0
QSO: 28026 CW 2020-05-30 0013 OE1CIW        599 0004   EA5O          599 0020   0
QSO: 28020 CW 2020-05-30 0014 OE1CIW        599 0005   M2L           599 0020   0
QSO: 28018 CW 2020-05-30 0021 OE1CIW        599 0006   EA1G          599 0023   0
QSO: 21030 CW 2020-05-30 0024 OE1CIW        599 0007   W8MJ          599 0023   0
QSO: 21037 CW 2020-05-30 0027 OE1CIW        599 0008   N5AW          599 0030   0
QSO: 21002 CW 2020-05-30 0033 OE1CIW        599 0009   WB5VZL        599 0046   0
QSO: 21024 CW 2020-05-30 0035 OE1CIW        599 0010   K2XA          599 0012   0
QSO: 21026 CW 2020-05-30 0040 OE1CIW        599 0011   LZ9W          599 0061   0
QSO: 21034 CW 2020-05-30 0045 OE1CIW        599 0012   EA6FO         599 0050   0
QSO: 21026 CW 2020-05-30 0047 OE1CIW        599 0013   KQ5J          599 0073   0
QSO:  1821 CW 2020-05-30 0049 OE1CIW        599 0014   S56X          599 0062   0
QSO:  1818 CW 2020-05-30 0051 OE1CIW        599 0015   DL6ZBN        599 0063   0
QSO:  1826 CW 2020-05-30 0052 OE1CIW        599 0016   EU4E          599 0057   0
QSO:  1828 CW 2020-05-30 0053 OE1CIW        599 0017   DQ2C          599 0065   0
QSO:  1832 CW 2020-05-30 0055 OE1CIW        599 0018   LZ9W          599 0057   0
QSO:  1841 CW 2020-05-30 0055 OE1CIW        599 0019   OK6W          599 0067   0
QSO:  1847 CW 2020-05-30 0056 OE1CIW        599 0020   OK6N          599 0043   0
QSO:  1835 CW 2020-05-30 0058 OE1CIW        599 0021   YT8A          599 0068   0
QSO:  1835 CW 2020-05-30 0059 OE1CIW        599 0022   EU6AF         599 0072   0
QSO:  1827 CW 2020-05-30 0104 OE1CIW        599 0023   YO9RIJ        599 0059   0
QSO:  3500 CW 2020-05-30 0106 OE1CIW        599 0024   OK7W          599 0129   0
QSO:  3504 CW 2020-05-30 0108 OE1CIW        599 0025   DA0BCC        599 0121   0
QSO:  3504 CW 2020-05-30 0108 OE1CIW        599 0026   DL6ZBN        599 0092   0
QSO:  3505 CW 2020-05-30 0109 OE1CIW        599 0027   ON5JT         599 0069   0
QSO:  3506 CW 2020-05-30 0111 OE1CIW        599 0028   IZ3NYG        599 0076   0
QSO:  3507 CW 2020-05-30 0112 OE1CIW        599 0029   LY1DZ         599 0106   0
QSO:  3508 CW 2020-05-30 0114 OE1CIW        599 0030   SO4P          599 0111   0
QSO:  7000 CW 2020-05-30 0116 OE1CIW        599 0031   DK8ZZ         599 0126   0
QSO:  7000 CW 2020-05-30 0117 OE1CIW        599 0032   KT6V          599 0130   0
QSO:  7000 CW 2020-05-30 0118 OE1CIW        599 0033   KC1XX         599 0218   0
QSO:  7001 CW 2020-05-30 0119 OE1CIW        599 0034   UP2L          599 0226   0
QSO:  7083 CW 2020-05-30 0122 OE1CIW        599 0035   W4NF          599 0116   0
QSO:  7082 CW 2020-05-30 0122 OE1CIW        599 0036   LA2AB         599 0080   0
QSO:  7081 CW 2020-05-30 0124 OE1CIW        599 0037   AD4TR         599 0053   0
QSO:  7080 CW 2020-05-30 0126 OE1CIW        599 0038   E7C           599 0080   0
QSO:  7080 CW 2020-05-30 0127 OE1CIW        599 0039   K3WU          599 0064   0
QSO:  7077 CW 2020-05-30 0128 OE1CIW        599 0040   US2YW         599 0165   0
QSO:  7070 CW 2020-05-30 0131 OE1CIW        599 0041   PA4O          599 0156   0
QSO:  7069 CW 2020-05-30 0132 OE1CIW        599 0042   RX3APM        599 0122   0
QSO:  7068 CW 2020-05-30 0132 OE1CIW        599 0043   HG3R          599 0204   0
QSO:  7068 CW 2020-05-30 0133 OE1CIW        599 0044   N3RD          599 0182   0
QSO:  7067 CW 2020-05-30 0135 OE1CIW        599 0045   AG3I          599 0073   0
QSO:  7067 CW 2020-05-30 0136 OE1CIW        599 0046   YP8T          599 0130   0
QSO:  7066 CW 2020-05-30 0137 OE1CIW        599 0047   YT6W          599 0273   0
QSO:  7065 CW 2020-05-30 0137 OE1CIW        599 0048   UA5C          599 0053   0
QSO:  7065 CW 2020-05-30 0139 OE1CIW        599 0049   KM9P          599 0233   0
QSO:  7064 CW 2020-05-30 0140 OE1CIW        599 0050   DL3GA         599 0179   0
QSO:  7063 CW 2020-05-30 0142 OE1CIW        599 0051   WC1M          599 0178   0
QSO:  7061 CW 2020-05-30 0147 OE1CIW        599 0052   WW2Y          599 0284   0
QSO:  7060 CW 2020-05-30 0148 OE1CIW        599 0053   K4ZW          599 0168   0
QSO:  7056 CW 2020-05-30 0152 OE1CIW        599 0054   WD4F          599 0089   0
QSO:  7052 CW 2020-05-30 0158 OE1CIW        599 0055   K4XL          599 0139   0
QSO:  7052 CW 2020-05-30 0159 OE1CIW        599 0056   AK1W          599 0285   0
QSO:  7049 CW 2020-05-30 0200 OE1CIW        599 0057   LZ8E          599 0243   0
QSO:  7048 CW 2020-05-30 0201 OE1CIW        599 0058   RT2C          599 0239   0
QSO: 14003 CW 2020-05-30 0205 OE1CIW        599 0059   NN3L          599 0249   0
QSO: 14002 CW 2020-05-30 0208 OE1CIW        599 0060   KV2K          599 0259   0
QSO: 14007 CW 2020-05-30 0210 OE1CIW        599 0061   LZ5R          599 0557   0
QSO: 14061 CW 2020-05-30 0216 OE1CIW        599 0062   N2MM          599 0181   0
QSO: 14050 CW 2020-05-30 0218 OE1CIW        599 0063   RG9A          599 0193   0
QSO: 14046 CW 2020-05-30 0220 OE1CIW        599 0064   AK1W          599 0348   0
QSO: 14043 CW 2020-05-30 0221 OE1CIW        599 0065   WW1X          599 0189   0
QSO: 14027 CW 2020-05-30 0223 OE1CIW        599 0066   N3RD          599 0274   0
QSO: 14027 CW 2020-05-30 0224 OE1CIW        599 0067   RC9A          599 0029   0
QSO: 14026 CW 2020-05-30 0225 OE1CIW        599 0068   UB7K          599 0388   0
QSO: 14025 CW 2020-05-30 0226 OE1CIW        599 0069   RU9SO         599 0072   0
QSO:  7041 CW 2020-05-30 0233 OE1CIW        599 0070   DQ4Q          599 0253   0
QSO:  7039 CW 2020-05-30 0234 OE1CIW        599 0071   K1KI          599 0304   0
QSO:  7039 CW 2020-05-30 0235 OE1CIW        599 0072   YU7KW         599 0229   0
QSO:  7038 CW 2020-05-30 0236 OE1CIW        599 0073   IR2Q          599 0409   0
QSO:  7037 CW 2020-05-30 0237 OE1CIW        599 0074   UT5C          599 0376   0
QSO:  7036 CW 2020-05-30 0238 OE1CIW        599 0075   YU5A          599 0165   0
QSO:  7035 CW 2020-05-30 0238 OE1CIW        599 0076   UB6B          599 0226   0
QSO:  7028 CW 2020-05-30 0240 OE1CIW        599 0077   K3RA          599 0302   0
QSO:  7026 CW 2020-05-30 0245 OE1CIW        599 0078   KB1W          599 0274   0
QSO:  7026 CW 2020-05-30 0246 OE1CIW        599 0079   HA8A          599 0400   0
QSO:  1834 CW 2020-05-30 0255 OE1CIW        599 0080   9A2AJ         599 0128   0
QSO:  1833 CW 2020-05-30 0257 OE1CIW        599 0081   OL9R          599 0072   0
QSO:  1832 CW 2020-05-30 0302 OE1CIW        599 0082   HG0R          599 0160   0
QSO:  1824 CW 2020-05-30 0308 OE1CIW        599 0083   OM2XW         599 0107   0
QSO:  7032 CW 2020-05-30 0311 OE1CIW        599 0084   ES5RR         599 0446   0
QSO:  7033 CW 2020-05-30 0312 OE1CIW        599 0085   LZ5R          599 0789   0
QSO:  7092 CW 2020-05-30 0313 OE1CIW        599 0086   E7CW          599 0213   0
QSO:  7091 CW 2020-05-30 0314 OE1CIW        599 0087   R6CC          599 0125   0
QSO:  7086 CW 2020-05-30 0315 OE1CIW        599 0088   IT9ESW        599 0147   0
QSO:  7085 CW 2020-05-30 0316 OE1CIW        599 0089   KS9K          599 0209   0
QSO:  7082 CW 2020-05-30 0318 OE1CIW        599 0090   OP7B          599 0027   0
QSO:  7082 CW 2020-05-30 0319 OE1CIW        599 0091   NA8V          599 0389   0
QSO:  7079 CW 2020-05-30 0321 OE1CIW        599 0092   DL6MHW        599 0135   0
QSO:  7079 CW 2020-05-30 0322 OE1CIW        599 0093   LY3B          599 0240   0
QSO:  7081 CW 2020-05-30 0322 OE1CIW        599 0094   UR6EA         599 0317   0
QSO:  7089 CW 2020-05-30 0325 OE1CIW        599 0095   UX2FX         599 0049   0
QSO:  7088 CW 2020-05-30 0326 OE1CIW        599 0096   PA3AAV        599 0223   0
QSO:  7085 CW 2020-05-30 0328 OE1CIW        599 0097   OH0V          599 0464   0
QSO:  7080 CW 2020-05-30 0330 OE1CIW        599 0098   WP4X          599 0461   0
QSO:  7073 CW 2020-05-30 0331 OE1CIW        599 0099   I2VXJ         599 0337   0
QSO:  7069 CW 2020-05-30 0332 OE1CIW        599 0100   LZ3ZZ         599 0251   0
QSO:  7068 CW 2020-05-30 0335 OE1CIW        599 0101   NX3U          599 0381   0
QSO:  7067 CW 2020-05-30 0337 OE1CIW        599 0102   DK2OY         599 0287   0
QSO:  3546 CW 2020-05-30 0339 OE1CIW        599 0103   RW2F          599 0336   0
QSO:  3546 CW 2020-05-30 0340 OE1CIW        599 0104   OL3A          599 0361   0
QSO:  3546 CW 2020-05-30 0340 OE1CIW        599 0105   HA1A          599 0299   0
QSO:  3546 CW 2020-05-30 0341 OE1CIW        599 0106   9A2X          599 0272   0
QSO:  3546 CW 2020-05-30 0342 OE1CIW        599 0107   EW1M          599 0225   0
QSO:  3546 CW 2020-05-30 0342 OE1CIW        599 0108   HA1TJ         599 0304   0
QSO:  3546 CW 2020-05-30 0343 OE1CIW        599 0109   HA7UI         599 0267   0
QSO:  3546 CW 2020-05-30 0344 OE1CIW        599 0110   OL4W          599 0252   0
QSO:  3546 CW 2020-05-30 0344 OE1CIW        599 0111   SN7O          599 0346   0
QSO:  3546 CW 2020-05-30 0345 OE1CIW        599 0112   SP2AEK        599 0162   0
QSO:  3546 CW 2020-05-30 0346 OE1CIW        599 0113   DL1MGB        599 0219   0
QSO:  3544 CW 2020-05-30 0348 OE1CIW        599 0114   S52NR         599 0164   0
QSO:  3542 CW 2020-05-30 0348 OE1CIW        599 0115   OL5J          599 0274   0
QSO:  3539 CW 2020-05-30 0349 OE1CIW        599 0116   OM7RU         599 0303   0
QSO:  3535 CW 2020-05-30 0350 OE1CIW        599 0117   OM4Q          599 0319   0
QSO:  3532 CW 2020-05-30 0350 OE1CIW        599 0118   LZ9W          599 0312   0
QSO:  3504 CW 2020-05-30 0405 OE1CIW        599 0119   OE2S          599 0107   0
QSO:  3506 CW 2020-05-30 0406 OE1CIW        599 0120   HG4F          599 0342   0
QSO:  3512 CW 2020-05-30 0408 OE1CIW        599 0121   OQ5M          599 0449   0
QSO:  3512 CW 2020-05-30 0409 OE1CIW        599 0122   YU1ED         599 0232   0
QSO:  3513 CW 2020-05-30 0411 OE1CIW        599 0123   DL8ULF        599 0112   0
QSO:  3517 CW 2020-05-30 0412 OE1CIW        599 0124   YL6Z          599 0310   0
QSO:  3522 CW 2020-05-30 0414 OE1CIW        599 0125   SP2GMA        599 0057   0
