START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: JR2UQU
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 252
NAME: Yasumitsu Takegami
CREATED-BY:
SOAPBOX: It's my first to enter log outside Japan. It's wonderful!
QSO: 14062 CW 2020-05-30 0106 JR2UQU 599 1  JK7DWD      599 24
QSO: 14062 CW 2020-05-30 0112 JR2UQU 599 2  RL9Y        599 136
QSO: 14056 CW 2020-05-30 0214 JR2UQU 599 3  JH1DWQ      599 27
QSO: 14054 CW 2020-05-30 0217 JR2UQU 599 4  R5AJ        599 123
QSO: 14000 CW 2020-05-30 0222 JR2UQU 599 5  JH7QXJ      599 83
QSO: 14036 CW 2020-05-30 0231 JR2UQU 599 6  JR3BOT      599 83
QSO: 14027 CW 2020-05-30 0237 JR2UQU 599 7  8J17CALL    599 20
QSO: 14011 CW 2020-05-30 0254 JR2UQU 599 8  RC0L        599 96
QSO: 14029 CW 2020-05-30 0313 JR2UQU 599 9  BH4TQX      599 86
QSO: 14029 CW 2020-05-30 0318 JR2UQU 599 10 OH5STAYHOME 599 110
QSO: 14201 CW 2020-05-30 0405 JR2UQU 599 11 JE6WOQ      599 114
QSO: 14034 CW 2020-05-30 0413 JR2UQU 599 12 6K2EGQ      599 93
QSO: 14040 CW 2020-05-30 0419 JR2UQU 599 13 JA7NVF      599 222
QSO: 14048 CW 2020-05-30 0451 JR2UQU 599 14 KC7V        599 358
END-OF-LOG:
