START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: DJ7PRM
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR: JO30NS
CLAIMED-SCORE: 4500
NAME: Harald
OPERATORS: DJ7PRM
CLUB: DARC
CREATED-BY: N1MM Logger+ 1.0.8418.0
SOAPBOX: 4W wid FT-817 es Kungfutenna and a lot of noise. hpe 500 Hz
SOAPBOX: filter es 50 Hz audiofilter help a bit. gl hf
QSO: 28038 CW 2020-05-30 0816 DJ7PRM        599 0001   EA7A          599 0202
QSO: 28061 CW 2020-05-30 0829 DJ7PRM        599 0002   OH9W          599 0031
QSO: 28002 CW 2020-05-30 0833 DJ7PRM        599 0003   LY4L          599 0809
QSO: 28067 CW 2020-05-30 0846 DJ7PRM        599 0004   SM5CSS        599 0234
QSO: 28063 CW 2020-05-30 0902 DJ7PRM        599 0005   SP5AUY        599 0234
QSO: 28027 CW 2020-05-30 0957 DJ7PRM        599 0006   DL8BH         599 0105
QSO: 28037 CW 2020-05-30 0959 DJ7PRM        599 0007   SD6F          599 0205
QSO: 28000 CW 2020-05-30 1001 DJ7PRM        599 0008   E77A          599 0439
QSO: 28004 CW 2020-05-30 1005 DJ7PRM        599 0009   OG55W         599 0388
QSO: 28011 CW 2020-05-30 1006 DJ7PRM        599 0010   MX7DX         599 1173
QSO: 28009 CW 2020-05-30 1008 DJ7PRM        599 0011   LN8W          599 0391
QSO: 28007 CW 2020-05-30 1009 DJ7PRM        599 0012   LZ3ND         599 0310
QSO: 28008 CW 2020-05-30 1012 DJ7PRM        599 0013   M4J           599 0068
QSO: 28011 CW 2020-05-30 1014 DJ7PRM        599 0014   IB9T          599 0591
QSO: 28001 CW 2020-05-30 1015 DJ7PRM        599 0015   YL2VW         599 0647
QSO: 28000 CW 2020-05-30 1017 DJ7PRM        599 0016   LY2J          599 0543
QSO: 28002 CW 2020-05-30 1019 DJ7PRM        599 0017   G4PVW         599 0373
QSO: 28001 CW 2020-05-30 1021 DJ7PRM        599 0018   EA1VT         599 0082
QSO: 28037 CW 2020-05-30 1027 DJ7PRM        599 0019   EB5A          599 0989
QSO: 28003 CW 2020-05-30 1048 DJ7PRM        599 0020   TM73E         599 0540
QSO: 28005 CW 2020-05-30 1051 DJ7PRM        599 0021   TM5T          599 0770
QSO: 28012 CW 2020-05-30 1057 DJ7PRM        599 0022   GW4J          599 0109
QSO: 28033 CW 2020-05-30 1104 DJ7PRM        599 0023   OH5Z          599 0590
QSO: 28004 CW 2020-05-30 1108 DJ7PRM        599 0024   SD1A          599 0222
QSO: 28054 CW 2020-05-30 1117 DJ7PRM        599 0025   OH6AC         599 0559
QSO: 28065 CW 2020-05-30 1119 DJ7PRM        599 0026   OH1F          599 1225
QSO: 28057 CW 2020-05-30 1129 DJ7PRM        599 0027   IT9SSI        599 0234
QSO: 28061 CW 2020-05-30 1132 DJ7PRM        599 0028   LA7THA        599 0049
QSO: 28043 CW 2020-05-30 1138 DJ7PRM        599 0029   EF1A          599 0290
QSO: 28049 CW 2020-05-30 1143 DJ7PRM        599 0030   ES5RR         599 1051
QSO: 28055 CW 2020-05-30 1150 DJ7PRM        599 0031   2E0CVN        599 0302
QSO: 28055 CW 2020-05-30 1155 DJ7PRM        599 0032   F5PHY         599 0066
QSO: 28014 CW 2020-05-30 1206 DJ7PRM        599 0033   SE5E          599 1058
QSO: 28019 CW 2020-05-30 1209 DJ7PRM        599 0034   EA1G          599 0049
QSO:  7010 CW 2020-05-30 1226 DJ7PRM        599 0035   DQ0Z          599 0698
QSO:  7021 CW 2020-05-30 1229 DJ7PRM        599 0036   SQ3MZU        599 0124
QSO:  7022 CW 2020-05-30 1230 DJ7PRM        599 0037   OK7Y          599 0443
QSO:  7024 CW 2020-05-30 1234 DJ7PRM        599 0038   IZ3NYG        599 0532
QSO:  7025 CW 2020-05-30 1236 DJ7PRM        599 0039   UR5WCQ        599 0271
QSO:  7026 CW 2020-05-30 1238 DJ7PRM        599 0040   OK2HBR        599 0156
QSO: 14000 CW 2020-05-30 1244 DJ7PRM        599 0041   IK3UNA        599 0643
QSO: 28011 CW 2020-05-30 1435 DJ7PRM        599 0042   YT5A          599 0574
QSO: 28023 CW 2020-05-30 1441 DJ7PRM        599 0043   LZ9W          599 0649
QSO: 28009 CW 2020-05-30 1445 DJ7PRM        599 0044   EI20C         599 1448
QSO: 28018 CW 2020-05-30 1447 DJ7PRM        599 0045   IO6A          599 0815
QSO: 28032 CW 2020-05-30 1454 DJ7PRM        599 0046   SI9AM         599 0483
QSO: 21052 CW 2020-05-30 1501 DJ7PRM        599 0047   YU1LA         599 0286
QSO: 21005 CW 2020-05-30 1506 DJ7PRM        599 0048   YT5A          599 0688
QSO: 21010 CW 2020-05-30 1508 DJ7PRM        599 0049   US2YW         599 1278
QSO: 21035 CW 2020-05-30 1512 DJ7PRM        599 0050   Z39A          599 0052
QSO: 21019 CW 2020-05-30 1515 DJ7PRM        599 0051   HG6N          599 1921
QSO: 21040 CW 2020-05-30 1517 DJ7PRM        599 0052   OM7JG         599 1063
QSO: 21049 CW 2020-05-30 1519 DJ7PRM        599 0053   HG7T          599 0260
QSO: 21023 CW 2020-05-30 1523 DJ7PRM        599 0054   II9P          599 1403
QSO: 21039 CW 2020-05-30 1526 DJ7PRM        599 0055   9A4W          599 0821
QSO: 21009 CW 2020-05-30 1531 DJ7PRM        599 0056   ED7O          599 0307
QSO:  7021 CW 2020-05-31 0407 DJ7PRM        599 0057   HG2R          599 2315
QSO:  7022 CW 2020-05-31 0409 DJ7PRM        599 0058   LZ7A          599 1352
QSO:  7026 CW 2020-05-31 0412 DJ7PRM        599 0059   9A7A          599 3399
QSO:  7027 CW 2020-05-31 0419 DJ7PRM        599 0060   HG7T          599 1439
QSO:  7028 CW 2020-05-31 0421 DJ7PRM        599 0061   OU2V          599 0679
QSO:  7028 CW 2020-05-31 0427 DJ7PRM        599 0062   UZ3A          599 1949
QSO:  7030 CW 2020-05-31 0439 DJ7PRM        599 0063   HA8DU         599 1266
END-OF-LOG:
