START-OF-LOG: 3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WW-CW
CALLSIGN:      ZL2AGY
CLAIMED-SCORE: 635205
NAME:          TONY H Marr
OPERATORS:     ZL2AGY ZL2JU
SOAPBOX:       Lower bands noisy, but great to have action on 15mx,
SOAPBOX:       and even on 10mx.Thanks to Les ZL2JU for hosting our
SOAPBOX:       operation again.
SOAPBOX:       (Please note - this was one transmitter only - no
SOAPBOX:       multiplier radio).
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-ASSISTED: ASSISTED
CATEGORY-STATION: FIXED
QSO: 14001 CW 2009-11-28 0012 ZL2AGY        599 32     TX3A          599 30
QSO: 14045 CW 2009-11-28 0030 ZL2AGY        599 32     JA3YBK        599 25
QSO: 21023 CW 2009-11-28 0037 ZL2AGY        599 32     JF1PJK        599 25
QSO: 21026 CW 2009-11-28 0041 ZL2AGY        599 32     KH7B          599 31
QSO: 21028 CW 2009-11-28 0042 ZL2AGY        599 32     JA3YBK        599 25
QSO: 21036 CW 2009-11-28 0043 ZL2AGY        599 32     JA5FDJ        599 25
QSO: 21052 CW 2009-11-28 0047 ZL2AGY        599 32     AH0/AH2Y      599 27
QSO: 21042 CW 2009-11-28 0049 ZL2AGY        599 32     BV7FC         599 24
QSO: 21037 CW 2009-11-28 0051 ZL2AGY        599 32     RW0LT         599 19
QSO: 21015 CW 2009-11-28 0108 ZL2AGY        599 32     WH2D          599 27
QSO: 21001 CW 2009-11-28 0112 ZL2AGY        599 32     TX3A          599 30
QSO: 21009 CW 2009-11-28 0115 ZL2AGY        599 32     KH6LC         599 31
QSO: 21012 CW 2009-11-28 0119 ZL2AGY        599 32     A31A          599 32
QSO: 21015 CW 2009-11-28 0127 ZL2AGY        599 32     JA7KY         599 25
QSO: 21015 CW 2009-11-28 0129 ZL2AGY        599 32     JE6CAJ        599 25
QSO: 21015 CW 2009-11-28 0130 ZL2AGY        599 32     JA5DQH        599 25
