START-OF-LOG: 3.0
CREATED-BY: Win-Test 3.19.0
CONTEST: CQ-WW-CW
CALLSIGN: DR1A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 16328952
OPERATORS: DB6JG DF6JC DJ6ET DJ7EG DJ7EO DK1BT DK6WL DL1DVE DL1MGB DL2HBX DL4WG
OPERATORS: DL5CW DL6FBL DL6LAU DL8DYL DL8WPX DL9DRA PC5A
CLUB: Bavarian Contest Club
NAME: Conteststation DR1A
SOAPBOX:
QSO:  1829 CW 2009-11-28 0000 DR1A          599 14     G4IIY         599 14     0
QSO: 14013 CW 2009-11-28 0000 DR1A          599 14     LY7A          599 15     0
QSO:  3528 CW 2009-11-28 0000 DR1A          599 14     W9SE          599 04     0
QSO:  1829 CW 2009-11-28 0000 DR1A          599 14     W3UA          599 05     0
QSO:  7026 CW 2009-11-28 0000 DR1A          599 14     LZ1ONK        599 20     0
QSO:  1829 CW 2009-11-28 0000 DR1A          599 14     K3LR          599 05     0
QSO:  3528 CW 2009-11-28 0000 DR1A          599 14     W1HR          599 05     0
QSO:  3528 CW 2009-11-28 0001 DR1A          599 14     W6IZT         599 05     0
QSO:  1829 CW 2009-11-28 0001 DR1A          599 14     N4TZ          599 04     0
QSO:  3528 CW 2009-11-28 0001 DR1A          599 14     K3TM          599 05     0
QSO:  1829 CW 2009-11-28 0001 DR1A          599 14     NR4M          599 05     0
QSO:  3528 CW 2009-11-28 0001 DR1A          599 14     K9RS          599 05     0
QSO:  1829 CW 2009-11-28 0001 DR1A          599 14     K5RX          599 04     0
QSO:  3528 CW 2009-11-28 0001 DR1A          599 14     VE3EJ         599 04     0
QSO:  7026 CW 2009-11-28 0001 DR1A          599 14     WB4ROA        599 05     0
QSO:  3528 CW 2009-11-28 0001 DR1A          599 14     EV8D          599 16     0
QSO: 14013 CW 2009-11-28 0002 DR1A          599 14     LY4G          599 15     0
QSO:  3528 CW 2009-11-28 0002 DR1A          599 14     SM5CNQ        599 14     0
QSO:  1829 CW 2009-11-28 0002 DR1A          599 14     W0AIH         599 04     0
QSO:  7026 CW 2009-11-28 0002 DR1A          599 14     K3CXB         599 05     0
QSO:  3528 CW 2009-11-28 0002 DR1A          599 14     SO9S          599 15     0
QSO:  1829 CW 2009-11-28 0002 DR1A          599 14     K3LR          599 05     0
QSO: 14013 CW 2009-11-28 0002 DR1A          599 14     LX7I          599 14     0
QSO:  7026 CW 2009-11-28 0002 DR1A          599 14     RU3SE         599 16     0
QSO:  1829 CW 2009-11-28 0002 DR1A          599 14     K4PI          599 05     0
QSO:  3528 CW 2009-11-28 0002 DR1A          599 14     SP2SWI        599 15     0
QSO:  7026 CW 2009-11-28 0002 DR1A          599 14     WX0B          599 04     0
QSO:  7026 CW 2009-11-28 0003 DR1A          599 14     W1KM          599 05     0
QSO:  1829 CW 2009-11-28 0003 DR1A          599 14     W3LPL         599 05     0
QSO:  3528 CW 2009-11-28 0003 DR1A          599 14     RD3FY         599 16     0
QSO:  3528 CW 2009-11-28 0003 DR1A          599 14     EA8URL        599 33     0
QSO:  1829 CW 2009-11-28 0003 DR1A          599 14     G4EDG         599 14     0
QSO: 21012 CW 2009-11-28 0003 DR1A          599 14     EE2W          599 14     0
QSO:  7026 CW 2009-11-28 0003 DR1A          599 14     UA9QQ         599 17     0
QSO:  1829 CW 2009-11-28 0003 DR1A          599 14     I2WIJ         599 15     0
QSO:  1829 CW 2009-11-28 0004 DR1A          599 14     K1LT          599 04     0
QSO:  3528 CW 2009-11-28 0004 DR1A          599 14     VO1HX         599 05     0
QSO:  1829 CW 2009-11-28 0004 DR1A          599 14     Z35X          599 15     0
QSO:  7026 CW 2009-11-28 0004 DR1A          599 14     K1TTT         599 05     0
QSO:  1829 CW 2009-11-28 0004 DR1A          599 14     N8EA          599 04     0
QSO:  7026 CW 2009-11-28 0004 DR1A          599 14     SN3W          599 15     0
QSO:  7026 CW 2009-11-28 0005 DR1A          599 14     N1UR          599 05     0
QSO:  3528 CW 2009-11-28 0005 DR1A          599 14     RA9AE         599 17     0
QSO:  7026 CW 2009-11-28 0005 DR1A          599 14     RX3AT         599 16     0
QSO:  3528 CW 2009-11-28 0005 DR1A          599 14     OK7Y          599 15     0
QSO:  7026 CW 2009-11-28 0005 DR1A          599 14     K2TTT         599 05     0
QSO:  1829 CW 2009-11-28 0005 DR1A          599 14     K2XX          599 05     0
QSO:  3528 CW 2009-11-28 0005 DR1A          599 14     VA2WDQ        599 05     0
QSO:  7026 CW 2009-11-28 0006 DR1A          599 14     LZ1DNY        599 20     0
QSO: 14022 CW 2009-11-28 0006 DR1A          599 14     RW0CWA        599 19     0
QSO:  1829 CW 2009-11-28 0006 DR1A          599 14     OM4DN         599 15     0
QSO:  3528 CW 2009-11-28 0006 DR1A          599 14     G4WGE         599 14     0
QSO: 14013 CW 2009-11-28 0006 DR1A          599 14     LN9Z          599 14     0
QSO:  7026 CW 2009-11-28 0006 DR1A          599 14     4L6QC         599 21     0
QSO: 14013 CW 2009-11-28 0006 DR1A          599 14     OK3MAD        599 15     0
QSO:  1829 CW 2009-11-28 0006 DR1A          599 14     OH5NE         599 15     0
QSO:  1829 CW 2009-11-28 0007 DR1A          599 14     GM7V          599 14     0
QSO:  7026 CW 2009-11-28 0007 DR1A          599 14     W4HYT         599 04     0
QSO:  1829 CW 2009-11-28 0007 DR1A          599 14     RU0AW         599 18     0
QSO: 14013 CW 2009-11-28 0007 DR1A          599 14     UY4WWA        599 16     0
QSO:  3528 CW 2009-11-28 0007 DR1A          599 14     G4RCD         599 14     0
QSO:  1829 CW 2009-11-28 0007 DR1A          599 14     W9RE          599 04     0
QSO:  7026 CW 2009-11-28 0007 DR1A          599 14     K4PB          599 05     0
QSO:  3528 CW 2009-11-28 0007 DR1A          599 14     G6PZ          599 14     0
QSO:  7026 CW 2009-11-28 0007 DR1A          599 14     K5WA          599 04     0
QSO:  1829 CW 2009-11-28 0007 DR1A          599 14     K1UO          599 05     0
QSO:  7026 CW 2009-11-28 0008 DR1A          599 14     AB3CX         599 05     0
QSO: 14019 CW 2009-11-28 0008 DR1A          599 14     SK3W          599 14     0
QSO:  7026 CW 2009-11-28 0008 DR1A          599 14     UT2UZ         599 16     0
QSO:  7026 CW 2009-11-28 0008 DR1A          599 14     KT3Y          599 05     0
