START-OF-LOG: 3.0
CREATED-BY: LM Version 4.3 (c) 1992, 2008 by DL8WAA
CONTEST: CQ-WW-CW
CALLSIGN: DL2SWN
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 92082
OPERATORS: DL2SWN
CLUB:
NAME: Klaus Wiese
SOAPBOX: It was big fun once again. Many thanks to all participants!
LOCATION: DX
QSO:  7000 CW 2009-11-28 0755 DL2SWN        599 14     HC8GR         599 10     0
QSO:  7000 CW 2009-11-28 0758 DL2SWN        599 14     EI6DX         599 14     0
QSO:  7000 CW 2009-11-28 0802 DL2SWN        599 14     VP2V/DL7VOG   599 08     0
QSO:  7000 CW 2009-11-28 0807 DL2SWN        599 14     8P9SS         599 8      0
QSO:  7000 CW 2009-11-28 0820 DL2SWN        599 14     YN2GY         599 7      0
QSO:  7000 CW 2009-11-28 0830 DL2SWN        599 14     ZF2AM         599 8      0
QSO:  7000 CW 2009-11-28 0830 DL2SWN        599 14     8P5A          599 8      0
QSO:  7000 CW 2009-11-28 0832 DL2SWN        599 14     YW4D          599 9      0
QSO:  7000 CW 2009-11-28 0851 DL2SWN        599 14     GM0F          599 14     0
QSO: 21000 CW 2009-11-28 0856 DL2SWN        599 14     XV2MDY        599 26     0
QSO: 21000 CW 2009-11-28 0858 DL2SWN        599 14     VK6AA         599 29     0
QSO: 21000 CW 2009-11-28 0903 DL2SWN        599 14     C91LW         599 37     0
QSO: 21000 CW 2009-11-28 0906 DL2SWN        599 14     JY6HQ         599 20     0
QSO: 21000 CW 2009-11-28 0910 DL2SWN        599 14     LX7I          599 14     0
QSO: 21000 CW 2009-11-28 0913 DL2SWN        599 14     6W1RW         599 35     0
QSO: 21000 CW 2009-11-28 0916 DL2SWN        599 14     CR3L          599 33     0
QSO: 21000 CW 2009-11-28 0918 DL2SWN        599 14     ZC4LI         599 20     0
QSO: 21000 CW 2009-11-28 0919 DL2SWN        599 14     ZC4T          599 20     0
QSO: 21000 CW 2009-11-28 0927 DL2SWN        599 14     MD4K          599 14     0
QSO: 21000 CW 2009-11-28 0938 DL2SWN        599 14     ST2AR         599 34     0
QSO: 21000 CW 2009-11-28 0939 DL2SWN        599 14     5R8ZO         599 39     0
QSO: 21000 CW 2009-11-28 0953 DL2SWN        599 14     5N7M          599 35     0
QSO: 21000 CW 2009-11-28 0956 DL2SWN        599 14     5N0OCH        599 35     0
QSO: 28000 CW 2009-11-28 1001 DL2SWN        599 14     9J3A          599 36     0
QSO: 28000 CW 2009-11-28 1004 DL2SWN        599 14     ZS4TX         599 38     0
QSO: 21000 CW 2009-11-28 1029 DL2SWN        599 14     VK6IR         599 29     0
QSO: 28000 CW 2009-11-28 1109 DL2SWN        599 14     9H3HH         599 15     0
QSO: 21000 CW 2009-11-28 1115 DL2SWN        599 14     5H3EE         599 37     0
QSO: 21000 CW 2009-11-28 1119 DL2SWN        599 14     VK3TDX        599 30     0
QSO: 21000 CW 2009-11-28 1122 DL2SWN        599 14     9L5A          599 35     0
QSO: 21000 CW 2009-11-28 1138 DL2SWN        599 14     A73A          599 21     0
QSO: 21000 CW 2009-11-28 1139 DL2SWN        599 14     RX9TL/9       599 16     0
QSO: 21000 CW 2009-11-28 1146 DL2SWN        599 14     D44AC         599 35     0
QSO: 21000 CW 2009-11-28 1151 DL2SWN        599 14     9A5K          599 15     0
QSO: 21000 CW 2009-11-28 1154 DL2SWN        599 14     YB1KAR        599 28     0
QSO: 21000 CW 2009-11-28 1202 DL2SWN        599 14     9J3A          599 36     0
QSO: 21000 CW 2009-11-28 1205 DL2SWN        599 14     V47NT         599 08     0
QSO: 21000 CW 2009-11-28 1208 DL2SWN        599 14     YD1XUH        599 28     0
QSO: 21000 CW 2009-11-28 1210 DL2SWN        599 14     YD1BJX        599 28     0
QSO: 21000 CW 2009-11-28 1213 DL2SWN        599 14     NP4Z          599 08     0
QSO: 21000 CW 2009-11-28 1216 DL2SWN        599 14     3G3V          599 12     0
QSO: 21000 CW 2009-11-28 1219 DL2SWN        599 14     IS0/K7QB      599 15     0
QSO: 21000 CW 2009-11-28 1224 DL2SWN        599 14     HC8GR         599 10     0
QSO: 21000 CW 2009-11-28 1240 DL2SWN        599 14     VQ5V          599 08     0
QSO: 21000 CW 2009-11-28 1243 DL2SWN        599 14     TA1C/2        599 20     0
QSO: 21000 CW 2009-11-28 1246 DL2SWN        599 14     PT5A          599 11     0
QSO: 14000 CW 2009-11-28 1257 DL2SWN        599 14     FM5CD         599 08     0
QSO: 14000 CW 2009-11-28 1300 DL2SWN        599 14     K5GO          599 04     0
QSO: 14000 CW 2009-11-28 1301 DL2SWN        599 14     P40A          599 09     0
QSO: 14000 CW 2009-11-28 1305 DL2SWN        599 14     OH0Z          599 15     0
QSO: 14000 CW 2009-11-28 1310 DL2SWN        599 14     YN2GY         599 07     0
QSO: 14000 CW 2009-11-28 1312 DL2SWN        599 14     VP5CM         599 08     0
QSO: 14000 CW 2009-11-28 1316 DL2SWN        599 14     VK9XW         599 29     0
QSO: 14000 CW 2009-11-28 1325 DL2SWN        599 14     9L5A          599 35     0
QSO: 14000 CW 2009-11-28 1326 DL2SWN        599 14     VK6AA         599 29     0
QSO: 14000 CW 2009-11-28 1328 DL2SWN        599 14     HC8GR         599 10     0
QSO: 21000 CW 2009-11-28 1330 DL2SWN        599 14     VY2SS         599 05     0
QSO: 21000 CW 2009-11-28 1332 DL2SWN        599 14     K1LZ          599 05     0
QSO: 14000 CW 2009-11-28 1336 DL2SWN        599 14     TI5A          599 07     0
QSO: 14000 CW 2009-11-28 1357 DL2SWN        599 14     YS4U          599 07     0
QSO: 14000 CW 2009-11-28 1358 DL2SWN        599 14     P49V          599 09     0
QSO: 14000 CW 2009-11-28 1359 DL2SWN        599 14     RW2F          599 15     0
QSO: 14000 CW 2009-11-28 1402 DL2SWN        599 14     ZF2AM         599 08     0
QSO: 14000 CW 2009-11-28 1412 DL2SWN        599 14     PZ5X          599 09     0
QSO: 14000 CW 2009-11-28 1413 DL2SWN        599 14     N4UU          599 05     0
QSO: 14000 CW 2009-11-28 1414 DL2SWN        599 14     W9RE          599 04     0
QSO: 21000 CW 2009-11-28 1426 DL2SWN        599 14     ZW5UN         599 11     0
QSO: 21000 CW 2009-11-28 1431 DL2SWN        599 14     CR2X          599 14     0
QSO: 14000 CW 2009-11-28 1436 DL2SWN        599 14     WX0B          599 04     0
