START-OF-LOG: 3.0
CALLSIGN: CE2/K0MD
CLUB: Minnesota Wireless Assn
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 27744
OPERATORS: K0MD
NAME: Scott Wright
CREATED-BY: N1MM Logger V9.11.0
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 14014 CW 2009-11-28 0121 CE2/K0MD	    599 12     KC1XX	     599 05
QSO: 14014 CW 2009-11-28 0122 CE2/K0MD	    599 12     W1MU	     599 05
QSO: 14014 CW 2009-11-28 0123 CE2/K0MD	    599 12     N4TB	     599 05
QSO: 14014 CW 2009-11-28 0124 CE2/K0MD	    599 12     W6JZH	     599 03
QSO: 14014 CW 2009-11-28 0127 CE2/K0MD	    599 12     K1LZ	     599 05
QSO: 14044 CW 2009-11-28 0131 CE2/K0MD	    599 12     PP5BZ	     599 11
QSO: 14060 CW 2009-11-28 0134 CE2/K0MD	    599 12     K1TTT	     599 05
QSO: 14072 CW 2009-11-28 0137 CE2/K0MD	    599 12     KH6ZN	     599 31
QSO: 14009 CW 2009-11-28 0141 CE2/K0MD	    599 12     B1Z        599 24
QSO: 14016 CW 2009-11-28 0146 CE2/K0MD	    599 12     ZW5UN	     599 11
QSO: 14061 CW 2009-11-28 0149 CE2/K0MD	    599 12     DP1POL	     599 38
QSO: 14053 CW 2009-11-28 0155 CE2/K0MD	    599 12     RU0LL	     599 19
QSO: 14053 CW 2009-11-28 0203 CE2/K0MD	    599 12     RU0LL	     599 19
QSO: 14050 CW 2009-11-28 0206 CE2/K0MD	    599 12     CE7/F6BFH  599 12
QSO: 14043 CW 2009-11-28 0209 CE2/K0MD	    599 12     JA8RWU	     599 25
QSO: 14045 CW 2009-11-28 0211 CE2/K0MD	    599 12     R1ANC	     599 29
QSO: 14046 CW 2009-11-28 0226 CE2/K0MD	    599 12     RA0FU	     599 19
QSO: 14006 CW 2009-11-28 0232 CE2/K0MD	    599 12     LU8YE	     599 13
QSO: 14070 CW 2009-11-28 0236 CE2/K0MD	    599 12     PW4LH	     599 11
QSO: 14070 CW 2009-11-28 0237 CE2/K0MD	    599 12     PY3AU	     599 11
QSO: 14070 CW 2009-11-28 0238 CE2/K0MD	    599 12     PY2KJ	     599 11
QSO: 14009 CW 2009-11-28 0243 CE2/K0MD	    599 12     B1Z        599 24
QSO: 14009 CW 2009-11-28 0245 CE2/K0MD	    599 12     5K3TU	     599 09
QSO: 14010 CW 2009-11-28 0247 CE2/K0MD	    599 12     JA7DLE	     599 25
QSO: 14006 CW 2009-11-28 0312 CE2/K0MD	    599 12     RW1CWA	     599 16
QSO: 14027 CW 2009-11-28 0322 CE2/K0MD	    599 12     OA4SS	     599 10
QSO: 14008 CW 2009-11-28 0324 CE2/K0MD	    599 12     ZL1AZE	     599 32
QSO: 14006 CW 2009-11-28 0327 CE2/K0MD	    599 12     RW0CWA	     599 19
QSO: 14023 CW 2009-11-28 0941 CE2/K0MD	    599 12     SP4Z	     599 15
QSO: 14013 CW 2009-11-28 0944 CE2/K0MD	    599 12     9A1P	     599 15
QSO: 14051 CW 2009-11-28 1235 CE2/K0MD	    599 12     OL4A	     599 15
QSO: 21003 CW 2009-11-28 1247 CE2/K0MD	    599 12     LU3FID	     599 13
QSO: 21024 CW 2009-11-28 1247 CE2/K0MD	    599 12     ZP0R	     599 11
