START-OF-LOG: 3.0
CREATED-BY:    CT Version 10.03.001
CALLSIGN:      K0RF
NAME:          Chuck Cullian
CLUB:          GRAND MESA CONTESTERS OF COLORADO
CLAIMED-SCORE: 7421400
CONTEST:       CQ-WW-CW
LOCATION:      CO
OPERATORS:     AA0RS AC0DS K7NV N4VI W0CGR W0UA W0ZP W1XE W2CO W2UP K0RF
OPERATORS:
SOAPBOX:
SOAPBOX:
SOAPBOX:
SOAPBOX:
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-ASSISTED: ASSISTED
CATEGORY-STATION: FIXED
QSO:  7010 CW 2009-11-28 0000 K0RF          599 4      YU1EXY        599 15     1
QSO: 28037 CW 2009-11-28 0001 K0RF          599 4      HC8GR         599 10     1
QSO: 14010 CW 2009-11-28 0001 K0RF          599 4      WJA7KE        599 03     1
QSO:  7010 CW 2009-11-28 0001 K0RF          599 4      N3BM          599 05     1
QSO: 14010 CW 2009-11-28 0001 K0RF          599 4      WN1LU         599 05     1
QSO: 21029 CW 2009-11-28 0001 K0RF          599 4      WKE8M         599 4      1
QSO:  7046 CW 2009-11-28 0002 K0RF          599 4      8P5A          599 08     1
QSO: 14010 CW 2009-11-28 0002 K0RF          599 4      W6IYS         599 03     1
QSO:  7010 CW 2009-11-28 0002 K0RF          599 4      EA4/YO8DHC    599 14     1
QSO: 14010 CW 2009-11-28 0002 K0RF          599 4      AI9K          599 04     1
QSO: 28030 CW 2009-11-28 0002 K0RF          599 4      LU5WW         599 13     1
QSO: 21029 CW 2009-11-28 0003 K0RF          599 4      WT9U          599 4      1
QSO:  7010 CW 2009-11-28 0003 K0RF          599 4      VC3O          599 04     1
QSO: 21029 CW 2009-11-28 0003 K0RF          599 4      N4PN          599 05     1
QSO:  7047 CW 2009-11-28 0003 K0RF          599 4      ZY7C          599 11     1
QSO: 28027 CW 2009-11-28 0003 K0RF          599 4      NR5M          599 04     1
QSO: 14010 CW 2009-11-28 0004 K0RF          599 4      VA3RJ         599 04     1
QSO:  7010 CW 2009-11-28 0004 K0RF          599 4      EA2IF         599 14     1
