START-OF-LOG: 3.0
CREATED-BY:    CT Version 9.89.003
CALLSIGN:      PI4ZOD
NAME:          Albert Bloeming
CLAIMED-SCORE: 16767
CONTEST:       CQ-WW-CW
OPERATORS:     PA0IKE   PA3CVR   PA2RU   PA3GUD   PA7KY   PA0ABE
SOAPBOX:       It was a rainy day and we where all very wet when we
SOAPBOX:       had build oure antenna...
SOAPBOX:       We had a nice weekend with much experiments and much coffee
SOAPBOX:       We USED a TS-515   abt 100Watts
SOAPBOX:       The antenna was a horizontal DELTA LOOP  ABT 10m up   100m around
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-ASSISTED: ASSISTED
CATEGORY-STATION: FIXED
QSO: 21025 CW 2009-11-28 1024 PI4ZOD        599 14     ZC4LI         599 20     1
QSO: 21025 CW 2009-11-28 1038 PI4ZOD        599 14     C4I           599 20     1
QSO: 21025 CW 2009-11-28 1044 PI4ZOD        599 14     HB/HA5PP      599 14     1
QSO: 21025 CW 2009-11-28 1045 PI4ZOD        599 14     IG9X          599 33     1
QSO: 21025 CW 2009-11-28 1048 PI4ZOD        599 14     CR3E          599 33     1
QSO: 21025 CW 2009-11-28 1049 PI4ZOD        599 14     H2E           599 20     1
QSO: 21025 CW 2009-11-28 1055 PI4ZOD        599 14     C4W           599 20     1
QSO: 14000 CW 2009-11-28 1140 PI4ZOD        599 14     K5ZD          599 05     1
QSO: 14000 CW 2009-11-28 1143 PI4ZOD        599 14     RA9FTM        599 17     1
QSO: 14000 CW 2009-11-28 1238 PI4ZOD        599 14     UR0IQ         599 16     1
QSO: 14000 CW 2009-11-28 1301 PI4ZOD        599 14     K3ZM          599 05     1
QSO: 14000 CW 2009-11-28 1330 PI4ZOD        599 14     EA3ANN        599 14     1
QSO: 14000 CW 2009-11-28 1340 PI4ZOD        599 14     UX3HA         599 16     1
QSO: 14000 CW 2009-11-28 1352 PI4ZOD        599 14     UZ2M          599 16     1
QSO: 14000 CW 2009-11-28 1353 PI4ZOD        599 14     K1LZ          599 05     1
QSO: 14000 CW 2009-11-28 1400 PI4ZOD        599 14     LZ8E          599 20     1
QSO: 14000 CW 2009-11-28 1403 PI4ZOD        599 14     N7JU          599 05     1
QSO: 14000 CW 2009-11-28 1405 PI4ZOD        599 14     K3ZM          599 05     1
QSO: 14000 CW 2009-11-28 1409 PI4ZOD        599 14     IK0YUT        599 15     1
QSO: 14000 CW 2009-11-28 1411 PI4ZOD        599 14     YQ9W          599 20     1
QSO: 14000 CW 2009-11-28 1414 PI4ZOD        599 14     K3LE          599 05     1
QSO: 14000 CW 2009-11-28 1422 PI4ZOD        599 14     K2LE          599 05     1
QSO: 14000 CW 2009-11-28 1430 PI4ZOD        599 14     N3UM          599 05     1
QSO: 14000 CW 2009-11-28 1433 PI4ZOD        599 14     EA3DTD        599 14     1
QSO: 14000 CW 2009-11-28 1439 PI4ZOD        599 14     YR9F          599 20     1
QSO: 14000 CW 2009-11-28 1445 PI4ZOD        599 14     12WIJ         599        1
QSO: 14000 CW 2009-11-28 1447 PI4ZOD        599 14     P33W          599 20     1
QSO: 14000 CW 2009-11-28 1451 PI4ZOD        599 14     IR2C          599 15     1
QSO: 14000 CW 2009-11-28 1500 PI4ZOD        599 14     K1DG          599 05     1
QSO: 14000 CW 2009-11-28 1501 PI4ZOD        599 14     N4WW          599 05     1
QSO: 14000 CW 2009-11-28 1503 PI4ZOD        599 14     K2ONP         599 05     1
QSO: 14000 CW 2009-11-28 1505 PI4ZOD        599 14     WB3FIZ        599 05     1
QSO: 14000 CW 2009-11-28 1511 PI4ZOD        599 14     N2IC          599 05     1
QSO:  7025 CW 2009-11-28 1531 PI4ZOD        599 14     UW2I          599 16     1
QSO:  7025 CW 2009-11-28 1537 PI4ZOD        599 14     EI6BX         599 14     1
QSO:  7025 CW 2009-11-28 1539 PI4ZOD        599 14     ES7GM         599 15     1
QSO:  7025 CW 2009-11-28 1543 PI4ZOD        599 14     UT5IZ         599 16     1
QSO:  7025 CW 2009-11-28 1546 PI4ZOD        599 14     RT6A          599 16     1
QSO:  7025 CW 2009-11-28 1553 PI4ZOD        599 14     YU7W          599 15     1
QSO:  7025 CW 2009-11-28 1556 PI4ZOD        599 14     OH4A          599 15     1
QSO:  7025 CW 2009-11-28 1557 PI4ZOD        599 14     IR1Y          599 15     1
QSO:  7025 CW 2009-11-28 1600 PI4ZOD        599 14     OL4A          599 15     1
QSO:  7025 CW 2009-11-28 1601 PI4ZOD        599 14     TF3CW         599 40     1
QSO:  7025 CW 2009-11-28 1603 PI4ZOD        599 14     OL3Z          599 15     1
QSO:  7025 CW 2009-11-28 1607 PI4ZOD        599 14     S50B          599 15     1
QSO:  7025 CW 2009-11-28 1607 PI4ZOD        599 14     9A4D          599 15     1
QSO:  7025 CW 2009-11-28 1608 PI4ZOD        599 14     9A1O          599 15     1
QSO:  7025 CW 2009-11-28 1608 PI4ZOD        599 14     LA9VDA        599 14     1
QSO:  7025 CW 2009-11-28 1613 PI4ZOD        599 14     EE2WU01P      599 14     1
QSO:  7025 CW 2009-11-28 1615 PI4ZOD        599 14     OH2U          599 15     1
QSO:  7025 CW 2009-11-28 1616 PI4ZOD        599 14     OE3I          599 15     1
QSO:  7025 CW 2009-11-28 1617 PI4ZOD        599 14     OK1Z          599 15     1
QSO:  7025 CW 2009-11-28 1644 PI4ZOD        599 14     UT2UZ         599 16     1
QSO:  7025 CW 2009-11-28 1645 PI4ZOD        599 14     OL4A          599 15     1
QSO:  7025 CW 2009-11-28 1645 PI4ZOD        599 14     YM3A          599 20     1
QSO:  7025 CW 2009-11-28 1646 PI4ZOD        599 14     OH2PQ         599 15     1
QSO:  7025 CW 2009-11-28 1654 PI4ZOD        599 14     LNLN3Z        599 14     1
QSO:  7025 CW 2009-11-28 1656 PI4ZOD        599 14     DL1VJL        599 14     1
QSO:  7025 CW 2009-11-28 1658 PI4ZOD        599 14     OH2BH         599 15     1
QSO:  7025 CW 2009-11-28 1715 PI4ZOD        599 14     RK3DXZ        599 16     1
QSO:  7025 CW 2009-11-28 1722 PI4ZOD        599 14     SN2K          599 15     1
QSO:  7025 CW 2009-11-28 1723 PI4ZOD        599 14     SI9AM         599 14     1
QSO:  7025 CW 2009-11-28 1832 PI4ZOD        599 14     GM7R          599 14     1
QSO:  7025 CW 2009-11-28 1845 PI4ZOD        599 14     ER7RM         599 16     1
QSO:  7025 CW 2009-11-28 1846 PI4ZOD        599 14     LZ9R          599 20     1
QSO:  7025 CW 2009-11-28 1848 PI4ZOD        599 14     CT3KN         599 33     1
QSO:  7025 CW 2009-11-28 1849 PI4ZOD        599 14     LY7A          599 15     1
QSO:  7025 CW 2009-11-28 1853 PI4ZOD        599 14     RU1A          599 16     1
QSO:  7025 CW 2009-11-28 1958 PI4ZOD        599 14     LZ9W          599 20     1
QSO:  7025 CW 2009-11-28 1959 PI4ZOD        599 14     S52AW         599 15     1
QSO:  7025 CW 2009-11-28 2001 PI4ZOD        599 14     CN3A          599 33     1
QSO:  7025 CW 2009-11-28 2001 PI4ZOD        599 14     EA5FV         599 14     1
QSO:  7025 CW 2009-11-28 2003 PI4ZOD        599 14     AO3T          599 14     1
QSO:  7025 CW 2009-11-28 2005 PI4ZOD        599 14     UU5WW         599 16     1
QSO:  7025 CW 2009-11-28 2006 PI4ZOD        599 14     UW1M          599 16     1
QSO:  7025 CW 2009-11-28 2008 PI4ZOD        599 14     LZ3FN         599 20     1
QSO:  7025 CW 2009-11-28 2011 PI4ZOD        599 14     9A4M          599 15     1
QSO:  7025 CW 2009-11-28 2018 PI4ZOD        599 14     J47J          599 15     1
QSO:  7025 CW 2009-11-28 2023 PI4ZOD        599 14     SP4Z          599 15     1
QSO:  3525 CW 2009-11-29 0753 PI4ZOD        599 14     W1FX          599 05     1
QSO:  3525 CW 2009-11-29 0808 PI4ZOD        599 14     VY2ZM         599 05     1
QSO:  7000 CW 2009-11-29 0817 PI4ZOD        599 14     KT3Y          599 05     1
QSO:  7000 CW 2009-11-29 0821 PI4ZOD        599 14     NR4M          599 05     1
QSO:  7025 CW 2009-11-29 0828 PI4ZOD        599 14     DF0SQ         599 14     1
QSO:  7025 CW 2009-11-29 0833 PI4ZOD        599 14     F5UL          599 14     1
QSO:  7025 CW 2009-11-29 0839 PI4ZOD        599 14     IN6Z          599 15     1
