START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: REF-SSB
CALLSIGN: R2RA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: R2RA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for REF-SSB REF/2023/SSB.
QSO: 28432 PH 2023-02-26 0929 R2RA          59 001 F6KJS         59 71
QSO: 28000 PH 2023-02-26 0930 R2RA          59 002 F1CBC         59 76
QSO: 28432 PH 2023-02-26 0931 R2RA          59 004 F2FZ          59 47
QSO: 28000 PH 2023-02-26 0933 R2RA          59 006 F5HB          59 33
QSO: 28000 PH 2023-02-26 0934 R2RA          59 007 F4AHP         59 59
QSO: 28000 PH 2023-02-26 0935 R2RA          59 009 F4GPK         59 60
QSO: 28433 PH 2023-02-26 0935 R2RA          59 008 F6GTH         59 57
QSO: 28000 PH 2023-02-26 0937 R2RA          59 012 F4ASK         59 85
QSO: 28000 PH 2023-02-26 0939 R2RA          59 014 F4IDM         59 42
QSO: 28000 PH 2023-02-26 0940 R2RA          59 016 F6BPZ         59 74
QSO: 28000 PH 2023-02-26 0940 R2RA          59 015 F6FTB         59 21
QSO: 28000 PH 2023-02-26 0945 R2RA          59 017 F8BPN         59 19
QSO: 28433 PH 2023-02-26 0945 R2RA          59 18 F4JIK         59 78
QSO: 28432 PH 2023-02-26 0949 R2RA          59 020 F8FUA         59 46
QSO: 28000 PH 2023-02-26 0951 R2RA          59 023 F5MNC         59 41
QSO: 28000 PH 2023-02-26 0955 R2RA          59 026 F5ASD         59 77
QSO: 28000 PH 2023-02-26 0955 R2RA          59 025 F5DYD         59 31
QSO: 28433 PH 2023-02-26 0956 R2RA          59 27 F8AKC         59 63
