START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: NG7M
LOCATION: UT
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: QRP
CATEGORY-BAND: ALL
CATEGORY-MODE: DIGI
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 8-HOURS
OPERATORS: NG7M
CLUB: Arizona Outlaws Contest Club
CREATED-BY: N1MM LOGGER+ 1.0.10715.0
HQ-CATEGORY: Single Operator, One Radio (SO1R), QRP, 8 Hours
HQ-GRID-LOCATOR: DN31XB
QSO: 14083 DG 2025-06-08 1928 NG7M DN31 N5XKG EM63
QSO: 14083 DG 2025-06-08 1929 NG7M DN31 W2CG FN20
QSO: 14083 DG 2025-06-08 1930 NG7M DN31 KB8ECG EN81
QSO: 14080 DG 2025-06-08 1931 NG7M DN31 NE4S EM74
QSO: 14080 DG 2025-06-08 1932 NG7M DN31 NR4O FM05
QSO: 14080 DG 2025-06-08 1933 NG7M DN31 KO4EZX EM80
QSO: 14080 DG 2025-06-08 1934 NG7M DN31 WV5Y EL29
QSO: 14080 DG 2025-06-08 1934 NG7M DN31 NY4I EL88
QSO: 14080 DG 2025-06-08 1935 NG7M DN31 KC3PIB EN90
QSO: 14080 DG 2025-06-08 1937 NG7M DN31 N8CBA EN62
QSO: 14080 DG 2025-06-08 1938 NG7M DN31 KC3OL EM28
QSO: 14080 DG 2025-06-08 1939 NG7M DN31 K8OS EN35
QSO: 14083 DG 2025-06-08 1944 NG7M DN31 K1JEA EL98
QSO: 14083 DG 2025-06-08 1945 NG7M DN31 KE5GL EL09
QSO: 14083 DG 2025-06-08 1955 NG7M DN31 KA8VHF EN34
QSO: 14083 DG 2025-06-08 1956 NG7M DN31 KD8WCK EN91
QSO: 14093 DG 2025-06-08 2022 NG7M DN31 N8CJ EN80
QSO: 14074 DG 2025-06-08 2028 NG7M DN31 KL5NE BP51
QSO: 14092 DG 2025-06-08 2031 NG7M DN31 N7JP CN87
QSO: 14092 DG 2025-06-08 2035 NG7M DN31 N9CI EN41
QSO: 14092 DG 2025-06-08 2038 NG7M DN31 W9AV EN43
QSO: 14092 DG 2025-06-08 2039 NG7M DN31 W7CT DN41
QSO: 14092 DG 2025-06-08 2041 NG7M DN31 AE5FM EM13
QSO: 14092 DG 2025-06-08 2043 NG7M DN31 NA5M EM11
QSO: 14092 DG 2025-06-08 2045 NG7M DN31 KI8N EN80
QSO: 14091 DG 2025-06-08 2056 NG7M DN31 N5XKG EM63
QSO: 14092 DG 2025-06-08 2058 NG7M DN31 KC3VXE FN10
QSO: 14093 DG 2025-06-08 2101 NG7M DN31 VA5KEN DO70
QSO: 14093 DG 2025-06-08 2103 NG7M DN31 KC2WUF FN20
QSO: 14093 DG 2025-06-08 2104 NG7M DN31 WB5DXG EM42
QSO: 14093 DG 2025-06-08 2110 NG7M DN31 W1OP FN41
QSO: 14093 DG 2025-06-08 2112 NG7M DN31 N0YFI FN00
END-OF-LOG:
