START-OF-LOG: 3.0
CONTEST: ARRL-DIGI
CALLSIGN: F4JQH
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: 
CATEGORY-POWER: QRP
CATEGORY-BAND: ALL
CATEGORY-TRANSMITTER: ONE
CATEGORY-TIME: 8-HOURS
OPERATORS: f4jqh
CREATED-BY: 
HQ-CATEGORY: Single Operator, One Radio (SO1R), QRP, 8 Hours
HQ-GRID-LOCATOR: JN12KM
QSO: 14082 DG 2025-06-08 0733 F4JQH JN12 DA0RR JO41
QSO: 14081 DG 2025-06-08 0740 F4JQH JN12 PD2PKM JO21
QSO: 14081 DG 2025-06-08 0747 F4JQH JN12 LZ1ZF KN22
QSO: 14081 DG 2025-06-08 0749 F4JQH JN12 SK6AW JO67
QSO: 14091 DG 2025-06-08 0757 F4JQH JN12 HG5OGI JN97
QSO: 14091 DG 2025-06-08 0800 F4JQH JN12 PA3EOU JO22
QSO: 14082 DG 2025-06-08 0810 F4JQH JN12 OZ5AGJ JO47
QSO: 14081 DG 2025-06-08 0812 F4JQH JN12 OZ6P JO55
QSO: 14080 DG 2025-06-08 0814 F4JQH JN12 IK8IOO JM88
QSO: 14080 DG 2025-06-08 0817 F4JQH JN12 ON9TT JO21
QSO: 14081 DG 2025-06-08 0820 F4JQH JN12 DC5CH JO62
QSO: 14082 DG 2025-06-08 0826 F4JQH JN12 ON5JDB JO11
QSO: 14081 DG 2025-06-08 0833 F4JQH JN12 IZ3XNJ JN55
QSO: 14081 DG 2025-06-08 0838 F4JQH JN12 PE2K JO22
QSO: 14082 DG 2025-06-08 0840 F4JQH JN12 SQ3SKN JO72
QSO: 14081 DG 2025-06-08 0848 F4JQH JN12 LB2WD JO48
QSO: 14080 DG 2025-06-08 0853 F4JQH JN12 GM5G IO87
QSO: 14081 DG 2025-06-08 0855 F4JQH JN12 YO2MD KN06
QSO: 14081 DG 2025-06-08 0858 F4JQH JN12 PD2GSP JO21
QSO: 14080 DG 2025-06-08 0902 F4JQH JN12 PE1PIX JO23
QSO: 14081 DG 2025-06-08 0904 F4JQH JN12 SV8IIR KM27
QSO: 14081 DG 2025-06-08 0909 F4JQH JN12 2E0CVN IO80
QSO: 14082 DG 2025-06-08 0911 F4JQH JN12 M3ZZF JO01
QSO: 14082 DG 2025-06-08 0914 F4JQH JN12 PC9T JO21
QSO: 14081 DG 2025-06-08 0918 F4JQH JN12 PD2PKM JO21
QSO: 14081 DG 2025-06-08 0919 F4JQH JN12 SP4TKR KO04
QSO: 14081 DG 2025-06-08 0930 F4JQH JN12 R1CE KO49
QSO: 14080 DG 2025-06-08 0934 F4JQH JN12 DH4PAP JO30
QSO: 14081 DG 2025-06-08 0937 F4JQH JN12 PB0AKY JO22
QSO: 14081 DG 2025-06-08 0939 F4JQH JN12 OK2JIQ JN79
QSO: 14081 DG 2025-06-08 0942 F4JQH JN12 KV4ZY FM08
QSO: 14082 DG 2025-06-08 0944 F4JQH JN12 W1UE FN41
QSO: 14081 DG 2025-06-08 0947 F4JQH JN12 K1HTV FM18
QSO: 14091 DG 2025-06-08 1000 F4JQH JN12 NF3R FN20
QSO: 14091 DG 2025-06-08 1001 F4JQH JN12 IZ5ILK JN63
QSO: 14090 DG 2025-06-08 1004 F4JQH JN12 PA6AA JO32
QSO: 14091 DG 2025-06-08 1005 F4JQH JN12 PA0WBP JO32
QSO: 14091 DG 2025-06-08 1010 F4JQH JN12 TK4TH JN41
QSO: 14091 DG 2025-06-08 1012 F4JQH JN12 UT3N KN49
QSO: 14091 DG 2025-06-08 1013 F4JQH JN12 HA8LHT JN95
QSO: 14091 DG 2025-06-08 1016 F4JQH JN12 PD1TV JO32
QSO: 14091 DG 2025-06-08 1026 F4JQH JN12 PI4VPO JO21
QSO: 14091 DG 2025-06-08 1029 F4JQH JN12 ON7PM JO20
QSO: 14091 DG 2025-06-08 1031 F4JQH JN12 5B4AMM KM65
QSO: 14091 DG 2025-06-08 1037 F4JQH JN12 SQ3MVA JO82
QSO: 14081 DG 2025-06-08 1052 F4JQH JN12 YO3JW KN35
QSO: 14082 DG 2025-06-08 1155 F4JQH JN12 DL5QL JO31
QSO: 14081 DG 2025-06-08 1250 F4JQH JN12 SM6OES JO57
QSO: 14081 DG 2025-06-08 1251 F4JQH JN12 M5MOW IO91
QSO: 14091 DG 2025-06-08 1302 F4JQH JN12 ES1LL KO29
QSO: 14092 DG 2025-06-08 1304 F4JQH JN12 SP4LO KO13
QSO: 14091 DG 2025-06-08 1307 F4JQH JN12 DL4TL JN59
QSO: 14091 DG 2025-06-08 1308 F4JQH JN12 IT9VCE JM77
QSO: 14091 DG 2025-06-08 1312 F4JQH JN12 PG7R JO22
QSO: 14091 DG 2025-06-08 1314 F4JQH JN12 YO4NF KN44
QSO: 14091 DG 2025-06-08 1316 F4JQH JN12 PA7RW JO22
QSO: 14092 DG 2025-06-08 1317 F4JQH JN12 ER1KW KN46
QSO: 14092 DG 2025-06-08 1328 F4JQH JN12 SP2TQQ JO94
QSO: 14091 DG 2025-06-08 1332 F4JQH JN12 R2AKM KO85
QSO: 14081 DG 2025-06-08 1335 F4JQH JN12 DL3YL JO40
QSO: 14082 DG 2025-06-08 1337 F4JQH JN12 ON3PVC JO20
QSO: 14080 DG 2025-06-08 1339 F4JQH JN12 ES3TI KO29
QSO: 14091 DG 2025-06-08 1347 F4JQH JN12 PA4O JO33
QSO: 14082 DG 2025-06-08 1352 F4JQH JN12 OM4KK JN88
QSO: 14081 DG 2025-06-08 1354 F4JQH JN12 SQ4CTS KO13
QSO: 14080 DG 2025-06-08 1356 F4JQH JN12 5P1W JO55
QSO: 14081 DG 2025-06-08 1407 F4JQH JN12 RA9AMO MO05
QSO: 14080 DG 2025-06-08 1409 F4JQH JN12 SP4NKJ KO13
QSO: 14081 DG 2025-06-08 1411 F4JQH JN12 IV3JJT JN65
QSO: 14081 DG 2025-06-08 1413 F4JQH JN12 YL3NU KO27
END-OF-LOG:
