START-OF-LOG: 2.0
CONTEST: EA-PSK63
CALLSIGN: HB9MXY
CATEGORY: SINGLE-OP ALL
CATEGORY-ASSISTED: NON-ASSISTED
CLAIMED-SCORE: 1798
CREATED-BY: UcxLog 7.82
NAME: Rudolf Alther
SOAPBOX: Tnx to all staff behind the contest. I had only a few hour time to
SOAPBOX: participate. RIG: ICOM-718, 40 W; Antenna 40/80 m Trap Dipol 12m
SOAPBOX: over ground. Hpe cu next year, 73 de HB9MXY, Rudolf
QSO: 14071 PS 2018-03-10 1716 HB9MXY        599 001    UR5LP         599 030
QSO: 14073 PS 2018-03-10 1722 HB9MXY        599 002    RT6DI         599 045
QSO:  7043 PS 2018-03-11 0753 HB9MXY        599 003    C31MF         599 130
QSO:  7044 PS 2018-03-11 0754 HB9MXY        599 004    HG3FMZ        599 232
QSO:  7044 PS 2018-03-11 0757 HB9MXY        599 005    YO3RU         599 289
QSO:  7046 PS 2018-03-11 0801 HB9MXY        599 006    OZ1DAE        599 139
QSO:  7046 PS 2018-03-11 0803 HB9MXY        599 007    UR2Y          599 268
QSO:  7047 PS 2018-03-11 0806 HB9MXY        599 008    LB1AH         599 640
QSO:  7047 PS 2018-03-11 0807 HB9MXY        599 009    EA1HRR        599 S
QSO:  7045 PS 2018-03-11 0812 HB9MXY        599 010    9A1AA         599 194
QSO:  7041 PS 2018-03-11 0816 HB9MXY        599 011    EA2RCF        599 VI
QSO:  7041 PS 2018-03-11 0816 HB9MXY        599 012    EE2W          599 BI
QSO:  7043 PS 2018-03-11 0824 HB9MXY        599 013    SP4TKR        599 224
QSO:  7044 PS 2018-03-11 0826 HB9MXY        599 014    ED3D          599 GI
QSO:  7045 PS 2018-03-11 0829 HB9MXY        599 015    HG1G          599 277
QSO:  7043 PS 2018-03-11 0908 HB9MXY        599 016    SK2T          599 074
QSO:  7044 PS 2018-03-11 0909 HB9MXY        599 017    DL3SYA        599 305
QSO:  7044 PS 2018-03-11 0911 HB9MXY        599 018    EA6DB         599 IB
QSO:  7046 PS 2018-03-11 0913 HB9MXY        599 019    E77EA         599 030
QSO:  7045 PS 2018-03-11 0916 HB9MXY        599 020    HA2NP         599 206
QSO:  7045 PS 2018-03-11 0926 HB9MXY        599 021    OZ11A         599 172
QSO:  7044 PS 2018-03-11 0927 HB9MXY        599 022    DJ6GI         599 046
QSO:  7044 PS 2018-03-11 0928 HB9MXY        599 023    US7KC         599 259
QSO:  7044 PS 2018-03-11 0930 HB9MXY        599 024    SP5SR         599 055
QSO:  7042 PS 2018-03-11 0932 HB9MXY        599 025    SQ9DXT        599 009
QSO:  7041 PS 2018-03-11 0934 HB9MXY        599 026    DL5QS         599 136
QSO:  7041 PS 2018-03-11 0936 HB9MXY        599 027    G3PXT         599 103
QSO:  7045 PS 2018-03-11 0941 HB9MXY        599 028    EA4GC         599 M
QSO:  7047 PS 2018-03-11 0946 HB9MXY        599 029    PA5SKY        599 031
QSO:  7047 PS 2018-03-11 0947 HB9MXY        599 030    DL9FB         599 040
QSO:  7047 PS 2018-03-11 0950 HB9MXY        599 031    EA3FF         599 L
QSO:  7046 PS 2018-03-11 0951 HB9MXY        599 032    SP1PBW        599 120
QSO:  7044 PS 2018-03-11 0953 HB9MXY        599 033    PA2PKZ        599 031
QSO:  7044 PS 2018-03-11 0955 HB9MXY        599 034    EA3KU         599 T
QSO:  7042 PS 2018-03-11 0959 HB9MXY        599 035    DL2KWA        599 083
QSO:  7044 PS 2018-03-11 1446 HB9MXY        599 036    IK0WRB        599 273
QSO:  7043 PS 2018-03-11 1447 HB9MXY        599 036    LZ7A          599 332
QSO:  7044 PS 2018-03-11 1449 HB9MXY        599 037    G0HDV         599 272
QSO:  7042 PS 2018-03-11 1453 HB9MXY        599 038    LZ4T          599 581
QSO:  7042 PS 2018-03-11 1456 HB9MXY        599 039    EA5GIE        599 V
QSO:  7042 PS 2018-03-11 1458 HB9MXY        599 040    9A4FS         599 114
QSO:  7041 PS 2018-03-11 1500 HB9MXY        599 041    DL5KUD        599 197
QSO:  7040 PS 2018-03-11 1503 HB9MXY        599 042    SE4E          599 373
QSO:  7041 PS 2018-03-11 1508 HB9MXY        599 043    YU7RIM        599 207
END-OF-LOG:
