START-OF-LOG: 3.0
CREATED-BY: okomdx-downloader
CONTEST: OK-OM DX CW Contest 2020
CALLSIGN: LY3B
OPERATORS: LY3B
CATEGORY: SINGLE-OP ALL HIGH
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: HIGH
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
QSO: 14049 CW 2020-11-14 1200 LY3B          599 001        OK2PYA        599 GJI       
QSO: 14055 CW 2020-11-14 1200 LY3B          599 002        OM1II         599 TRN       
QSO: 14052 CW 2020-11-14 1201 LY3B          599 003        OM5NL         599 KOM       
QSO: 14048 CW 2020-11-14 1201 LY3B          599 004        OM7AG         599 ZVO       
QSO: 14046 CW 2020-11-14 1202 LY3B          599 005        OK2HBR        599 HOL       
QSO: 14045 CW 2020-11-14 1202 LY3B          599 006        OK1TD         599 ECL       
QSO: 14043 CW 2020-11-14 1203 LY3B          599 007        OK1VK         599 CPE       
QSO: 14037 CW 2020-11-14 1203 LY3B          599 008        OK1MAW        599 FSV       
QSO: 14041 CW 2020-11-14 1203 LY3B          599 009        OK2OP         599 GBM       
QSO: 14043 CW 2020-11-14 1204 LY3B          599 010        OK1YM         599 BKH       
QSO: 14046 CW 2020-11-14 1204 LY3B          599 011        OK5D          599 ETE       
QSO: 14048 CW 2020-11-14 1204 LY3B          599 012        OK1AXB        599 BPV       
QSO: 14053 CW 2020-11-14 1205 LY3B          599 013        OK2LW         599 GBR       
QSO: 14042 CW 2020-11-14 1206 LY3B          599 014        OL2C          599 GBR       
QSO: 14045 CW 2020-11-14 1207 LY3B          599 015        OK2BRJ        599 HVS       
QSO: 14046 CW 2020-11-14 1208 LY3B          599 016        OM3TBG        599 NIT       
QSO: 14039 CW 2020-11-14 1209 LY3B          599 017        OK7T          599 EDE       
QSO: 14038 CW 2020-11-14 1209 LY3B          599 018        OK3DM         599 BBE       
QSO: 14039 CW 2020-11-14 1210 LY3B          599 019        OK1JFP        599 EUL       
QSO: 14003 CW 2020-11-14 1212 LY3B          599 020        OL3R          599 APC       
QSO: 14005 CW 2020-11-14 1212 LY3B          599 021        OM0R          599 LEV       
QSO: 14051 CW 2020-11-14 1213 LY3B          599 022        OK2EC         599 GUH       
QSO: 14050 CW 2020-11-14 1213 LY3B          599 023        OK2CMZ        599 HSU       
QSO: 14050 CW 2020-11-14 1214 LY3B          599 024        OK1IC         599 BPB       
QSO: 14041 CW 2020-11-14 1214 LY3B          599 025        OK1FKD        599 ECH       
QSO: 14048 CW 2020-11-14 1215 LY3B          599 026        OK1AR         599 ELO       
QSO: 14056 CW 2020-11-14 1216 LY3B          599 027        OK1FCA        599 APH       
QSO: 14041 CW 2020-11-14 1217 LY3B          599 028        OK1FGD        599 FSE       
QSO: 14038 CW 2020-11-14 1217 LY3B          599 029        OL5Y          599 BKO       
