START-OF-LOG: 3.0
CONTEST: EA-RTTY
CALLSIGN: HB9MXY
CATEGORY: SINGLE-OP ALL LOW
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY-POWER: 
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 15656
CREATED-BY: UcxLog 7.83
NAME: Rudolf Alther
SOAPBOX: RIG ICOM-7200, 100 W, Antennas 2 element SteppIR resp. 40/80 Trap
SOAPBOX: Dipol, both 12 m over ground. Tnx to staff behind the contest and to
SOAPBOX: the organisator. Hpe cu next year, 73 de HB9MXY, Rudolf
QSO: 14087 RY 2018-04-07 1634 HB9MXY        599 001    ED9E          599 CE
QSO: 14088 RY 2018-04-07 1637 HB9MXY        599 002    EF1Z          599 CA
QSO: 14092 RY 2018-04-07 1642 HB9MXY        599 003    EA7ZY         599 H
QSO: 14094 RY 2018-04-07 1643 HB9MXY        599 004    OH8WR         599 019
QSO: 14092 RY 2018-04-07 1647 HB9MXY        599 005    R7AB          599 059
QSO: 14081 RY 2018-04-07 1700 HB9MXY        599 006    EM2G          599 062
QSO: 14084 RY 2018-04-07 1702 HB9MXY        599 007    UW1M          599 115
QSO: 14089 RY 2018-04-07 1706 HB9MXY        599 008    CT7AJL        599 057
QSO: 14088 RY 2018-04-07 1835 HB9MXY        599 009    RV6F          599 033
QSO: 14086 RY 2018-04-07 1838 HB9MXY        599 010    SV1JFL        599 039
QSO: 14084 RY 2018-04-07 1846 HB9MXY        599 011    EA7KI         599 MA
QSO: 14082 RY 2018-04-07 1851 HB9MXY        599 012    EA7AZA        599 CA
QSO: 14082 RY 2018-04-07 1852 HB9MXY        599 013    EA7HS         599 CO
QSO: 14080 RY 2018-04-07 1858 HB9MXY        599 014    EA8PT         599 GC
QSO: 14091 RY 2018-04-07 1912 HB9MXY        599 015    EA7HAB        599 GR
QSO: 14092 RY 2018-04-07 1918 HB9MXY        599 016    EA8/HB9FIH    599 TF
QSO:  3591 RY 2018-04-07 1930 HB9MXY        599 017    IK6XEJ        599 038
QSO:  3590 RY 2018-04-07 1932 HB9MXY        599 018    PA3EWP        599 040
QSO:  3588 RY 2018-04-07 1935 HB9MXY        599 019    9A1RBZ        599 082
QSO:  3588 RY 2018-04-07 1938 HB9MXY        599 020    EA1AKS        599 S
QSO:  7043 RY 2018-04-07 1945 HB9MXY        599 021    EM0I          599 244
QSO:  7046 RY 2018-04-07 1950 HB9MXY        599 022    ED1LO         599 LO
QSO:  7048 RY 2018-04-07 1952 HB9MXY        599 023    EA7KE         599 SE
QSO:  7049 RY 2018-04-07 1954 HB9MXY        599 024    OZ2TF         599 103
QSO:  7050 RY 2018-04-07 1955 HB9MXY        599 025    RK9AX         599 209
QSO:  7051 RY 2018-04-07 1958 HB9MXY        599 026    ED2V          599 VI
QSO:  7051 RY 2018-04-07 1959 HB9MXY        599 027    LZ8U          599 121
QSO:  7052 RY 2018-04-07 2000 HB9MXY        599 028    ED1MK         599 P
QSO:  7056 RY 2018-04-07 2008 HB9MXY        599 029    OH9UFO        599 013
QSO:  7056 RY 2018-04-07 2010 HB9MXY        599 030    EA1ACP        599 SO
QSO:  7059 RY 2018-04-07 2011 HB9MXY        599 031    EE7Y          599 H
QSO:  7060 RY 2018-04-07 2012 HB9MXY        599 032    EC5AC         599 A
